DATE,BR_SOY_PRICE_SORRISO
2022-03-17,184.5
2022-03-18,181.5
2022-03-21,180.6
2022-03-22,179.0
2022-03-23,177.8
2022-03-24,175.0
2022-03-25,173.25
2022-03-28,172.0
2022-03-29,170.0
2022-03-30,169.0
2022-03-31,165.85
2022-04-01,160.0
2022-04-04,154.0
2022-04-05,157.45
2022-04-06,158.45
2022-04-07,161.65
2022-04-11,162.9
2022-04-12,162.0
2022-04-13,162.15
2022-04-14,163.35
2022-04-18,165.0
2022-04-19,166.0
2022-04-20,166.55
2022-04-25,168.0
2022-04-26,172.0
2022-04-27,171.0
2022-04-28,174.3
2022-04-29,173.5
2022-05-02,171.8
2022-05-03,169.0
2022-05-04,167.9
2022-05-05,171.45
2022-05-06,171.0
2022-05-09,169.7
2022-05-10,169.9
2022-05-11,171.8
2022-05-12,172.0
2022-05-13,172.65
2022-05-16,166.85
2022-05-17,169.6
2022-05-18,168.0
2022-05-19,168.45
2022-05-20,167.5
2022-05-23,165.25
2022-05-24,166.4
2022-05-25,167.17
2022-05-26,168.0
2022-05-27,166.2
2022-05-30,166.2
2022-05-31,161.0
2022-06-01,163.4
2022-06-02,167.5
2022-06-03,165.3
2022-06-06,166.0
2022-06-07,169.0
2022-06-08,167.35
2022-06-09,169.5
2022-06-10,171.5
2022-06-13,172.0
2022-06-14,172.0
2022-06-15,169.7
2022-06-17,171.3
2022-06-20,171.3
2022-06-21,167.2
2022-06-22,167.45
2022-06-23,163.75
2022-06-24,163.25
2022-06-27,162.2
2022-06-28,165.5
2022-06-29,165.0
2022-06-30,167.5
2022-07-01,161.0
2022-07-04,161.0
2022-07-05,160.5
2022-07-06,159.7
2022-07-07,164.75
2022-07-08,165.2
2022-07-11,166.25
2022-07-12,164.3
2022-07-13,162.9
2022-07-14,161.45
2022-07-15,158.95
2022-07-18,162.35
2022-07-19,163.65
2022-07-20,159.35
2022-07-21,158.25
2022-07-22,159.15
2022-07-25,159.1
2022-07-26,164.35
2022-07-27,165.4
2022-07-28,166.5
2022-07-29,166.75
2022-08-01,160.55
2022-08-02,159.3
2022-08-03,157.85
2022-08-04,160.85
2022-08-05,161.5
2022-08-08,159.35
2022-08-09,161.55
2022-08-10,161.2
2022-08-11,160.8
2022-08-12,161.9
2022-08-15,157.95
2022-08-16,157.3
2022-08-17,158.0
2022-08-18,156.85
2022-08-19,163.15
2022-08-22,164.0
2022-08-23,165.1
2022-08-24,164.0
2022-08-25,162.5
2022-08-26,164.2
2022-08-29,155.5
2022-08-30,155.35
2022-08-31,157.2
2022-09-01,156.65
2022-09-02,157.1
2022-09-06,158.25
2022-09-08,155.15
2022-09-09,155.2
2022-09-12,160.7
2022-09-13,163.5
2022-09-14,163.05
2022-09-15,165.7
2022-09-16,163.65
2022-09-19,161.15
2022-09-20,162.05
2022-09-21,160.95
2022-09-22,160.3
2022-09-23,161.9
2022-09-26,163.1
2022-09-27,160.25
2022-09-28,159.0
2022-09-29,160.5
2022-09-30,159.4
2022-10-03,154.1
2022-10-04,153.7
2022-10-05,155.35
2022-10-06,155.7
2022-10-07,156.05
2022-10-10,157.2
2022-10-11,159.1
2022-10-13,159.2
2022-10-17,160.65
2022-10-18,160.25
2022-10-19,159.55
2022-10-20,159.64
2022-10-21,158.55
2022-10-24,160.1
2022-10-25,163.0
2022-10-26,165.45
2022-10-27,165.4
2022-10-28,164.24
2022-10-31,164.0
2022-11-01,164.85
2022-11-03,163.7
2022-11-04,164.45
2022-11-07,166.3
2022-11-08,166.1
2022-11-09,166.55
2022-11-10,168.93
2022-11-11,167.6
2022-11-14,167.9
2022-11-16,169.26
2022-11-17,168.14
2022-11-18,165.5
2022-11-21,164.46
2022-11-22,165.3
2022-11-23,165.65
2022-11-24,165.65
2022-11-25,166.25
2022-11-28,166.86
2022-11-29,164.25
2022-11-30,164.55
2022-12-01,158.65
2022-12-02,159.3
2022-12-05,160.48
2022-12-06,161.31
2022-12-07,160.29
2022-12-09,161.83
2022-12-12,161.64
2022-12-13,161.04
2022-12-14,160.86
2022-12-15,161.06
2022-12-16,160.37
2022-12-19,159.69
2022-12-21,162.06
2022-12-22,158.68
2022-12-23,160.29
2023-01-09,157.69
2023-01-10,153.75
2023-01-11,151.5
2023-01-12,155.2
2023-01-13,153.83
2023-01-16,153.83
2023-01-17,152.09
2023-01-18,149.21
2023-01-19,149.0
2023-01-20,150.12
2023-01-23,149.12
2023-01-24,148.08
2023-01-25,147.6
2023-01-26,147.32
2023-01-27,147.01
2023-01-30,146.16
2023-01-31,146.82
2023-02-01,144.62
2023-02-02,145.65
2023-02-03,147.03
2023-02-06,146.24
2023-02-07,146.71
2023-02-08,147.13
2023-02-09,148.12
2023-02-10,148.26
2023-02-13,146.85
2023-02-14,148.29
2023-02-15,146.29
2023-02-16,146.84
2023-02-17,146.06
2023-02-22,145.69
2023-02-23,146.01
2023-02-24,144.71
2023-02-27,143.65
2023-02-28,141.91
2023-03-01,140.59
2023-03-02,143.03
2023-03-03,144.29
2023-03-06,145.49
2023-03-07,143.89
2023-03-08,142.64
2023-03-09,143.09
2023-03-10,142.43
2023-03-13,141.03
2023-03-14,140.31
2023-03-15,141.06
2023-03-16,142.27
2023-03-17,140.88
2023-03-20,139.62
2023-03-21,137.39
2023-03-22,136.5
2023-03-23,133.98
2023-03-24,132.03
2023-03-27,130.48
2023-03-28,130.93
2023-03-29,131.06
2023-03-30,130.27
2023-03-31,130.93
2023-04-03,130.21
2023-04-04,130.56
2023-04-05,129.23
2023-04-06,128.37
2023-04-10,129.34
2023-04-11,128.31
2023-04-12,127.07
2023-04-13,126.08
2023-04-14,125.32
2023-04-17,124.16
2023-04-18,121.79
2023-04-19,120.72
2023-04-20,118.48
2023-04-24,117.12
2023-04-25,116.37
2023-04-26,114.5
2023-04-27,113.21
2023-04-28,113.98
2023-05-02,113.34
2023-05-03,112.64
2023-05-04,111.38
2023-05-05,112.61
2023-05-08,113.59
2023-05-09,112.89
2023-05-10,112.04
2023-05-11,113.32
2023-05-12,112.09
2023-05-15,110.98
2023-05-16,109.75
2023-05-17,108.88
2023-05-18,109.29
2023-05-19,110.0
2023-05-22,110.67
2023-05-23,109.51
2023-05-24,108.8
2023-05-25,110.11
2023-05-26,110.76
2023-05-29,110.76
2023-05-30,109.15
2023-05-31,109.76
2023-06-01,110.95
2023-06-02,110.36
2023-06-05,109.31
2023-06-06,109.15
2023-06-07,107.14
2023-06-09,106.91
2023-06-12,106.37
2023-06-13,106.91
2023-06-14,104.21
2023-06-15,105.09
2023-06-16,106.99
2023-06-19,106.99
2023-06-20,106.41
2023-06-21,107.37
2023-06-22,106.26
2023-06-23,105.71
2023-06-26,106.98
2023-06-27,106.32
2023-06-28,103.68
2023-06-29,104.33
2023-06-30,106.12
2023-07-03,106.83
2023-07-04,106.83
2023-07-05,107.33
2023-07-06,108.74
2023-07-07,108.13
2023-07-10,112.04
2023-07-11,111.44
2023-07-12,110.31
2023-07-13,108.29
2023-07-14,107.64
2023-07-17,110.56
2023-07-18,113.97
2023-07-19,112.64
2023-07-20,113.66
2023-07-21,112.63
2023-07-24,111.01
2023-07-25,113.99
2023-07-26,116.45
2023-07-27,120.5
2023-07-28,116.94
2023-07-31,113.75
2023-08-01,114.55
2023-08-02,113.7
2023-08-03,115.1
2023-08-04,117.5
2023-08-07,114.9
2023-08-08,113.8
2023-08-09,115.0
2023-08-10,115.6
2023-08-11,116.75
2023-08-14,117.85
2023-08-15,118.05
2023-08-16,118.25
2023-08-17,118.0
2023-08-18,119.45
2023-08-21,120.0
2023-08-22,119.75
2023-08-23,119.6
2023-08-24,118.75
2023-08-25,119.35
2023-08-28,119.0
2023-08-29,118.7
2023-08-30,118.3
2023-08-31,117.25
2023-09-01,118.2
2023-09-04,118.2
2023-09-05,120.6
2023-09-06,118.5
2023-09-08,118.2
2023-09-11,117.5
2023-09-12,116.9
2023-09-13,117.3
2023-09-14,118.0
2023-09-15,119.0
2023-09-18,118.3
2023-09-19,116.8
2023-09-20,118.3
2023-09-21,118.6
2023-09-22,118.8
2023-09-25,118.4
2023-09-26,119.5
2023-09-27,118.8
2023-09-28,118.3
2023-09-29,118.55
2023-10-02,118.2
2023-10-03,118.6
2023-10-04,120.9
2023-10-05,119.1
2023-10-06,120.0
2023-10-09,119.7
2023-10-10,119.5
2023-10-11,119.2
2023-10-13,119.4
2023-10-16,118.9
2023-10-17,118.5
2023-10-18,118.4
2023-10-19,119.5
2023-10-20,120.5
2023-10-23,120.1
2023-10-24,119.1
2023-10-25,119.5
2023-10-26,119.0
2023-10-27,119.4
2023-10-30,119.0
2023-10-31,121.0
2023-11-01,121.1
2023-11-03,120.0
2023-11-06,119.0
2023-11-07,120.5
2023-11-08,124.5
2023-11-09,120.0
2023-11-10,119.6
2023-11-13,118.7
2023-11-14,120.9
2023-11-16,120.6
2023-11-17,120.3
2023-11-21,121.3
2023-11-22,120.8
2023-11-23,120.8
2023-11-24,122.0
2023-11-27,121.4
2023-11-28,122.8
2023-11-29,123.6
2023-11-30,123.8
2023-12-01,122.9
2023-12-04,123.9
2023-12-05,123.7
2023-12-06,122.3
2023-12-11,122.8
2023-12-12,123.2
2023-12-13,123.0
2023-12-14,123.5
2023-12-15,123.8
2023-12-18,124.4
2023-12-19,123.9
2023-12-20,123.3
2023-12-21,121.7
2024-01-08,119.0
2024-01-09,113.9
2024-01-10,109.0
2024-01-11,107.8
2024-01-12,102.8
2024-01-16,103.0
2024-01-17,102.2
2024-01-18,99.4
2024-01-19,98.4
2024-01-22,100.0
2024-01-23,97.8
2024-01-24,102.0
2024-01-25,100.9
2024-01-26,97.5
2024-01-29,93.9
2024-01-30,95.3
2024-01-31,97.0
2024-02-01,97.5
2024-02-02,96.3
2024-02-05,95.6
2024-02-06,96.0
2024-02-07,95.8
2024-02-08,96.5
2024-02-09,95.5
2024-02-14,99.4
2024-02-15,101.6
2024-02-16,100.0
2024-02-20,102.9
2024-02-21,99.0
2024-02-22,94.9
2024-02-23,93.9
2024-02-26,96.0
2024-02-27,96.3
2024-02-28,100.9
2024-02-29,97.0
2024-03-01,97.1
2024-03-04,98.9
2024-03-05,100.4
2024-03-06,98.9
2024-03-07,99.5
2024-03-08,101.0
2024-03-11,102.0
2024-03-12,102.5
2024-03-13,102.9
2024-03-14,103.0
2024-03-15,103.5
2024-03-18,103.0
2024-03-19,104.3
2024-03-20,103.1
2024-03-21,106.7
2024-03-22,104.9
2024-03-25,104.5
2024-03-26,106.0
2024-03-27,105.5
2024-03-28,104.6
2024-04-01,105.0
2024-04-02,106.0
2024-04-03,105.0
2024-04-04,104.9
2024-04-05,108.4
2024-04-09,107.0
2024-04-10,105.2
2024-04-11,105.4
2024-04-12,108.3
2024-04-15,108.6
2024-04-16,110.9
2024-04-17,108.9
2024-04-18,109.5
2024-04-19,107.7
2024-04-22,107.0
2024-04-23,106.2
2024-04-24,107.9
2024-04-25,108.4
2024-04-26,107.6
2024-04-29,108.0
2024-04-30,107.6
2024-05-02,107.5
2024-05-03,108.2
2024-05-06,109.4
2024-05-07,111.6
2024-05-08,112.8
2024-05-09,111.8
2024-05-10,112.6
2024-05-13,112.2
2024-05-14,111.9
2024-05-15,113.3
2024-05-16,113.7
2024-05-17,115.0
2024-05-20,115.8
2024-05-21,116.2
