Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit,Date,Avg_Weight,Month_Num,Heads_YoY_Growth,Volume_YoY_Growth,Weight_LTM_Avg
1962,JUN,180066000,HEAD,3.45,"LB / HEAD, LIVE BASIS",3.45,"HEAD × LB / HEAD, LIVE BASIS",1962-06-01,1.9159641464796243e-08,6,-4.452474569795761,0.0,2.341902331576881e-08
1962,JUL,172714000,HEAD,3.4,"LB / HEAD, LIVE BASIS",3.4,"HEAD × LB / HEAD, LIVE BASIS",1962-07-01,1.9685723218731544e-08,7,-0.866131337423881,-1.4492753623188581,2.3409316291025168e-08
1962,AUG,181488000,HEAD,3.42,"LB / HEAD, LIVE BASIS",3.42,"HEAD × LB / HEAD, LIVE BASIS",1962-08-01,1.8844221105527637e-08,8,-1.8930753013676416,-1.440922190201721,2.3416520492293507e-08
1962,SEP,150425000,HEAD,3.52,"LB / HEAD, LIVE BASIS",3.52,"HEAD × LB / HEAD, LIVE BASIS",1962-09-01,2.340036563071298e-08,9,-9.308775208754106,-0.8450704225352101,2.3582971946457136e-08
1962,OCT,178276000,HEAD,3.61,"LB / HEAD, LIVE BASIS",3.61,"HEAD × LB / HEAD, LIVE BASIS",1962-10-01,2.024950077408064e-08,10,7.076531286412724,-1.0958904109589218,2.3443537683500607e-08
1962,NOV,148552000,HEAD,3.66,"LB / HEAD, LIVE BASIS",3.66,"HEAD × LB / HEAD, LIVE BASIS",1962-11-01,2.4637837255641124e-08,11,11.30158539874726,0.0,2.3211498832013046e-08
1962,DEC,140890000,HEAD,3.58,"LB / HEAD, LIVE BASIS",3.58,"HEAD × LB / HEAD, LIVE BASIS",1962-12-01,2.540989424373625e-08,12,17.286160249739858,-1.6483516483516647,2.2803842603104842e-08
1963,JAN,161308000,HEAD,3.56,"LB / HEAD, LIVE BASIS",3.5599999999999996,"HEAD × LB / HEAD, LIVE BASIS",1963-01-01,2.206958117390334e-08,1,19.741969965779106,0.8498583569405138,2.245931973391877e-08
1963,FEB,130084000,HEAD,3.52,"LB / HEAD, LIVE BASIS",3.52,"HEAD × LB / HEAD, LIVE BASIS",1963-02-01,2.705943851665078e-08,2,10.031804033022063,1.4409221902017322,2.2268351077803064e-08
1963,MAR,144811000,HEAD,3.53,"LB / HEAD, LIVE BASIS",3.53,"HEAD × LB / HEAD, LIVE BASIS",1963-03-01,2.4376601225045056e-08,3,0.5750678899592243,0.0,2.225666924394401e-08
1963,APR,157452000,HEAD,3.59,"LB / HEAD, LIVE BASIS",3.59,"HEAD × LB / HEAD, LIVE BASIS",1963-04-01,2.2800599547798694e-08,4,3.7841685836887295,1.1267605633802802,2.220673974970611e-08
1963,MAY,175875000,HEAD,3.53,"LB / HEAD, LIVE BASIS",3.5300000000000002,"HEAD × LB / HEAD, LIVE BASIS",1963-05-01,2.0071073205401564e-08,5,-4.224730849030401,2.3188405797101463,2.231370644683549e-08
1963,JUN,175772000,HEAD,3.47,"LB / HEAD, LIVE BASIS",3.47,"HEAD × LB / HEAD, LIVE BASIS",1963-06-01,1.9741483285164874e-08,6,-2.384681172458991,0.5797101449275477,2.236219326519954e-08
1963,JUL,189597000,HEAD,3.44,"LB / HEAD, LIVE BASIS",3.44,"HEAD × LB / HEAD, LIVE BASIS",1963-07-01,1.8143747000216247e-08,7,9.775119561818958,1.17647058823529,2.223369524698993e-08
1963,AUG,187441000,HEAD,3.44,"LB / HEAD, LIVE BASIS",3.44,"HEAD × LB / HEAD, LIVE BASIS",1963-08-01,1.835244156828015e-08,8,3.280106673719474,0.5847953216374213,2.2192713618885973e-08
1963,SEP,166167000,HEAD,3.58,"LB / HEAD, LIVE BASIS",3.58,"HEAD × LB / HEAD, LIVE BASIS",1963-09-01,2.1544590682867236e-08,9,10.465015788598976,1.7045454545454586,2.20380657065655e-08
1963,OCT,175724000,HEAD,3.64,"LB / HEAD, LIVE BASIS",3.64,"HEAD × LB / HEAD, LIVE BASIS",1963-10-01,2.071430197354943e-08,10,-1.4314882541676899,0.8310249307479367,2.2076799139854558e-08
1963,NOV,141498000,HEAD,3.69,"LB / HEAD, LIVE BASIS",3.69,"HEAD × LB / HEAD, LIVE BASIS",1963-11-01,2.6078107111054574e-08,11,-4.748505573805806,0.8196721311475308,2.2196821627805686e-08
1963,DEC,158193000,HEAD,3.68,"LB / HEAD, LIVE BASIS",3.68,"HEAD × LB / HEAD, LIVE BASIS",1963-12-01,2.3262723382197696e-08,12,12.281212293278454,2.7932960893854775,2.2017890722677473e-08
1964,JAN,168291000,HEAD,3.59,"LB / HEAD, LIVE BASIS",3.59,"HEAD × LB / HEAD, LIVE BASIS",1964-01-01,2.1332097378944802e-08,1,4.32898554318446,0.8426966292134797,2.195643373976426e-08
1964,FEB,147729000,HEAD,3.53,"LB / HEAD, LIVE BASIS",3.53,"HEAD × LB / HEAD, LIVE BASIS",1964-02-01,2.3895105226461965e-08,2,13.564312290519975,0.28409090909089496,2.1692739298915188e-08
1964,MAR,158219000,HEAD,3.56,"LB / HEAD, LIVE BASIS",3.56,"HEAD × LB / HEAD, LIVE BASIS",1964-03-01,2.2500458225623978e-08,3,9.25896513386415,0.8498583569405138,2.1536394048963433e-08
1964,APR,170816000,HEAD,3.58,"LB / HEAD, LIVE BASIS",3.58,"HEAD × LB / HEAD, LIVE BASIS",1964-04-01,2.0958224053952793e-08,4,8.4876660823616,-0.278551532033422,2.138286275780961e-08
1964,MAY,176054000,HEAD,3.56,"LB / HEAD, LIVE BASIS",3.56,"HEAD × LB / HEAD, LIVE BASIS",1964-05-01,2.0221068535790156e-08,5,0.10177683013503636,0.8498583569405138,2.1395362368675326e-08
1964,JUN,191612000,HEAD,3.51,"LB / HEAD, LIVE BASIS",3.51,"HEAD × LB / HEAD, LIVE BASIS",1964-06-01,1.8318268166920652e-08,6,9.011674214323095,1.1527377521613813,2.127676110882164e-08
1964,JUL,186442000,HEAD,3.44,"LB / HEAD, LIVE BASIS",3.44,"HEAD × LB / HEAD, LIVE BASIS",1964-07-01,1.8450778258117805e-08,7,-1.6640558658628568,0.0,2.1302347046980103e-08
1964,AUG,185576000,HEAD,3.46,"LB / HEAD, LIVE BASIS",3.46,"HEAD × LB / HEAD, LIVE BASIS",1964-08-01,1.8644652325731775e-08,8,-0.9949797536291438,0.5813953488372103,2.1326697943434405e-08
1964,SEP,180227000,HEAD,3.53,"LB / HEAD, LIVE BASIS",3.53,"HEAD × LB / HEAD, LIVE BASIS",1964-09-01,1.9586410471239047e-08,9,8.46136717880206,-1.3966480446927498,2.1163516259132056e-08
1964,OCT,178064000,HEAD,3.65,"LB / HEAD, LIVE BASIS",3.65,"HEAD × LB / HEAD, LIVE BASIS",1964-10-01,2.0498247821008176e-08,10,1.3316336982996058,0.27472527472527375,2.1145511746420282e-08
1964,NOV,147093000,HEAD,3.63,"LB / HEAD, LIVE BASIS",3.63,"HEAD × LB / HEAD, LIVE BASIS",1964-11-01,2.4678264771267156e-08,11,3.954119492855024,-1.6260162601625994,2.1028858218104668e-08
1964,DEC,160707000,HEAD,3.67,"LB / HEAD, LIVE BASIS",3.67,"HEAD × LB / HEAD, LIVE BASIS",1964-12-01,2.283659081433914e-08,12,1.5891980049686172,-0.27173913043478937,2.099334717078312e-08
1965,JAN,169526000,HEAD,3.61,"LB / HEAD, LIVE BASIS",3.61,"HEAD × LB / HEAD, LIVE BASIS",1965-01-01,2.129466866439366e-08,1,0.7338479181893343,0.557103064066844,2.0990228111237192e-08
1965,FEB,151680000,HEAD,3.56,"LB / HEAD, LIVE BASIS",3.56,"HEAD × LB / HEAD, LIVE BASIS",1965-02-01,2.34704641350211e-08,2,2.67449180594197,0.8498583569405138,2.0954841353617118e-08
1965,MAR,174172000,HEAD,3.53,"LB / HEAD, LIVE BASIS",3.5300000000000002,"HEAD × LB / HEAD, LIVE BASIS",1965-03-01,2.0267321957605126e-08,3,10.082859833521884,-0.8426966292134797,2.076874666461555e-08
1965,APR,176032000,HEAD,3.55,"LB / HEAD, LIVE BASIS",3.5500000000000003,"HEAD × LB / HEAD, LIVE BASIS",1965-04-01,2.0166787856753318e-08,4,3.05357811914575,-0.8379888268156388,2.070279364818226e-08
1965,MAY,181150000,HEAD,3.52,"LB / HEAD, LIVE BASIS",3.52,"HEAD × LB / HEAD, LIVE BASIS",1965-05-01,1.9431410433342534e-08,5,2.8945664398423165,-1.1235955056179803,2.0636988806311624e-08
1965,JUN,201129000,HEAD,3.54,"LB / HEAD, LIVE BASIS",3.5399999999999996,"HEAD × LB / HEAD, LIVE BASIS",1965-06-01,1.7600644362573273e-08,6,4.966807924347116,0.8547008547008517,2.0577186822616008e-08
1965,JUL,198680000,HEAD,3.45,"LB / HEAD, LIVE BASIS",3.4499999999999997,"HEAD × LB / HEAD, LIVE BASIS",1965-07-01,1.7364606402254882e-08,7,6.563971637292032,0.29069767441860517,2.04866725012941e-08
1965,AUG,205353000,HEAD,3.47,"LB / HEAD, LIVE BASIS",3.47,"HEAD × LB / HEAD, LIVE BASIS",1965-08-01,1.6897732197727815e-08,8,10.657089278786058,0.28901734104047616,2.0341095823960432e-08
