Year,Month,Heads,Heads Unit,Weight,Weight Unit,Volume,Volume Unit
2020,JAN,1670658000,HEAD,10713307000,"LB, LIVE BASIS",-548472027703551616,"HEAD × LB, LIVE BASIS"
2020,FEB,1461366000,HEAD,9265934000,"LB, LIVE BASIS",-4905823167865551616,"HEAD × LB, LIVE BASIS"
2020,MAR,1652781000,HEAD,10461876000,"LB, LIVE BASIS",-1155554196553551616,"HEAD × LB, LIVE BASIS"
2020,APR,1534732000,HEAD,9776379000,"LB, LIVE BASIS",-3442622378281551616,"HEAD × LB, LIVE BASIS"
2020,MAY,1492255000,HEAD,9642464000,"LB, LIVE BASIS",-4057728957389551616,"HEAD × LB, LIVE BASIS"
2020,JUN,1576700000,HEAD,10225179000,"LB, LIVE BASIS",-2324704344409551616,"HEAD × LB, LIVE BASIS"
2020,JUL,1603260000,HEAD,10159648000,"LB, LIVE BASIS",-2158186821229551616,"HEAD × LB, LIVE BASIS"
2020,AUG,1573362000,HEAD,10117282000,"LB, LIVE BASIS",-2528597031625551616,"HEAD × LB, LIVE BASIS"
2020,SEP,1610938000,HEAD,10491309000,"LB, LIVE BASIS",-1545895735867551616,"HEAD × LB, LIVE BASIS"
2020,OCT,1606257000,HEAD,10418695000,"LB, LIVE BASIS",-1711642299094551616,"HEAD × LB, LIVE BASIS"
2020,NOV,1464024000,HEAD,9402221000,"LB, LIVE BASIS",-4681666876405551616,"HEAD × LB, LIVE BASIS"
2020,DEC,1563846000,HEAD,10039572000,"LB, LIVE BASIS",-2746399559797551616,"HEAD × LB, LIVE BASIS"
2019,JAN,1607276000,HEAD,10065163000,"LB, LIVE BASIS",-2269249147721551616,"HEAD × LB, LIVE BASIS"
2019,FEB,1421812000,HEAD,8839296000,"LB, LIVE BASIS",-5878926949357551616,"HEAD × LB, LIVE BASIS"
2019,MAR,1490065000,HEAD,9247177000,"LB, LIVE BASIS",-4667849277204551616,"HEAD × LB, LIVE BASIS"
2019,APR,1545831000,HEAD,9730919000,"LB, LIVE BASIS",-3404387825020551616,"HEAD × LB, LIVE BASIS"
2019,MAY,1636662000,HEAD,10366716000,"LB, LIVE BASIS",-1479933931717551616,"HEAD × LB, LIVE BASIS"
2019,JUN,1508769000,HEAD,9554341000,"LB, LIVE BASIS",-4031450557480551616,"HEAD × LB, LIVE BASIS"
2019,JUL,1656090000,HEAD,10478267000,"LB, LIVE BASIS",-1093790877679551616,"HEAD × LB, LIVE BASIS"
2019,AUG,1641296000,HEAD,10427843000,"LB, LIVE BASIS",-1331567069181551616,"HEAD × LB, LIVE BASIS"
2019,SEP,1563106000,HEAD,9984638000,"LB, LIVE BASIS",-2839696508081551616,"HEAD × LB, LIVE BASIS"
2019,OCT,1728425000,HEAD,11086941000,"LB, LIVE BASIS",716201924215448384,"HEAD × LB, LIVE BASIS"
2019,NOV,1451760000,HEAD,9276100000,"LB, LIVE BASIS",-4980073137709551616,"HEAD × LB, LIVE BASIS"
2019,DEC,1542412000,HEAD,9867585000,"LB, LIVE BASIS",-3226862558689551616,"HEAD × LB, LIVE BASIS"
2018,JAN,1575098000,HEAD,9862433000,"LB, LIVE BASIS",-2912445580275551616,"HEAD × LB, LIVE BASIS"
2018,FEB,1415818000,HEAD,8823347000,"LB, LIVE BASIS",-5954490570863551616,"HEAD × LB, LIVE BASIS"
2018,MAR,1516927000,HEAD,9462097000,"LB, LIVE BASIS",-4093433657790551616,"HEAD × LB, LIVE BASIS"
2018,APR,1493717000,HEAD,9370148000,"LB, LIVE BASIS",-4450394713593551616,"HEAD × LB, LIVE BASIS"
2018,MAY,1621574000,HEAD,10141452000,"LB, LIVE BASIS",-2001629188261551616,"HEAD × LB, LIVE BASIS"
2018,JUN,1523255000,HEAD,9484907000,"LB, LIVE BASIS",-3998812061424551616,"HEAD × LB, LIVE BASIS"
2018,JUL,1583547000,HEAD,9844167000,"LB, LIVE BASIS",-2858042953360551616,"HEAD × LB, LIVE BASIS"
2018,AUG,1681725000,HEAD,10577581000,"LB, LIVE BASIS",-658161666484551616,"HEAD × LB, LIVE BASIS"
2018,SEP,1466866000,HEAD,9255261000,"LB, LIVE BASIS",-4870516391683551616,"HEAD × LB, LIVE BASIS"
2018,OCT,1675045000,HEAD,10599455000,"LB, LIVE BASIS",-692179973234551616,"HEAD × LB, LIVE BASIS"
2018,NOV,1488619000,HEAD,9368414000,"LB, LIVE BASIS",-4500744993443551616,"HEAD × LB, LIVE BASIS"
2018,DEC,1406035000,HEAD,8742371000,"LB, LIVE BASIS",-6154664464724551616,"HEAD × LB, LIVE BASIS"
2017,JAN,1531816000,HEAD,9486223000,"LB, LIVE BASIS",-3915595902741551616,"HEAD × LB, LIVE BASIS"
2017,FEB,1390979000,HEAD,8557386000,"LB, LIVE BASIS",-6543599852815551616,"HEAD × LB, LIVE BASIS"
2017,MAR,1579349000,HEAD,9725074000,"LB, LIVE BASIS",-3087458176883551616,"HEAD × LB, LIVE BASIS"
2017,APR,1412467000,HEAD,8719786000,"LB, LIVE BASIS",-6130334101647551616,"HEAD × LB, LIVE BASIS"
2017,MAY,1600798000,HEAD,9889389000,"LB, LIVE BASIS",-2615829941287551616,"HEAD × LB, LIVE BASIS"
2017,JUN,1562985000,HEAD,9631648000,"LB, LIVE BASIS",-3392622724429551616,"HEAD × LB, LIVE BASIS"
2017,JUL,1483319000,HEAD,9111940000,"LB, LIVE BASIS",-4930830344849551616,"HEAD × LB, LIVE BASIS"
2017,AUG,1655880000,HEAD,10232592000,"LB, LIVE BASIS",-1502799632749551616,"HEAD × LB, LIVE BASIS"
2017,SEP,1488305000,HEAD,9309425000,"LB, LIVE BASIS",-4591480299084551616,"HEAD × LB, LIVE BASIS"
2017,OCT,1600074000,HEAD,10062188000,"LB, LIVE BASIS",-2346498671797551616,"HEAD × LB, LIVE BASIS"
2017,NOV,1490103000,HEAD,9344929000,"LB, LIVE BASIS",-4521837336022551616,"HEAD × LB, LIVE BASIS"
2017,DEC,1439948000,HEAD,9026980000,"LB, LIVE BASIS",-5448362276669551616,"HEAD × LB, LIVE BASIS"
2016,JAN,1432574000,HEAD,8857840000,"LB, LIVE BASIS",-5757232793549551616,"HEAD × LB, LIVE BASIS"
2016,FEB,1434136000,HEAD,8845795000,"LB, LIVE BASIS",-5760671015589551616,"HEAD × LB, LIVE BASIS"
