DATE,BR_CAML3_PRICE
2018-12-03,7.04
2018-12-04,6.91
2018-12-05,6.82
2018-12-06,6.56
2018-12-07,6.56
2018-12-10,6.43
2018-12-11,6.6
2018-12-12,6.9
2018-12-13,6.91
2018-12-14,6.98
2018-12-17,7.06
2018-12-18,7.18
2018-12-19,7.21
2018-12-20,7.17
2018-12-21,7.24
2018-12-26,7.16
2018-12-27,7.02
2018-12-28,7.05
2019-01-02,7.3
2019-01-03,7.59
2019-01-04,7.63
2019-01-07,7.73
2019-01-08,7.56
2019-01-09,7.56
2019-01-10,7.55
2019-01-11,7.55
2019-01-14,7.35
2019-01-15,7.19
2019-01-16,7.1
2019-01-17,7.09
2019-01-18,7.06
2019-01-21,7.27
2019-01-22,7.28
2019-01-23,7.02
2019-01-24,7.24
2019-01-28,7.45
2019-01-29,7.45
2019-01-30,7.58
2019-01-31,7.51
2019-02-01,7.51
2019-02-04,7.44
2019-02-05,7.58
2019-02-06,7.34
2019-02-07,7.26
2019-02-08,7.41
2019-02-11,7.25
2019-02-12,7.28
2019-02-13,7.34
2019-02-14,7.54
2019-02-15,7.54
2019-02-18,7.45
2019-02-19,7.47
2019-02-20,7.32
2019-02-21,7.24
2019-02-22,7.26
2019-02-25,7.29
2019-02-26,7.16
2019-02-27,7.21
2019-02-28,7.19
2019-03-01,7.14
2019-03-06,7.09
2019-03-07,7.12
2019-03-08,7.09
2019-03-11,7.17
2019-03-12,7.09
2019-03-13,7.11
2019-03-14,7.1
2019-03-15,7.05
2019-03-18,7.05
2019-03-19,6.99
2019-03-20,6.9
2019-03-21,6.89
2019-03-22,6.86
2019-03-25,6.92
2019-03-26,6.85
2019-03-27,6.69
2019-03-28,6.81
2019-03-29,6.81
2019-04-01,7.03
2019-04-02,7.05
2019-04-03,6.85
2019-04-04,6.84
2019-04-05,6.83
2019-04-08,7.07
2019-04-09,6.98
2019-04-10,6.97
2019-04-11,6.89
2019-04-12,6.89
2019-04-15,6.94
2019-04-16,6.92
2019-04-17,6.91
2019-04-18,7.08
2019-04-22,7.22
2019-04-23,6.96
2019-04-24,7.0
2019-04-25,6.97
2019-04-26,6.93
2019-04-29,6.91
2019-04-30,6.9
2019-05-02,6.89
2019-05-03,6.97
2019-05-06,6.9
2019-05-07,6.75
2019-05-08,6.82
2019-05-09,6.84
2019-05-10,7.06
2019-05-13,6.97
2019-05-14,6.97
2019-05-15,6.89
2019-05-16,6.75
2019-05-17,6.67
2019-05-20,6.89
2019-05-21,6.94
2019-05-22,6.88
2019-05-23,6.81
2019-05-24,6.79
2019-05-27,6.85
2019-05-28,6.98
2019-05-29,6.89
2019-05-30,6.79
2019-05-31,6.76
2019-06-03,6.72
2019-06-04,6.68
2019-06-05,6.59
2019-06-06,6.6
2019-06-07,6.56
2019-06-10,6.59
2019-06-11,6.58
2019-06-12,6.57
2019-06-13,6.55
2019-06-14,6.54
2019-06-17,6.58
2019-06-18,6.57
2019-06-19,6.83
2019-06-21,7.09
2019-06-24,7.32
2019-06-25,7.32
2019-06-26,7.7
2019-06-27,7.49
2019-06-28,7.18
2019-07-01,7.21
2019-07-02,7.27
2019-07-03,7.35
2019-07-04,7.4
2019-07-05,7.41
2019-07-08,7.5
2019-07-10,7.62
2019-07-11,7.54
2019-07-12,7.25
2019-07-15,7.08
2019-07-16,7.0
2019-07-17,7.12
2019-07-18,7.13
2019-07-19,7.14
2019-07-22,7.6
2019-07-23,7.47
2019-07-24,7.3
2019-07-25,7.27
2019-07-26,7.24
2019-07-29,7.42
2019-07-30,7.55
2019-07-31,7.39
2019-08-01,7.13
2019-08-02,7.29
2019-08-05,7.2
2019-08-06,7.09
2019-08-07,7.03
2019-08-08,7.1
2019-08-09,7.12
2019-08-12,7.26
2019-08-13,7.28
2019-08-14,6.95
2019-08-15,6.62
2019-08-16,6.68
2019-08-19,6.6
2019-08-20,6.58
2019-08-21,6.76
2019-08-22,6.66
2019-08-23,6.54
2019-08-26,6.41
2019-08-27,6.37
2019-08-28,6.4
2019-08-29,6.53
2019-08-30,6.59
2019-09-02,6.55
2019-09-03,6.59
2019-09-04,6.85
2019-09-05,6.77
2019-09-06,6.69
2019-09-09,6.7
2019-09-10,6.83
2019-09-11,6.86
2019-09-12,6.8
2019-09-13,6.93
2019-09-16,7.01
2019-09-17,7.07
2019-09-18,7.07
2019-09-19,6.94
2019-09-20,6.98
2019-09-23,6.89
2019-09-24,6.78
2019-09-25,6.75
2019-09-26,6.76
2019-09-27,6.7
2019-09-30,6.72
2019-10-01,6.8
2019-10-02,6.67
2019-10-03,6.66
2019-10-04,6.67
2019-10-07,6.63
2019-10-08,6.49
2019-10-09,6.46
2019-10-10,6.63
2019-10-11,6.43
2019-10-14,6.39
2019-10-15,6.4
2019-10-16,6.36
2019-10-17,6.41
2019-10-18,6.35
2019-10-21,6.57
2019-10-22,6.64
2019-10-23,6.65
2019-10-24,6.41
2019-10-25,6.43
2019-10-28,6.37
2019-10-29,6.37
2019-10-30,6.44
2019-10-31,6.47
2019-11-01,6.57
2019-11-04,6.53
2019-11-05,6.57
2019-11-06,6.65
2019-11-07,6.72
2019-11-08,6.8
2019-11-11,6.76
2019-11-12,6.7
2019-11-13,6.77
2019-11-14,6.8
2019-11-18,6.99
2019-11-19,7.17
2019-11-21,7.24
2019-11-22,7.18
2019-11-25,7.24
2019-11-26,7.35
2019-11-27,7.39
2019-11-28,7.36
2019-11-29,7.52
2019-12-02,7.33
2019-12-03,7.53
2019-12-04,7.45
2019-12-05,7.53
2019-12-06,7.53
2019-12-09,7.65
2019-12-10,7.65
2019-12-11,7.85
2019-12-12,7.9
2019-12-13,7.96
2019-12-16,8.3
2019-12-17,8.38
2019-12-18,8.58
2019-12-19,8.89
2019-12-20,8.81
2019-12-23,8.99
2019-12-26,9.19
2019-12-27,8.96
2019-12-30,9.01
2020-01-02,9.2
2020-01-03,9.25
2020-01-06,9.06
2020-01-07,8.86
2020-01-08,8.92
2020-01-09,8.94
2020-01-10,9.31
2020-01-13,9.3
2020-01-14,9.28
2020-01-15,9.14
2020-01-16,9.15
2020-01-17,9.21
2020-01-20,9.4
2020-01-21,9.5
2020-01-22,9.59
2020-01-23,9.83
2020-01-24,9.77
2020-01-27,9.47
2020-01-28,9.2
2020-01-29,9.05
2020-01-30,9.11
2020-01-31,8.99
2020-02-03,9.27
2020-02-04,9.3
2020-02-05,9.3
2020-02-06,9.09
2020-02-07,8.99
2020-02-10,8.75
2020-02-11,9.07
2020-02-12,9.21
