DATE,GLOBAL_UREA_PRICE
2024-04-19,310.0
2024-04-26,312.5
2024-05-03,312.5
2024-05-10,302.5
2024-05-17,305.0
2024-05-24,322.5
2024-05-31,327.5
2024-06-07,345.0
2024-06-14,370.0
2024-06-21,365.0
2024-06-28,360.0
2024-07-05,360.0
2024-07-12,362.5
2024-07-19,365.0
2024-07-26,365.0
2024-08-02,362.5
2024-08-09,342.5
2024-08-16,355.0
2024-08-23,357.5
2024-08-30,342.5
2024-09-06,357.5
2024-09-13,357.5
2024-09-20,355.0
2024-09-27,367.5
2024-10-04,377.5
2024-10-11,387.5
2024-10-18,385.0
2024-10-25,375.0
2024-11-01,370.0
2024-11-08,352.5
2024-11-15,347.5
2024-11-22,342.5
2024-11-29,335.0
2024-12-06,335.0
2024-12-13,353.0
2024-12-20,364.5
2025-01-03,367.5
2025-01-10,380.0
2025-01-17,395.0
2025-01-24,395.0
2025-01-31,417.5
2025-02-07,437.5
2025-02-14,437.5
2025-02-21,442.5
2025-02-28,422.5
2025-03-07,415.0
2025-03-14,395.0
2025-03-21,375.0
2025-03-28,360.0
2025-04-04,382.5
