DATE,US_CHICKEN_READY_TO_COOK
2018-02-15,757318.0
2018-02-22,764227.0
2018-03-01,759669.0
2018-03-08,743074.0
2018-03-15,754741.0
2018-03-22,751587.0
2018-03-29,736033.0
2018-04-05,741745.0
2018-04-12,740740.0
2018-04-19,760780.0
2018-04-26,759524.0
2018-05-03,758288.0
2018-05-10,757185.0
2018-05-17,762417.0
2018-05-24,779703.0
2018-05-31,775443.0
2018-06-07,696286.0
2018-06-14,753433.0
2018-06-21,754421.0
2018-06-28,780221.0
2018-07-05,790355.0
2018-07-12,658624.0
2018-07-19,764075.0
2018-07-26,764467.0
2018-08-02,779209.0
2018-08-09,795485.0
2018-08-16,785583.0
2018-08-23,802950.0
2018-08-30,791060.0
2018-09-06,812141.0
2018-09-13,704901.0
2018-09-20,764667.0
2018-09-27,772520.0
2018-10-04,812054.0
2018-10-11,810843.0
2018-10-18,779752.0
2018-10-25,806462.0
2018-11-01,780012.0
2018-11-08,782430.0
2018-11-15,781723.0
2018-11-22,750774.0
2018-11-29,586513.0
2018-12-06,792457.0
2018-12-13,764267.0
2018-12-20,731566.0
2018-12-27,749368.0
2019-01-03,560659.0
2019-01-10,650748.0
2019-01-17,777830.0
2019-01-24,782012.0
2019-01-31,736491.0
2019-02-07,757715.0
2019-02-14,747398.0
2019-02-21,747811.0
2019-02-28,746312.0
2019-03-07,751259.0
2019-03-14,750311.0
2019-03-21,743997.0
2019-03-28,757532.0
2019-04-04,755329.0
2019-04-11,766587.0
2019-04-18,770951.0
2019-04-25,739067.0
2019-05-02,745113.0
2019-05-09,785649.0
2019-05-16,781095.0
2019-05-23,778850.0
2019-05-30,811618.0
2019-06-06,688729.0
2019-06-13,790980.0
2019-06-20,790460.0
2019-06-27,808221.0
2019-07-04,830773.0
2019-07-11,718236.0
2019-07-18,818661.0
2019-07-25,793503.0
2019-08-01,805795.0
2019-08-08,809479.0
2019-08-15,825236.0
2019-08-22,825168.0
2019-08-29,820331.0
2019-09-05,846410.0
2019-09-12,711940.0
2019-09-19,831656.0
2019-09-26,836537.0
2019-10-03,849272.0
2019-10-10,838606.0
2019-10-17,843821.0
2019-10-24,853226.0
2019-10-31,845522.0
2019-11-07,833516.0
2019-11-14,830461.0
2019-11-21,807760.0
2019-11-28,790449.0
2019-12-05,614989.0
2019-12-12,836321.0
2019-12-19,808560.0
2019-12-26,806069.0
2020-01-02,606551.0
2020-01-09,708156.0
2020-01-16,823707.0
2020-01-23,839667.0
2020-01-30,791357.0
2020-02-06,822143.0
2020-02-13,810958.0
2020-02-20,805629.0
2020-02-27,808583.0
2020-03-05,805867.0
2020-03-12,798449.0
2020-03-19,802124.0
2020-03-26,820747.0
2020-04-02,791809.0
2020-04-09,772461.0
2020-04-16,734420.0
2020-04-23,706619.0
2020-04-30,747024.0
2020-05-07,773299.0
2020-05-14,788893.0
2020-05-21,783590.0
2020-05-28,791494.0
2020-06-04,710168.0
2020-06-11,791904.0
2020-06-18,794148.0
2020-06-25,788663.0
2020-07-02,796369.0
2020-07-09,690915.0
2020-07-16,789646.0
2020-07-23,752644.0
2020-07-30,767773.0
2020-08-06,787959.0
2020-08-13,789483.0
2020-08-20,804911.0
2020-08-27,837197.0
2020-09-03,817502.0
2020-09-10,842998.0
2020-09-17,734337.0
2020-09-24,824335.0
2020-10-01,834794.0
2020-10-08,830648.0
2020-10-15,828809.0
2020-10-22,825644.0
