,Month,YoY_Growth_1y,YoY_Growth_1y,YoY_Growth_1y,YoY_Growth_1y,YoY_Growth_1y,YoY_Growth_1y,YoY_Growth_2y,YoY_Growth_2y,YoY_Growth_2y,YoY_Growth_2y,YoY_Growth_2y,YoY_Growth_2y,YoY_Growth_3y,YoY_Growth_3y,YoY_Growth_3y,YoY_Growth_3y,YoY_Growth_3y,YoY_Growth_3y
Year,,2020,2021,2022,2023,2024,2025,2020,2021,2022,2023,2024,2025,2020,2021,2022,2023,2024,2025
0,APR,3.209884833629917,2.6025570122645503,-0.9068137861060865,3.086103734041523,-4.092496314115001,,3.2289480312316376,5.895980928717726,1.6721428803799787,2.151304733821613,-1.1326912616388851,,7.72384790608025,5.915540256905372,4.9357015747238275,4.809850678291427,-2.0292336472304107,
1,AUG,3.666381522668938,1.2443681613387714,1.2095130976249813,1.4962392694358062,-2.43263829382081,,5.333333333333323,4.95637296834901,2.468932054857831,2.723849576996429,-0.9727971138204783,,6.324027443892688,6.644067796610176,6.225834046193324,4.002112455234097,0.22494987529952937,
2,DEC,2.9488739602260505,0.914861232552866,-0.8873128700479738,2.839566132426752,-3.815880612052136,,6.035060007211168,3.8907132974378644,0.01943068104537371,1.9270574266322171,-1.0846689331390658,,7.953433086281647,7.005133664131313,2.9688776275650586,2.859548560510383,-1.9623573961458862,
3,FEB,2.3084941825274097,2.389521602655753,0.6885703738182647,1.0935407766371252,-2.0940427008104945,-0.7714607827347453,4.64504368163996,4.753177752370696,3.094545514305902,1.7896409482689446,-1.0234011349869232,-2.8493487653347582,8.414994833054191,7.145559606521301,5.474477100006725,4.221926407993548,-0.3418775981894884,-1.78696677931518
4,JAN,3.2172487791689797,1.63542604567406,0.048321628761027746,0.3493576327397996,0.4861144534822115,-1.1271833189641423,5.132265115398527,4.905290549331709,1.684537938937547,0.39784807679916767,0.8371703641691042,-0.6465482665126476,9.67180150095157,6.85162556150285,4.95598249438165,2.03978063354342,0.8858965272856123,-0.2994493994912584
5,JUL,3.4319867258135517,0.6957062646302914,1.20785512241115,2.5025298360023873,-3.488208101543522,,4.677941705649524,4.151569537096611,1.9119645107957162,3.7406118932275634,-1.072971714024129,,6.772817841786982,5.406192703781754,5.409569604822062,4.462341829134542,0.12192346457717829,
6,JUN,2.813962099027223,1.5387133737109204,0.13219409962921258,3.630538382277182,-3.939907095250672,,3.5564144290751276,4.3959742838870275,1.672941561630381,3.7675318394325252,-0.452408552292638,,6.538079210338155,5.149850827230806,4.53397960214077,5.364216729415627,-0.32081251007577416,
7,MAR,3.8428535374779083,2.4935595197589144,-1.3452843909070755,2.2898072331629438,-2.117927188420332,,4.17587982108194,6.432236897451005,1.11472966185453,0.9137184229662587,0.12338359478905048,,8.755947136563869,6.7735673896531345,5.000420627576352,3.430062055444849,-1.223560656359668,
8,MAY,1.3377759266972156,3.013414874728748,0.22182856960468733,2.4251592356687945,-4.657742953531397,,1.9628878421643625,4.391503540191577,3.2419280594462974,2.6523675013166104,-2.3455414012738873,,5.9665871121718395,5.035452671103147,4.623073719283632,5.745709212862504,-2.1289159126091195,
9,NOV,3.2775216919739725,0.5332939516261348,0.23993340623826853,3.123066401797625,-3.830606960146532,,5.525445446832089,3.8282944685466447,0.7745069082077949,3.37049308763282,-0.8271729573061548,,6.762201744858265,6.088206264826579,4.077413232104132,3.9217616750352846,-0.5892242153198279,
10,OCT,2.5747437960531805,0.6143175625464403,1.096394045332949,2.448250669697205,-3.793797442276914,,5.068188916264704,3.2048784619293613,1.7174469490545796,3.57148718958753,-1.4384284438672013,,5.998809690519535,5.713641253426793,4.3364106038790595,4.207745025183707,-0.3578052423391931,
11,SEP,3.763900769888795,0.5474031327287632,1.4217310025909313,1.9337418551633734,-2.7694503925767333,,5.732017712074189,4.331907613344743,1.9769167353668626,3.3829654652192342,-0.8892625588125869,,5.225719143620533,6.3107980893274185,5.815226689478181,3.9488870568837653,0.5198255222852666,
