Date, Composite CUTOUT VALUE, PRIME CUTOUT VALUE, BRANDED CUTOUT VALUE, CHOICE CUTOUT VALUE, SELECT CUTOUT VALUE, UNGRADED CUTOUT VALUE,Composite Primal Rib,Prime Primal Rib,Branded Primal Rib,Choice Primal Rib,Select Primal Rib,Ungraded Primal Rib,Composite Primal Chuck,Prime Primal Chuck,Branded Primal Chuck,Choice Primal Chuck,Select Primal Chuck,Ungraded Primal Chuck,Composite Primal Round,Prime Primal Round,Branded Primal Round,Choice Primal Round,Select Primal Round,Ungraded Primal Round,Composite Primal Loin,Prime Primal Loin,Branded Primal Loin,Choice Primal Loin,Select Primal Loin,Ungraded Primal Loin,Composite Primal Brisket,Prime Primal Brisket,Branded Primal Brisket,Choice Primal Brisket,Select Primal Brisket,Ungraded Primal Brisket,Composite Primal Short Plate,Prime Primal Short Plate,Branded Primal Short Plate,Choice Primal Short Plate,Select Primal Short Plate,Ungraded Primal Short Plate,Composite Primal Flank,Prime Primal Flank,Branded Primal Flank,Choice Primal Flank,Select Primal Flank,Ungraded Primal Flank,Total Volume ,Prime Volume,Branded  Volume,Choice Volume,Select Volume,"Ungraded Volume(Cuts, Trims, Grinds)",Negotiated Sales      0-21 Day,Negotiated Sales      21+ Day,Formula Sales,Forward Contract Sales,Domestic Sales,NAFTA Exports,Overseas Exports,Delivery 0-21,Delivery 22-60,Delivery 60-90,Delivery 91 and up
2008-11-21,150.74,172.46,160.16,153.21,147.0,138.98,239.33,299.36,278.68,250.25,224.86,194.55,121.6,121.08,123.96,121.07,121.61,119.58,140.76,141.25,141.8,141.23,140.83,138.32,190.4,260.92,208.85,196.28,180.78,164.34,99.65,99.61,100.45,99.61,99.42,100.26,108.62,108.62,108.62,108.62,108.62,108.62,91.09,92.42,94.02,92.41,89.13,89.5,7419,60,602,1966,1754,3037,2689,898,3080,752,6829,330,260,,,,
2008-11-28,148.31,168.93,158.93,149.2,144.74,137.0,241.62,300.77,283.76,243.22,223.4,195.65,116.93,116.69,119.58,116.64,116.63,114.75,136.82,135.93,139.03,135.91,137.98,135.29,190.48,256.94,210.79,194.59,183.21,166.59,95.51,97.51,98.8,97.51,94.43,95.5,106.39,106.39,106.39,106.39,106.39,106.39,88.89,89.83,92.28,89.82,86.49,87.01,6719,86,521,1873,1552,2687,2561,746,2912,500,6214,309,196,,,,
2008-12-05,145.43,163.07,154.46,146.98,139.57,132.03,246.52,305.29,286.04,255.09,215.25,181.54,111.55,111.91,113.95,111.89,110.62,109.48,133.08,130.43,134.47,130.37,133.84,131.29,186.12,240.01,202.8,190.96,176.94,163.23,95.94,96.28,96.89,96.27,95.02,95.96,104.0,104.0,104.0,104.0,104.0,104.0,91.11,92.47,89.91,92.47,84.2,85.31,7843,109,605,2446,1669,3015,3190,730,3003,920,7166,382,295,,,,
2008-12-12,139.62,155.06,149.07,142.1,134.84,126.12,235.84,291.15,275.8,246.59,212.6,172.31,108.4,108.55,111.37,108.53,107.96,106.0,126.72,126.9,128.7,126.88,126.08,124.28,179.82,222.7,195.65,185.35,171.49,155.86,93.27,92.73,95.26,92.73,92.69,94.18,97.44,97.44,97.44,97.44,97.44,97.44,82.11,83.32,86.57,83.31,79.27,81.03,7548,102,596,2064,1544,3242,3270,724,3129,426,7127,234,188,,,,
2008-12-19,140.89,155.22,148.66,143.74,136.62,128.18,225.51,273.89,253.08,238.79,206.11,169.14,112.36,112.27,113.09,112.22,111.51,114.33,129.96,129.61,132.03,129.6,130.02,127.79,181.51,223.58,199.9,188.18,174.04,152.17,92.82,92.8,94.46,92.8,92.29,92.92,98.17,98.17,98.17,98.17,98.17,98.17,86.46,88.06,86.34,88.06,79.71,80.12,7077,105,654,1893,1537,2889,2771,1088,2908,310,6215,377,485,,,,
2008-12-26,140.7,157.8,148.82,144.04,136.16,129.02,206.66,272.43,232.31,221.8,187.8,163.73,116.4,116.11,117.26,116.07,115.87,117.65,133.41,133.38,135.26,133.36,132.65,131.55,181.17,227.12,202.34,189.26,171.76,149.49,93.39,93.26,93.2,93.26,93.5,93.62,99.88,99.88,99.88,99.88,99.88,99.88,83.4,84.23,85.61,84.23,80.51,81.06,4907,44,437,1266,1091,2069,1771,568,2297,272,4464,160,283,,,,
2009-01-02,141.18,160.4,149.2,143.34,135.77,128.59,196.36,263.94,214.73,203.94,175.59,154.92,119.47,119.23,120.32,119.2,119.06,120.07,136.51,135.69,138.79,135.64,134.43,134.14,184.09,239.87,207.6,191.49,172.46,148.82,93.28,92.69,94.68,92.69,93.54,93.13,92.77,92.77,92.77,92.77,92.77,92.77,81.54,82.76,85.22,82.75,80.76,79.42,6402,112,531,1660,1274,2826,2645,477,2989,290,6040,202,160,,,,
2009-01-09,140.97,157.13,148.09,143.53,137.82,131.72,188.88,251.15,200.38,191.85,180.96,156.53,123.48,122.83,124.87,122.83,122.85,125.68,138.98,139.12,141.54,139.09,137.02,137.11,177.0,220.4,199.87,187.89,169.8,149.92,95.08,95.58,93.58,95.58,95.24,95.43,95.76,95.71,95.71,95.71,95.71,95.71,84.19,86.1,86.2,86.1,80.99,81.43,8015,51,702,2306,1824,3132,3567,840,3120,489,7469,200,346,,,,
2009-01-16,147.73,166.39,155.43,149.46,141.48,135.8,204.5,272.55,222.53,206.0,180.87,164.37,129.35,129.67,131.93,129.64,128.37,127.51,141.77,141.41,144.03,141.37,139.66,142.46,187.52,238.81,207.56,194.53,174.5,155.65,98.64,99.74,100.29,99.74,98.6,94.59,98.36,98.36,98.36,98.36,98.36,98.36,85.58,86.36,87.4,86.35,84.03,83.9,7516,57,726,2112,1504,3117,2976,583,3180,777,7112,180,224,,,,
2009-01-23,149.57,165.22,154.73,151.43,143.36,137.57,207.6,272.77,207.33,211.77,186.12,168.82,131.5,131.66,133.65,131.65,130.16,131.24,141.88,141.16,144.69,141.13,141.07,141.26,190.79,230.1,208.77,197.6,176.08,156.65,99.95,100.81,101.49,100.81,99.07,97.3,98.36,98.36,98.36,98.36,98.36,98.36,87.63,88.35,88.86,88.35,86.33,86.41,7732,54,681,2279,1708,3011,3007,1073,3087,566,7091,396,245,,,,
