DATE,GLOBAL_CURNCY_ARS
2002-12-19,3.465
2002-12-20,3.47
2002-12-23,3.46
2002-12-24,3.405
2002-12-25,3.415
2002-12-26,3.395
2002-12-27,3.395
2002-12-30,3.38
2002-12-31,3.36
2003-01-01,3.36
2003-01-02,3.34
2003-01-03,3.33
2003-01-06,3.325
2003-01-07,3.285
2003-01-08,3.295
2003-01-09,3.33
2003-01-10,3.345
2003-01-13,3.32
2003-01-14,3.245
2003-01-15,3.225
2003-01-16,3.265
2003-01-17,3.2
2003-01-20,3.155
2003-01-21,3.105
2003-01-22,3.105
2003-01-23,3.135
2003-01-24,3.215
2003-01-27,3.32
2003-01-28,3.325
2003-01-29,3.295
2003-01-30,3.245
2003-01-31,3.205
2003-02-03,3.185
2003-02-04,3.165
2003-02-05,3.165
2003-02-06,3.145
2003-02-07,3.155
2003-02-10,3.125
2003-02-11,3.105
2003-02-12,3.105
2003-02-13,3.135
2003-02-14,3.18
2003-02-17,3.1445
2003-02-18,3.165
2003-02-19,3.195
2003-02-20,3.205
2003-02-21,3.185
2003-02-24,3.12
2003-02-25,3.155
2003-02-26,3.165
2003-02-27,3.19
2003-02-28,3.2
2003-03-03,3.205
2003-03-04,3.17
2003-03-05,3.175
2003-03-06,3.175
2003-03-07,3.165
2003-03-10,3.135
2003-03-11,3.125
2003-03-12,3.06
2003-03-13,3.115
2003-03-14,3.115
2003-03-17,3.085
2003-03-18,3.055
2003-03-19,3.015
2003-03-20,3.02
2003-03-21,3.0225
2003-03-24,2.96
2003-03-25,2.935
2003-03-26,2.895
2003-03-27,2.875
2003-03-28,2.9725
2003-03-31,2.9725
2003-04-01,2.92
2003-04-02,2.9275
2003-04-03,2.912
2003-04-04,2.91
2003-04-07,2.935
2003-04-08,2.9415
2003-04-09,2.9465
2003-04-10,2.855
2003-04-11,2.9315
2003-04-14,2.915
2003-04-15,2.963
2003-04-16,2.938
2003-04-17,2.9225
2003-04-18,2.9225
2003-04-21,2.922
2003-04-22,2.878
2003-04-23,2.795
2003-04-24,2.85
2003-04-25,2.878
2003-04-28,2.868
2003-04-29,2.805
2003-04-30,2.822
2003-05-01,2.822
2003-05-02,2.797
2003-05-05,2.75
2003-05-06,2.7975
2003-05-07,2.805
2003-05-08,2.767
2003-05-09,2.785
2003-05-12,2.777
2003-05-13,2.7625
2003-05-14,2.785
2003-05-15,2.82
2003-05-16,2.89
2003-05-19,2.943
2003-05-20,2.882
2003-05-21,2.8425
2003-05-22,2.88
2003-05-23,2.8875
2003-05-26,2.835
2003-05-27,2.865
2003-05-28,2.8825
2003-05-29,2.8825
2003-05-30,2.862
2003-06-02,2.8475
2003-06-03,2.8375
2003-06-04,2.8225
2003-06-05,2.8225
2003-06-06,2.828
2003-06-09,2.8125
2003-06-10,2.8075
2003-06-11,2.8225
2003-06-12,2.8375
