Year,Month,Heads,Heads Unit
2009,JUL,1533734000,HEAD
2009,AUG,1489312000,HEAD
2009,SEP,1493716000,HEAD
2009,OCT,1486185000,HEAD
2009,NOV,1341497000,HEAD
2009,DEC,1438305000,HEAD
2008,JAN,1612856000,HEAD
2008,FEB,1467991000,HEAD
2008,MAR,1491842000,HEAD
2008,APR,1584450000,HEAD
2008,MAY,1567186000,HEAD
2008,JUN,1534869000,HEAD
2008,JUL,1612196000,HEAD
2008,AUG,1525390000,HEAD
2008,SEP,1546699000,HEAD
2008,OCT,1597579000,HEAD
2008,NOV,1309064000,HEAD
2008,DEC,1454144000,HEAD
2007,JAN,1533615000,HEAD
2007,FEB,1365132000,HEAD
2007,MAR,1491650000,HEAD
2007,APR,1459478000,HEAD
2007,MAY,1602658000,HEAD
2007,JUN,1533043000,HEAD
2007,JUL,1548382000,HEAD
2007,AUG,1635698000,HEAD
2007,SEP,1443796000,HEAD
2007,OCT,1665841000,HEAD
2007,NOV,1488438000,HEAD
2007,DEC,1436058000,HEAD
2006,JAN,1527665000,HEAD
2006,FEB,1386645000,HEAD
2006,MAR,1589377000,HEAD
2006,APR,1419964000,HEAD
2006,MAY,1607985000,HEAD
2006,JUN,1561719000,HEAD
2006,JUL,1463312000,HEAD
2006,AUG,1622389000,HEAD
2006,SEP,1455906000,HEAD
2006,OCT,1582058000,HEAD
2006,NOV,1462885000,HEAD
2006,DEC,1388549000,HEAD
2005,JAN,1473210000,HEAD
2005,FEB,1377538000,HEAD
2005,MAR,1578595000,HEAD
2005,APR,1469158000,HEAD
2005,MAY,1555087000,HEAD
2005,JUN,1586383000,HEAD
2005,JUL,1475058000,HEAD
2005,AUG,1626803000,HEAD
2005,SEP,1534962000,HEAD
2005,OCT,1525280000,HEAD
2005,NOV,1474781000,HEAD
2005,DEC,1470755000,HEAD
2004,JAN,1475927000,HEAD
2004,FEB,1321981000,HEAD
2004,MAR,1566619000,HEAD
2004,APR,1491354000,HEAD
2004,MAY,1464215000,HEAD
2004,JUN,1534923000,HEAD
2004,JUL,1521124000,HEAD
2004,AUG,1580142000,HEAD
2004,SEP,1547646000,HEAD
2004,OCT,1497437000,HEAD
2004,NOV,1361986000,HEAD
2004,DEC,1482399000,HEAD
2003,JAN,1493442000,HEAD
2003,FEB,1304506000,HEAD
2003,MAR,1404047000,HEAD
2003,APR,1467562000,HEAD
2003,MAY,1493835000,HEAD
2003,JUN,1467440000,HEAD
2003,JUL,1564161000,HEAD
2003,AUG,1482627000,HEAD
2003,SEP,1491465000,HEAD
2003,OCT,1600742000,HEAD
2003,NOV,1281509000,HEAD
2003,DEC,1465101000,HEAD
2002,JAN,1523043000,HEAD
2002,FEB,1351388000,HEAD
2002,MAR,1418758000,HEAD
2002,APR,1512726000,HEAD
2002,MAY,1567717000,HEAD
2002,JUN,1410373000,HEAD
2002,JUL,1555395000,HEAD
2002,AUG,1560385000,HEAD
2002,SEP,1415267000,HEAD
2002,OCT,1592287000,HEAD
2002,NOV,1330320000,HEAD
2002,DEC,1364398000,HEAD
2001,JAN,1463363000,HEAD
2001,FEB,1292962000,HEAD
2001,MAR,1444538000,HEAD
2001,APR,1390761000,HEAD
2001,MAY,1552446000,HEAD
2001,JUN,1458672000,HEAD
2001,JUL,1456303000,HEAD
2001,AUG,1594589000,HEAD
2001,SEP,1343351000,HEAD
2001,OCT,1582698000,HEAD
2001,NOV,1372043000,HEAD
2001,DEC,1341107000,HEAD
2000,JAN,1339268000,HEAD
2000,FEB,1372988000,HEAD
2000,MAR,1492538000,HEAD
2000,APR,1298474000,HEAD
2000,MAY,1534598000,HEAD
2000,JUN,1497444000,HEAD
2000,JUL,1350988000,HEAD
2000,AUG,1551861000,HEAD
2000,SEP,1340851000,HEAD
2000,OCT,1439308000,HEAD
2000,NOV,1349850000,HEAD
2000,DEC,1284114000,HEAD
1999,JAN,1357854000,HEAD
1999,FEB,1263649000,HEAD
1999,MAR,1444568000,HEAD
1999,APR,1405195000,HEAD
1999,MAY,1374684000,HEAD
1999,JUN,1437034000,HEAD
1999,JUL,1405978000,HEAD
1999,AUG,1444661000,HEAD
1999,SEP,1392332000,HEAD
1999,OCT,1362521000,HEAD
1999,NOV,1327050000,HEAD
1999,DEC,1358906000,HEAD
1998,JAN,1367321000,HEAD
1998,FEB,1240162000,HEAD
1998,MAR,1332307000,HEAD
1998,APR,1354860000,HEAD
1998,MAY,1300822000,HEAD
1998,JUN,1366502000,HEAD
1998,JUL,1402296000,HEAD
1998,AUG,1330414000,HEAD
1998,SEP,1339262000,HEAD
1998,OCT,1403106000,HEAD
1998,NOV,1224480000,HEAD
1998,DEC,1352430000,HEAD
1997,JAN,1365688000,HEAD
1997,FEB,1211066000,HEAD
1997,MAR,1259231000,HEAD
1997,APR,1358422000,HEAD
1997,MAY,1366618000,HEAD
1997,JUN,1310368000,HEAD
1997,JUL,1368419000,HEAD
1997,AUG,1335188000,HEAD
1997,SEP,1321901000,HEAD
1997,OCT,1435114000,HEAD
1997,NOV,1152054000,HEAD
1997,DEC,1323008000,HEAD
1996,JAN,1316550000,HEAD
1996,FEB,1263972000,HEAD
1996,MAR,1261596000,HEAD
1996,APR,1280712000,HEAD
1996,MAY,1353862000,HEAD
1996,JUN,1223794000,HEAD
1996,JUL,1336250000,HEAD
1996,AUG,1343092000,HEAD
1996,SEP,1238500000,HEAD
1996,OCT,1401337000,HEAD
1996,NOV,1165568000,HEAD
1996,DEC,1214484000,HEAD
1995,JAN,1243832000,HEAD
1995,FEB,1147578000,HEAD
1995,MAR,1331008000,HEAD
1995,APR,1157432000,HEAD
1995,MAY,1338524000,HEAD
1995,JUN,1348160000,HEAD
1995,JUL,1195153000,HEAD
1995,AUG,1356405000,HEAD
1995,SEP,1239486000,HEAD
1995,OCT,1308655000,HEAD
1995,NOV,1216992000,HEAD
1995,DEC,1178468000,HEAD
1994,JAN,1144722000,HEAD
1994,FEB,1070608000,HEAD
1994,MAR,1230822000,HEAD
1994,APR,1166752000,HEAD
1994,MAY,1204246000,HEAD
1994,JUN,1288320000,HEAD
1994,JUL,1166276000,HEAD
1994,AUG,1352824000,HEAD
1994,SEP,1251306000,HEAD
1994,OCT,1228338000,HEAD
1994,NOV,1183960000,HEAD
1994,DEC,1191019000,HEAD
1993,JAN,1110638000,HEAD
1993,FEB,1025432000,HEAD
1993,MAR,1174388000,HEAD
1993,APR,1146536000,HEAD
1993,MAY,1099626000,HEAD
1993,JUN,1222100000,HEAD
1993,JUL,1153576000,HEAD
1993,AUG,1209460000,HEAD
1993,SEP,1189371000,HEAD
1993,OCT,1136654000,HEAD
1993,NOV,1100820000,HEAD
1993,DEC,1145200000,HEAD
1992,JAN,1120059000,HEAD
1992,FEB,999406000,HEAD
1992,MAR,1105893000,HEAD
1992,APR,1086154000,HEAD
1992,MAY,1085404000,HEAD
1992,JUN,1143070000,HEAD
1992,JUL,1175776000,HEAD
1992,AUG,1117536000,HEAD
1992,SEP,1123790000,HEAD
1992,OCT,1133700000,HEAD
1992,NOV,988280000,HEAD
1992,DEC,1125609000,HEAD
1991,JAN,1064408000,HEAD
1991,FEB,954646000,HEAD
1991,MAR,981253000,HEAD
1991,APR,1083795000,HEAD
1991,MAY,1123640000,HEAD
1991,JUN,1016554000,HEAD
1991,JUL,1126110000,HEAD
1991,AUG,1133545000,HEAD
1991,SEP,1022872000,HEAD
1991,OCT,1149032000,HEAD
1991,NOV,954001000,HEAD
1991,DEC,1017453000,HEAD
1990,JAN,1024506000,HEAD
1990,FEB,892694000,HEAD
1990,MAR,999150000,HEAD
1990,APR,971010000,HEAD
1990,MAY,1060592000,HEAD
1990,JUN,1012192000,HEAD
1990,JUL,1012702000,HEAD
1990,AUG,1115152000,HEAD
1990,SEP,925906000,HEAD
1990,OCT,1120034000,HEAD
1990,NOV,993788000,HEAD
1990,DEC,917150000,HEAD
1989,JAN,911842000,HEAD
1989,FEB,840308000,HEAD
1989,MAR,966250000,HEAD
1989,APR,872442000,HEAD
1989,MAY,1005630000,HEAD
1989,JUN,1000688000,HEAD
1989,JUL,911894000,HEAD
1989,AUG,1064778000,HEAD
1989,SEP,935578000,HEAD
1989,OCT,966802000,HEAD
1989,NOV,920700000,HEAD
1989,DEC,965226000,HEAD
1988,JAN,855336000,HEAD
1988,FEB,858260000,HEAD
1988,MAR,930452000,HEAD
1988,APR,869852000,HEAD
1988,MAY,910926000,HEAD
1988,JUN,933772000,HEAD
1988,JUL,833556000,HEAD
1988,AUG,968672000,HEAD
1988,SEP,907948000,HEAD
1988,OCT,895644000,HEAD
1988,NOV,859564000,HEAD
1988,DEC,878076000,HEAD
1987,JAN,840660000,HEAD
1987,FEB,774892000,HEAD
1987,MAR,860438000,HEAD
1987,APR,849188000,HEAD
1987,MAY,838654000,HEAD
1987,JUN,921488000,HEAD
1987,JUL,912942000,HEAD
1987,AUG,870468000,HEAD
1987,SEP,911454000,HEAD
1987,OCT,902100000,HEAD
1987,NOV,781136000,HEAD
1987,DEC,877244000,HEAD
1986,JAN,813082000,HEAD
1986,FEB,728866000,HEAD
1986,MAR,755230000,HEAD
1986,APR,833692000,HEAD
1986,MAY,830598000,HEAD
1986,JUN,819694000,HEAD
1986,JUL,834662000,HEAD
1986,AUG,816254000,HEAD
1986,SEP,829150000,HEAD
1986,OCT,848406000,HEAD
1986,NOV,706344000,HEAD
1986,DEC,851332000,HEAD
1985,JAN,794462000,HEAD
1985,FEB,683720000,HEAD
1985,MAR,743206000,HEAD
1985,APR,810194000,HEAD
1985,MAY,824296000,HEAD
1985,JUN,746648000,HEAD
1985,JUL,824764000,HEAD
1985,AUG,823810000,HEAD
1985,SEP,734052000,HEAD
1985,OCT,838206000,HEAD
1985,NOV,674342000,HEAD
1985,DEC,736840000,HEAD
1984,JAN,706574000,HEAD
1984,FEB,672890000,HEAD
1984,MAR,731084000,HEAD
1984,APR,714820000,HEAD
1984,MAY,809024000,HEAD
1984,JUN,769710000,HEAD
1984,JUL,763110000,HEAD
1984,AUG,840392000,HEAD
1984,SEP,706252000,HEAD
1984,OCT,826654000,HEAD
1984,NOV,693450000,HEAD
1984,DEC,684040000,HEAD
1983,JAN,718430000,HEAD
1983,FEB,657110000,HEAD
1983,MAR,774640000,HEAD
1983,APR,726476000,HEAD
1983,MAY,755588000,HEAD
1983,JUN,777060000,HEAD
1983,JUL,691096000,HEAD
1983,AUG,789900000,HEAD
1983,SEP,728532000,HEAD
1983,OCT,709592000,HEAD
1983,NOV,642072000,HEAD
1983,DEC,650870000,HEAD
1982,JAN,665434000,HEAD
1982,FEB,651310000,HEAD
1982,MAR,752672000,HEAD
1982,APR,722278000,HEAD
1982,MAY,709804000,HEAD
1982,JUN,770808000,HEAD
1982,JUL,733666000,HEAD
