InitialDate,EndDate,ONI,FinalDate,ONI_El_Nino,ONI_La_Nina
20230529,20230604,0.7,2023-06-04,0.7,0.0
20230605,20230611,0.91,2023-06-11,0.91,0.0
20230612,20230618,0.85,2023-06-18,0.85,0.0
20230619,20230625,0.94,2023-06-25,0.94,0.0
20230626,20230702,0.96,2023-07-02,0.96,0.0
20230703,20230709,1.03,2023-07-09,1.03,0.0
20230710,20230716,1.06,2023-07-16,1.06,0.0
20230717,20230723,1.15,2023-07-23,1.15,0.0
20230724,20230730,1.23,2023-07-30,1.23,0.0
20230731,20230806,1.28,2023-08-06,1.28,0.0
20230807,20230813,1.37,2023-08-13,1.37,0.0
20230814,20230820,1.43,2023-08-20,1.43,0.0
20230821,20230827,1.55,2023-08-27,1.55,0.0
20230828,20230903,1.6,2023-09-03,1.6,0.0
20230904,20230910,1.67,2023-09-10,1.67,0.0
20230911,20230917,1.68,2023-09-17,1.68,0.0
20230918,20230924,1.69,2023-09-24,1.69,0.0
20230925,20231001,1.61,2023-10-01,1.61,0.0
20231002,20231008,1.57,2023-10-08,1.57,0.0
20231009,20231015,1.57,2023-10-15,1.57,0.0
20231016,20231022,1.69,2023-10-22,1.69,0.0
20231023,20231029,1.72,2023-10-29,1.72,0.0
20231030,20231105,1.78,2023-11-05,1.78,0.0
20231106,20231112,1.7,2023-11-12,1.7,0.0
20231113,20231119,1.75,2023-11-19,1.75,0.0
20231120,20231126,2.03,2023-11-26,2.03,0.0
20231127,20231203,1.99,2023-12-03,1.99,0.0
20231204,20231210,1.97,2023-12-10,1.97,0.0
20231211,20231217,1.94,2023-12-17,1.94,0.0
20231218,20231224,1.97,2023-12-24,1.97,0.0
20231225,20231231,2.02,2023-12-31,2.02,0.0
20240101,20240107,2.01,2024-01-07,2.01,0.0
20240108,20240114,1.85,2024-01-14,1.85,0.0
20240115,20240121,1.71,2024-01-21,1.71,0.0
20240122,20240128,1.61,2024-01-28,1.61,0.0
20240129,20240204,1.72,2024-02-04,1.72,0.0
20240205,20240211,1.64,2024-02-11,1.64,0.0
20240212,20240218,1.5,2024-02-18,1.5,0.0
20240219,20240225,1.45,2024-02-25,1.45,0.0
20240226,20240303,1.39,2024-03-03,1.39,0.0
20240304,20240310,1.37,2024-03-10,1.37,0.0
20240311,20240317,1.08,2024-03-17,1.08,0.0
20240318,20240324,1.15,2024-03-24,1.15,0.0
20240325,20240331,1.06,2024-03-31,1.06,0.0
20240401,20240407,1.2,2024-04-07,1.2,0.0
20240408,20240414,0.79,2024-04-14,0.79,0.0
20240415,20240421,0.77,2024-04-21,0.77,0.0
20240422,20240428,0.7,2024-04-28,0.7,0.0
20240429,20240505,0.53,2024-05-05,0.53,0.0
20240506,20240512,0.33,2024-05-12,0.33,0.0
20240513,20240519,0.27,2024-05-19,0.27,0.0
20240520,20240526,0.13,2024-05-26,0.13,0.0
20240527,20240602,0.06,2024-06-02,0.06,0.0
20240603,20240609,0.21,2024-06-09,0.21,0.0
20240610,20240616,0.19,2024-06-16,0.19,0.0
20240617,20240623,0.27,2024-06-23,0.27,0.0
20240624,20240630,0.37,2024-06-30,0.37,0.0
20240701,20240707,0.31,2024-07-07,0.31,0.0
20240708,20240714,0.24,2024-07-14,0.24,0.0
20240715,20240721,0.16,2024-07-21,0.16,0.0
20240722,20240728,0.17,2024-07-28,0.17,0.0
20240729,20240804,0.03,2024-08-04,0.03,0.0
20240805,20240811,0.15,2024-08-11,0.15,0.0
20240812,20240818,0.07,2024-08-18,0.07,0.0
20240819,20240825,0.13,2024-08-25,0.13,0.0
20240826,20240901,-0.01,2024-09-01,0.0,-0.01
20240902,20240908,-0.08,2024-09-08,0.0,-0.08
20240909,20240915,-0.21,2024-09-15,0.0,-0.21
20240916,20240922,-0.48,2024-09-22,0.0,-0.48
20240923,20240929,-0.43,2024-09-29,0.0,-0.43
20240930,20241006,-0.38,2024-10-06,0.0,-0.38
20241007,20241013,-0.5,2024-10-13,0.0,-0.5
20241014,20241020,-0.53,2024-10-20,0.0,-0.53
20241021,20241027,-0.61,2024-10-27,0.0,-0.61
20241028,20241103,-0.48,2024-11-03,0.0,-0.48
20241104,20241110,-0.37,2024-11-10,0.0,-0.37
20241111,20241117,-0.26,2024-11-17,0.0,-0.26
20241118,20241124,-0.14,2024-11-24,0.0,-0.14
20241125,20241201,-0.28,2024-12-01,0.0,-0.28
20241202,20241208,-0.41,2024-12-08,0.0,-0.41
20241209,20241215,-0.52,2024-12-15,0.0,-0.52
20241216,20241222,-0.73,2024-12-22,0.0,-0.73
20241223,20241229,-0.91,2024-12-29,0.0,-0.91
20241230,20250105,-0.83,2025-01-05,0.0,-0.83
20250106,20250112,-0.76,2025-01-12,0.0,-0.76
20250113,20250119,-0.67,2025-01-19,0.0,-0.67
20250120,20250126,-0.86,2025-01-26,0.0,-0.86
20250127,20250202,-0.89,2025-02-02,0.0,-0.89
20250203,20250209,-0.76,2025-02-09,0.0,-0.76
20250210,20250216,-0.56,2025-02-16,0.0,-0.56
20250217,20250223,-0.4,2025-02-23,0.0,-0.4
20250224,20250302,-0.3,2025-03-02,0.0,-0.3
20250303,20250309,-0.06,2025-03-09,0.0,-0.06
20250310,20250316,0.14,2025-03-16,0.14,0.0
20250317,20250323,-0.12,2025-03-23,0.0,-0.12
20250324,20250330,-0.18,2025-03-30,0.0,-0.18
20250331,20250406,-0.39,2025-04-06,0.0,-0.39
