Projected_Date,Cumulative_Potential_Placements,Layer_Herd,Mortality_Rate,Mortality_Rate_LTM
2014-04-01,61457000.0,53679000,12.656003384480208,
2014-05-01,61385000.0,53879000,12.22774293394152,
2014-06-01,61444000.0,53744000,12.531736215090161,
2014-07-01,61524000.0,53928000,12.34640140433002,
2014-08-01,61772000.0,53201000,13.875218545619372,
2014-09-01,61446000.0,52906000,13.898382319434955,
2014-10-01,61225000.0,53135000,13.213556553695383,
2014-11-01,61366000.0,53372000,13.02675748785973,
2014-12-01,61835000.0,54402000,12.020700250667094,
2015-01-01,62018000.0,54494000,12.131961688542036,
2015-02-01,61999000.0,54515000,12.071162438103844,
2015-03-01,62220000.0,55632000,10.588235294117643,12.548988209656832
2015-04-01,62804000.0,55811000,11.134641105662057,12.422208019755317
2015-05-01,63157000.0,56457000,10.608483620184616,12.28726974360891
2015-06-01,63509000.0,55745000,12.225038970854529,12.261711639922607
2015-07-01,63514000.0,55654000,12.375224359983628,12.264113552893741
2015-08-01,63748000.0,55459000,13.002760870929286,12.191408746669566
2015-09-01,64040000.0,55191000,13.817926296064964,12.184704078055402
2015-10-01,64106000.0,55336000,13.68046672698343,12.223613259162738
2015-11-01,64889000.0,55420000,14.592611998952055,12.354101135087099
2015-12-01,64994000.0,56187000,13.550481582915342,12.481582912774455
2016-01-01,65531000.0,56517000,13.755321908714958,12.616862931122197
2016-02-01,66136000.0,57073000,13.703580500786261,12.752897769679064
2016-03-01,66452000.0,56797000,14.529284295431289,13.081318519788534
2016-04-01,68230000.0,56679000,16.92950315110655,13.564223690242244
2016-05-01,68149000.0,56804000,16.647346255997885,14.067462243226684
2016-06-01,67487000.0,56314000,16.555781113399615,14.428357421772105
2016-07-01,67871000.0,56023000,17.4566456955106,14.851809199732685
2016-08-01,67602000.0,55463000,17.95656933226828,15.264626571510936
2016-09-01,68159000.0,55457000,18.63583679338019,15.66611911295387
2016-10-01,68512000.0,55263000,19.33821812237272,16.13759839590298
2016-11-01,68699000.0,55672000,18.962430311940494,16.501749921985347
2016-12-01,68875000.0,55243000,19.792377495462798,17.021907914697636
2017-01-01,68802000.0,55698000,19.04595796633819,17.462794252832904
2017-02-01,69669000.0,56126000,19.439061849603124,17.940751031900977
2017-03-01,70129000.0,56750000,19.077699667755134,18.3197856462613
2017-04-01,70194000.0,57070000,18.696754708379636,18.467056609367386
2017-05-01,70377000.0,57403000,18.435000071045938,18.616027760621392
2017-06-01,69989000.0,57341000,18.071411221763423,18.74233026965171
2017-07-01,69381000.0,57214000,17.536501347631194,18.748984907328428
2017-08-01,68929000.0,56989000,17.322172090121725,18.696118470482883
2017-09-01,68678000.0,57638000,16.075016744809112,18.482716799768625
2017-10-01,68440000.0,57128000,16.528345996493275,18.24856078927867
2017-11-01,67755000.0,57082000,15.752343000516566,17.98105351332668
2017-12-01,68224000.0,57208000,16.1468105065666,17.677256264251994
2018-01-01,68872000.0,58103000,15.636252758740854,17.393114163618883
2018-02-01,69047000.0,58148000,15.784900140484016,17.088600687858957
2018-03-01,69492000.0,59245000,14.74558222529212,16.727590900987035
2018-04-01,70197000.0,59555000,15.160192030998477,16.432877344538607
2018-05-01,70623000.0,59657000,15.527519363380204,16.190587285566462
2018-06-01,70734000.0,58992000,16.60022054457545,16.067988062467467
2018-07-01,70067000.0,58359000,16.70972069590535,15.999089674823646
2018-08-01,70155000.0,57525000,18.002993371819542,16.055824781631795
2018-09-01,69575000.0,57362000,17.55371900826447,16.17904997025308
2018-10-01,69406000.0,57634000,16.961069648157224,16.21511027455841
2018-11-01,70010000.0,57751000,17.510355663476652,16.36161132980508
2018-12-01,70137000.0,58243000,16.958238875343966,16.429230360536526
2019-01-01,70216000.0,59181000,15.715791272644408,16.43585857002849
2019-02-01,70100000.0,59476000,15.15549215406562,16.383407904493623
2019-03-01,70500000.0,59435000,15.695035460992912,16.462529007468692
2019-04-01,71182000.0,59566000,16.31873226377455,16.559074026866696
2019-05-01,71318000.0,60025000,15.834712134384022,16.584673424450347
2019-06-01,71640000.0,59418000,17.06030150753769,16.6230135046972
2019-07-01,72147000.0,59062000,18.13658225567245,16.74191863467779
2019-08-01,71937000.0,58450000,18.74834925003823,16.804031624529348
2019-09-01,71537000.0,58450000,18.29402966297161,16.86572417908828
2019-10-01,71440000.0,59035000,17.364221724524075,16.89932018545218
2019-11-01,71306000.0,59008000,17.24679550107985,16.877356838585783
2019-12-01,71730000.0,59989000,16.368325665690787,16.828197404448016
2020-01-01,72170000.0,61085000,15.359567687404741,16.798512105678046
2020-02-01,73411000.0,60849000,17.11187696666712,16.961544173394838
2020-03-01,73604000.0,61719000,16.147220259768492,16.999226239959466
2020-04-01,73624000.0,61478000,16.497337824622406,17.01411003669679
2020-05-01,73677000.0,60828000,17.439635164298217,17.14785362252297
2020-06-01,73936000.0,61090000,17.37448604198225,17.17403566706002
2020-07-01,74341000.0,61089000,17.825964138227903,17.14815082393964
2020-08-01,74484000.0,60593000,18.649642876322435,17.139925292796658
2020-09-01,73852000.0,60650000,17.87629312679413,17.105113914781867
2020-10-01,73682000.0,60555000,17.81574875817703,17.14274116758628
2020-11-01,73333000.0,60942000,16.896894985886302,17.11358279132015
2020-12-01,73427000.0,61758000,15.891974341863346,17.073886847667865
2021-01-01,72886000.0,62084000,14.820404467250226,17.028956579321655
2021-02-01,73590000.0,62303000,15.337681750237808,16.881106977952545
2021-03-01,73660000.0,63258000,14.121639967417865,16.71230862025666
2021-04-01,74741000.0,63078000,15.60455439450904,16.637910001080545
