DATE,BR_SOY_PRIMAVERA_DO_LESTE_PRICE
2014-09-02,54.33
2014-09-03,53.67
2014-09-04,52.67
2014-09-05,51.56
2014-09-08,51.69
2014-09-09,52.85
2014-09-10,52.78
2014-09-11,50.93
2014-09-12,50.47
2014-09-15,51.0
2014-09-16,51.77
2014-09-17,52.02
2014-09-18,52.26
2014-09-19,52.42
2014-09-22,52.64
2014-09-23,52.88
2014-09-24,53.0
2014-09-25,53.0
2014-09-26,52.0
2014-09-29,52.0
2014-09-30,52.0
2014-10-01,51.67
2014-10-02,52.06
2014-10-03,52.19
2014-10-06,52.4
2014-10-07,52.3
2014-10-08,52.43
2014-10-09,51.81
2014-10-10,50.0
2014-10-13,50.0
2014-10-14,51.0
2014-10-15,51.33
2014-10-16,52.11
2014-10-17,53.04
2014-10-20,52.77
2014-10-21,52.76
2014-10-22,52.59
2014-10-23,52.67
2014-10-24,53.0
2014-10-27,53.67
2014-10-28,54.72
2014-10-29,54.67
2014-10-30,54.17
2014-10-31,54.56
2014-11-03,54.28
2014-11-04,53.76
2014-11-05,53.59
2014-11-06,53.53
2014-11-07,53.84
2014-11-10,52.45
2014-11-11,52.32
2014-11-12,53.77
2014-11-13,55.33
2014-11-14,55.0
2014-11-17,54.67
2014-11-18,54.34
2014-11-19,54.17
2014-11-20,54.17
2014-11-21,53.59
2014-11-24,53.3
2014-11-25,53.25
2014-11-26,53.4
2014-11-27,53.45
2014-11-28,53.48
2014-12-01,51.25
2014-12-02,51.13
2014-12-03,51.25
2014-12-04,51.5
2014-12-05,52.5
2014-12-08,52.67
2014-12-09,52.89
2014-12-10,52.96
2014-12-11,52.99
2014-12-12,53.0
2014-12-15,53.0
2014-12-16,54.0
2014-12-17,52.0
2014-12-18,50.93
2014-12-19,52.37
2014-12-22,52.94
2014-12-23,53.97
2014-12-26,54.49
2014-12-29,54.74
2014-12-30,53.87
2015-01-02,53.44
2015-01-05,53.15
2015-01-06,52.83
2015-01-07,53.44
2015-01-08,53.81
2015-01-09,52.94
2015-01-12,52.65
2015-01-13,51.33
2015-01-14,50.67
2015-01-15,47.33
2015-01-16,47.44
2015-01-19,47.48
2015-01-20,48.33
2015-01-21,48.61
2015-01-22,47.87
2015-01-23,48.0
2015-01-26,48.67
2015-01-27,47.84
2015-01-28,46.61
2015-01-29,46.37
