ModelDate,PredictedMonth,PredictedYear,ForecastDate,ProbabilityLaNina,ProbabilityNeutral,ProbabilityElNino
2019-01-05,3,2019,2019-03-10,0.0,0.3939393939393939,0.6060606060606061
2019-01-05,4,2019,2019-04-10,0.030303030303030304,0.6363636363636364,0.33333333333333337
2019-01-05,5,2019,2019-05-10,0.0,0.7070707070707072,0.2929292929292928
2019-01-05,6,2019,2019-06-10,0.0,0.6060606060606061,0.3939393939393939
2019-01-19,1,2019,2019-01-10,0.0,0.0,1.0
2019-01-19,2,2019,2019-02-10,0.0,0.030303030303030304,0.9696969696969697
2019-01-19,3,2019,2019-03-10,0.0,0.12121212121212122,0.8787878787878788
2019-01-19,4,2019,2019-04-10,0.0,0.32323232323232326,0.6767676767676767
2019-01-19,5,2019,2019-05-10,0.0,0.45454545454545453,0.5454545454545454
2019-01-19,6,2019,2019-06-10,0.0,0.3434343434343435,0.6565656565656566
2019-01-19,7,2019,2019-07-10,0.0,0.40404040404040403,0.595959595959596
2019-02-02,1,2019,2019-01-10,0.0,0.0,1.0
2019-02-02,2,2019,2019-02-10,0.0,0.010101010101010102,0.98989898989899
2019-02-02,3,2019,2019-03-10,0.0,0.010101010101010102,0.98989898989899
2019-02-02,4,2019,2019-04-10,0.0,0.15151515151515152,0.8484848484848485
2019-02-02,5,2019,2019-05-10,0.0,0.25252525252525254,0.7474747474747474
2019-02-02,6,2019,2019-06-10,0.0,0.23232323232323232,0.7676767676767677
2019-02-02,7,2019,2019-07-10,0.0,0.30303030303030304,0.696969696969697
2019-02-16,2,2019,2019-02-10,0.0,0.0,1.0
2019-02-16,3,2019,2019-03-10,0.0,0.0,1.0
2019-02-16,4,2019,2019-04-10,0.0,0.010101010101010102,0.98989898989899
2019-02-16,5,2019,2019-05-10,0.0,0.1414141414141414,0.8585858585858586
2019-02-16,6,2019,2019-06-10,0.0,0.2222222222222222,0.7777777777777778
2019-02-16,7,2019,2019-07-10,0.0,0.3535353535353536,0.6464646464646464
2019-02-16,8,2019,2019-08-10,0.0,0.494949494949495,0.505050505050505
2019-03-02,2,2019,2019-02-10,0.0,0.0,1.0
2019-03-02,3,2019,2019-03-10,0.0,0.0,1.0
2019-03-02,4,2019,2019-04-10,0.0,0.0,1.0
2019-03-02,5,2019,2019-05-10,0.0,0.0,1.0
2019-03-02,6,2019,2019-06-10,0.0,0.10101010101010101,0.898989898989899
2019-03-02,7,2019,2019-07-10,0.0,0.16161616161616163,0.8383838383838383
2019-03-02,8,2019,2019-08-10,0.0,0.29292929292929293,0.7070707070707071
2019-03-16,3,2019,2019-03-10,0.0,0.0,1.0
2019-03-16,4,2019,2019-04-10,0.0,0.0,1.0
2019-03-16,5,2019,2019-05-10,0.0,0.010101010101010102,0.98989898989899
2019-03-16,6,2019,2019-06-10,0.0,0.36363636363636365,0.6363636363636364
2019-03-16,7,2019,2019-07-10,0.0,0.5151515151515151,0.48484848484848486
2019-03-16,8,2019,2019-08-10,0.0,0.6565656565656566,0.3434343434343434
2019-03-16,9,2019,2019-09-10,0.0,0.7070707070707072,0.2929292929292928
2019-03-30,3,2019,2019-03-10,0.0,0.0,1.0
2019-03-30,4,2019,2019-04-10,0.0,0.0,1.0
2019-03-30,5,2019,2019-05-10,0.0,0.010101010101010102,0.98989898989899
2019-03-30,6,2019,2019-06-10,0.0,0.3131313131313131,0.6868686868686869
2019-03-30,7,2019,2019-07-10,0.0,0.6161616161616162,0.38383838383838376
2019-03-30,8,2019,2019-08-10,0.020202020202020204,0.686868686868687,0.2929292929292928
2019-03-30,9,2019,2019-09-10,0.030303030303030304,0.7474747474747475,0.2222222222222222
2019-04-13,4,2019,2019-04-10,0.0,0.0,1.0
2019-04-13,5,2019,2019-05-10,0.0,0.010101010101010102,0.98989898989899
2019-04-13,6,2019,2019-06-10,0.0,0.23232323232323232,0.7676767676767677
2019-04-13,7,2019,2019-07-10,0.010101010101010102,0.5454545454545454,0.44444444444444453
2019-04-13,8,2019,2019-08-10,0.020202020202020204,0.696969696969697,0.28282828282828276
2019-04-13,9,2019,2019-09-10,0.020202020202020204,0.7373737373737375,0.24242424242424232
2019-04-13,10,2019,2019-10-10,0.010101010101010102,0.7171717171717172,0.2727272727272727
2019-04-27,4,2019,2019-04-10,0.0,0.0,1.0
2019-04-27,5,2019,2019-05-10,0.0,0.0,1.0
2019-04-27,6,2019,2019-06-10,0.0,0.0707070707070707,0.9292929292929293
2019-04-27,7,2019,2019-07-10,0.0,0.3939393939393939,0.6060606060606061
2019-04-27,8,2019,2019-08-10,0.010101010101010102,0.6060606060606061,0.38383838383838387
2019-04-27,9,2019,2019-09-10,0.0,0.5757575757575758,0.4242424242424242
2019-04-27,10,2019,2019-10-10,0.0,0.5050505050505051,0.4949494949494949
2019-05-11,5,2019,2019-05-10,0.0,0.0,1.0
2019-05-11,6,2019,2019-06-10,0.0,0.13131313131313133,0.8686868686868687
2019-05-11,7,2019,2019-07-10,0.0,0.686868686868687,0.31313131313131304
2019-05-11,8,2019,2019-08-10,0.010101010101010102,0.8282828282828283,0.16161616161616166
2019-05-11,9,2019,2019-09-10,0.010101010101010102,0.7878787878787878,0.2020202020202021
2019-05-11,10,2019,2019-10-10,0.020202020202020204,0.7373737373737375,0.24242424242424232
2019-05-25,5,2019,2019-05-10,0.0,0.0,1.0
2019-05-25,6,2019,2019-06-10,0.0,0.17171717171717174,0.8282828282828283
2019-05-25,7,2019,2019-07-10,0.0,0.46464646464646464,0.5353535353535354
2019-05-25,8,2019,2019-08-10,0.0,0.6565656565656566,0.3434343434343434
2019-05-25,9,2019,2019-09-10,0.0,0.7474747474747475,0.2525252525252525
2019-05-25,10,2019,2019-10-10,0.0,0.7373737373737375,0.26262626262626254
2019-05-25,11,2019,2019-11-10,0.0,0.5757575757575758,0.4242424242424242
2019-06-08,6,2019,2019-06-10,0.0,0.0,1.0
2019-06-08,7,2019,2019-07-10,0.0,0.494949494949495,0.505050505050505
2019-06-08,8,2019,2019-08-10,0.0,0.7171717171717172,0.28282828282828276
2019-06-08,9,2019,2019-09-10,0.0,0.7171717171717172,0.28282828282828276
2019-06-08,10,2019,2019-10-10,0.0,0.47474747474747475,0.5252525252525253
2019-06-08,11,2019,2019-11-10,0.0,0.26262626262626265,0.7373737373737373
2019-06-22,6,2019,2019-06-10,0.0,0.0,1.0
2019-06-22,7,2019,2019-07-10,0.0,0.5656565656565656,0.43434343434343436
2019-06-22,8,2019,2019-08-10,0.0,0.7070707070707072,0.2929292929292928
2019-06-22,9,2019,2019-09-10,0.0,0.7070707070707072,0.2929292929292928
2019-06-22,10,2019,2019-10-10,0.0,0.6060606060606061,0.3939393939393939
2019-06-22,11,2019,2019-11-10,0.0,0.5252525252525253,0.4747474747474747
2019-06-22,12,2019,2019-12-10,0.0,0.4242424242424242,0.5757575757575758
2019-07-06,6,2019,2019-06-10,0.0,0.0,1.0
2019-07-06,7,2019,2019-07-10,0.0,1.0,0.0
2019-07-06,8,2019,2019-08-10,0.0,1.0,0.0
2019-07-06,9,2019,2019-09-10,0.050505050505050504,0.898989898989899,0.0505050505050505
2019-07-06,10,2019,2019-10-10,0.050505050505050504,0.8181818181818181,0.13131313131313138
2019-07-06,11,2019,2019-11-10,0.030303030303030304,0.8282828282828283,0.14141414141414144
2019-07-06,12,2019,2019-12-10,0.020202020202020204,0.8181818181818181,0.16161616161616166
2019-07-20,7,2019,2019-07-10,0.0,0.0,1.0
2019-07-20,8,2019,2019-08-10,0.0,1.0,0.0
2019-07-20,9,2019,2019-09-10,0.010101010101010102,0.9696969696969697,0.02020202020202022
2019-07-20,10,2019,2019-10-10,0.030303030303030304,0.9393939393939393,0.030303030303030387
2019-07-20,11,2019,2019-11-10,0.020202020202020204,0.9090909090909091,0.07070707070707072
2019-07-20,12,2019,2019-12-10,0.020202020202020204,0.8787878787878788,0.101010101010101
2019-07-20,1,2020,2020-01-10,0.020202020202020204,0.8585858585858586,0.12121212121212122
2019-08-03,7,2019,2019-07-10,0.0,0.0,1.0
2019-08-03,8,2019,2019-08-10,0.0,1.0,0.0
2019-08-03,9,2019,2019-09-10,0.0,0.9595959595959596,0.04040404040404044
2019-08-03,10,2019,2019-10-10,0.010101010101010102,0.9090909090909091,0.08080808080808088
2019-08-03,11,2019,2019-11-10,0.0,0.8383838383838383,0.16161616161616166
2019-08-03,12,2019,2019-12-10,0.010101010101010102,0.8282828282828283,0.16161616161616166
2019-08-03,1,2020,2020-01-10,0.030303030303030304,0.7777777777777777,0.19191919191919204
2019-08-17,8,2019,2019-08-10,0.0,0.0,1.0
2019-08-17,9,2019,2019-09-10,0.0,1.0,0.0
2019-08-17,10,2019,2019-10-10,0.0,0.9191919191919191,0.08080808080808088
2019-08-17,11,2019,2019-11-10,0.0,0.8181818181818181,0.18181818181818188
2019-08-17,12,2019,2019-12-10,0.0,0.7373737373737375,0.26262626262626254
2019-08-17,1,2020,2020-01-10,0.0,0.6767676767676768,0.3232323232323232
2019-08-17,2,2020,2020-02-10,0.0,0.6060606060606061,0.3939393939393939
2019-08-31,8,2019,2019-08-10,0.0,0.0,1.0
2019-08-31,9,2019,2019-09-10,0.0,1.0,0.0
2019-08-31,10,2019,2019-10-10,0.0,0.7171717171717172,0.28282828282828276
2019-08-31,11,2019,2019-11-10,0.0,0.7272727272727273,0.2727272727272727
2019-08-31,12,2019,2019-12-10,0.0,0.7272727272727273,0.2727272727272727
2019-08-31,1,2020,2020-01-10,0.0,0.6565656565656566,0.3434343434343434
2019-08-31,2,2020,2020-02-10,0.0,0.5858585858585859,0.41414141414141414
2019-09-14,9,2019,2019-09-10,0.0,0.0,1.0
2019-09-14,10,2019,2019-10-10,0.0,0.8787878787878788,0.12121212121212122
2019-09-14,11,2019,2019-11-10,0.0,0.8888888888888888,0.11111111111111116
2019-09-14,12,2019,2019-12-10,0.0,0.8888888888888888,0.11111111111111116
2019-09-14,1,2020,2020-01-10,0.010101010101010102,0.8383838383838383,0.1515151515151516
2019-09-14,2,2020,2020-02-10,0.010101010101010102,0.7777777777777777,0.21212121212121227
2019-09-28,9,2019,2019-09-10,0.0,0.0,1.0
2019-09-28,10,2019,2019-10-10,0.0,0.9090909090909091,0.09090909090909094
