memberStateCode,memberStateName,year,month,category,tonnes,heads,kgPerHead
DK,Denmark,1995,January,Heifer,1.4,5.5,254.55
DK,Denmark,1994,December,Heifer,1.2,4.9,244.9
DK,Denmark,1994,November,Heifer,1.3,5.5,236.36
DK,Denmark,1994,October,Heifer,1.2,5.2,230.77
DK,Denmark,1994,September,Heifer,1.2,5.0,240.0
DK,Denmark,1994,August,Heifer,1.0,4.1,243.9
DK,Denmark,1994,July,Heifer,0.7,3.1,225.81
DK,Denmark,1994,June,Heifer,1.2,5.0,240.0
DK,Denmark,1994,May,Heifer,1.7,7.0,242.86
DK,Denmark,1994,April,Heifer,1.2,5.0,240.0
DK,Denmark,1994,March,Heifer,1.3,5.3,245.28
DK,Denmark,1994,February,Heifer,1.3,5.0,260.0
DK,Denmark,1994,January,Heifer,1.4,5.6,250.0
DK,Denmark,1993,December,Heifer,1.3,5.2,250.0
DK,Denmark,1993,November,Heifer,1.7,7.0,242.86
DK,Denmark,1993,October,Heifer,1.3,5.3,245.28
DK,Denmark,1993,September,Heifer,1.3,5.4,240.74
DK,Denmark,1993,August,Heifer,1.0,4.2,238.1
DK,Denmark,1993,July,Heifer,1.1,4.3,255.81
DK,Denmark,1993,June,Heifer,1.8,7.3,246.58
DK,Denmark,1993,May,Heifer,1.2,4.7,255.32
DK,Denmark,1993,April,Heifer,1.1,4.7,234.04
DK,Denmark,1993,March,Heifer,1.6,6.5,246.15
DK,Denmark,1993,February,Heifer,1.3,5.3,245.28
DK,Denmark,1993,January,Heifer,1.6,6.2,258.06
DK,Denmark,1992,December,Heifer,1.3,5.3,245.28
DK,Denmark,1992,November,Heifer,1.7,7.1,239.44
DK,Denmark,1992,October,Heifer,1.5,6.3,238.1
DK,Denmark,1992,September,Heifer,1.2,4.9,244.9
DK,Denmark,1992,August,Heifer,1.1,4.5,244.44
DK,Denmark,1992,July,Heifer,1.0,4.3,232.56
DK,Denmark,1992,June,Heifer,1.7,6.8,250.0
DK,Denmark,1992,May,Heifer,1.8,7.2,250.0
DK,Denmark,1992,April,Heifer,1.2,4.8,250.0
DK,Denmark,1992,March,Heifer,1.4,5.8,241.38
DK,Denmark,1992,February,Heifer,1.2,4.8,250.0
DK,Denmark,1992,January,Heifer,1.3,5.3,245.28
DK,Denmark,1991,December,Heifer,1.1,4.4,250.0
DK,Denmark,1991,November,Heifer,1.4,5.7,245.61
DK,Denmark,1991,October,Heifer,1.1,4.7,234.04
DK,Denmark,1991,September,Heifer,1.0,4.0,250.0
DK,Denmark,1991,August,Heifer,0.8,3.1,258.06
DK,Denmark,1991,July,Heifer,0.7,3.0,233.33
DK,Denmark,1991,June,Heifer,1.1,4.2,261.9
DK,Denmark,1991,May,Heifer,1.5,6.1,245.9
DK,Denmark,1991,April,Heifer,1.2,4.9,244.9
DK,Denmark,1991,March,Heifer,0.9,3.4,264.71
DK,Denmark,1991,February,Heifer,0.9,3.4,264.71
DK,Denmark,1991,January,Heifer,0.9,3.6,250.0
DK,Denmark,1990,December,Heifer,0.6,2.5,240.0
DK,Denmark,1990,November,Heifer,0.9,3.6,250.0
DK,Denmark,1990,October,Heifer,0.8,3.4,235.29
DK,Denmark,1990,September,Heifer,0.7,2.9,241.38
DK,Denmark,1990,August,Heifer,0.6,2.5,240.0
DK,Denmark,1990,July,Heifer,0.5,2.1,238.1
DK,Denmark,1990,June,Heifer,0.9,3.6,250.0
DK,Denmark,1990,May,Heifer,1.4,5.3,264.15
DK,Denmark,1990,April,Heifer,1.1,4.3,255.81
DK,Denmark,1990,March,Heifer,1.2,4.5,266.67
DK,Denmark,1990,February,Heifer,1.1,4.3,255.81
DK,Denmark,1990,January,Heifer,1.2,4.7,255.32
DK,Denmark,1989,December,Heifer,0.8,3.3,242.42
DK,Denmark,1989,November,Heifer,1.4,5.6,250.0
DK,Denmark,1989,October,Heifer,1.2,4.8,250.0
DK,Denmark,1989,September,Heifer,0.9,3.7,243.24
DK,Denmark,1989,August,Heifer,0.8,3.5,228.57
DK,Denmark,1989,July,Heifer,0.6,2.4,250.0
DK,Denmark,1989,June,Heifer,1.0,4.3,232.56
DK,Denmark,1989,May,Heifer,1.6,6.3,253.97
DK,Denmark,1989,April,Heifer,1.3,5.2,250.0
DK,Denmark,1989,March,Heifer,1.3,5.1,254.9
DK,Denmark,1989,February,Heifer,1.3,5.2,250.0
DK,Denmark,1989,January,Heifer,1.5,6.2,241.94
DK,Denmark,1988,December,Heifer,1.0,4.6,217.39
DK,Denmark,1988,November,Heifer,2.6,11.2,232.14
DK,Denmark,1988,October,Heifer,1.4,6.0,233.33
DK,Denmark,1988,September,Heifer,1.2,4.9,244.9
DK,Denmark,1988,August,Heifer,1.0,4.5,222.22
DK,Denmark,1988,July,Heifer,0.6,2.6,230.77
DK,Denmark,1988,June,Heifer,1.3,5.5,236.36
DK,Denmark,1988,May,Heifer,1.9,8.0,237.5
DK,Denmark,1988,April,Heifer,1.6,6.7,238.81
DK,Denmark,1988,March,Heifer,1.7,7.0,242.86
DK,Denmark,1988,February,Heifer,1.6,6.8,235.29
DK,Denmark,1988,January,Heifer,1.7,7.1,239.44
DK,Denmark,1987,December,Heifer,1.6,6.2,258.06
DK,Denmark,1987,November,Heifer,2.0,8.5,235.29
DK,Denmark,1987,October,Heifer,1.7,7.5,226.67
DK,Denmark,1987,September,Heifer,1.5,6.7,223.88
DK,Denmark,1987,August,Heifer,1.3,5.7,228.07
DK,Denmark,1987,July,Heifer,1.1,4.4,250.0
DK,Denmark,1987,June,Heifer,1.8,7.7,233.77
DK,Denmark,1987,May,Heifer,2.5,10.3,242.72
DK,Denmark,1987,April,Heifer,2.0,8.1,246.91
DK,Denmark,1987,March,Heifer,2.3,9.7,237.11
DK,Denmark,1987,February,Heifer,2.0,8.5,235.29
DK,Denmark,1987,January,Heifer,2.0,8.5,235.29
DK,Denmark,1986,December,Heifer,1.7,7.1,239.44
DK,Denmark,1986,November,Heifer,1.9,8.4,226.19
DK,Denmark,1986,October,Heifer,1.9,8.5,223.53
DK,Denmark,1986,September,Heifer,1.8,8.1,222.22
DK,Denmark,1986,August,Heifer,1.3,5.9,220.34
DK,Denmark,1986,July,Heifer,1.2,5.2,230.77
DK,Denmark,1986,June,Heifer,1.9,8.4,226.19
DK,Denmark,1986,May,Heifer,2.5,10.7,233.64
DK,Denmark,1986,April,Heifer,2.5,10.6,235.85
DK,Denmark,1986,March,Heifer,1.8,7.7,233.77
DK,Denmark,1986,February,Heifer,1.9,7.9,240.51
DK,Denmark,1986,January,Heifer,2.2,9.5,231.58
DK,Denmark,1985,December,Heifer,1.5,7.2,208.33
DK,Denmark,1985,November,Heifer,2.4,10.4,230.77
DK,Denmark,1985,October,Heifer,2.3,10.4,221.15
DK,Denmark,1985,September,Heifer,1.8,8.1,222.22
DK,Denmark,1985,August,Heifer,1.7,7.4,229.73
DK,Denmark,1985,July,Heifer,1.2,5.7,210.53
DK,Denmark,1985,June,Heifer,2.1,9.3,225.81
DK,Denmark,1985,May,Heifer,2.6,11.4,228.07
DK,Denmark,1985,April,Heifer,2.1,9.3,225.81
DK,Denmark,1985,March,Heifer,1.7,7.8,217.95
DK,Denmark,1985,February,Heifer,1.9,8.3,228.92
DK,Denmark,1985,January,Heifer,2.3,9.9,232.32
DK,Denmark,1984,December,Heifer,1.6,6.8,235.29
DK,Denmark,1984,November,Heifer,2.3,10.5,219.05
DK,Denmark,1984,October,Heifer,2.6,11.9,218.49
DK,Denmark,1984,September,Heifer,1.9,8.8,215.91
DK,Denmark,1984,August,Heifer,1.7,7.7,220.78
DK,Denmark,1984,July,Heifer,1.0,4.6,217.39
DK,Denmark,1984,June,Heifer,1.3,6.4,203.13
DK,Denmark,1984,May,Heifer,2.5,11.4,219.3
DK,Denmark,1984,April,Heifer,1.6,7.1,225.35
DK,Denmark,1984,March,Heifer,1.8,8.2,219.51
DK,Denmark,1984,February,Heifer,1.8,8.0,225.0
DK,Denmark,1984,January,Heifer,2.1,9.3,225.81
DK,Denmark,1983,December,Heifer,1.8,6.9,260.87
DK,Denmark,1983,November,Heifer,2.2,10.2,215.69
DK,Denmark,1983,October,Heifer,1.9,8.7,218.39
DK,Denmark,1983,September,Heifer,1.4,6.8,205.88
DK,Denmark,1983,August,Heifer,1.6,7.1,225.35
DK,Denmark,1983,July,Heifer,0.8,3.7,216.22
DK,Denmark,1983,June,Heifer,1.5,6.9,217.39
DK,Denmark,1983,May,Heifer,1.9,8.6,220.93
DK,Denmark,1983,April,Heifer,1.4,6.4,218.75
DK,Denmark,1983,March,Heifer,1.6,7.1,225.35
DK,Denmark,1983,February,Heifer,1.5,6.6,227.27
DK,Denmark,1983,January,Heifer,1.8,8.0,225.0
DK,Denmark,1982,December,Heifer,1.5,6.6,227.27
DK,Denmark,1982,November,Heifer,2.2,9.9,222.22
DK,Denmark,1982,October,Heifer,1.7,7.8,217.95
DK,Denmark,1982,September,Heifer,1.5,6.7,223.88
DK,Denmark,1982,August,Heifer,1.5,6.7,223.88
DK,Denmark,1982,July,Heifer,0.7,3.4,205.88
DK,Denmark,1982,June,Heifer,1.6,7.4,216.22
DK,Denmark,1982,May,Heifer,1.5,7.0,214.29
DK,Denmark,1982,April,Heifer,1.5,6.7,223.88
DK,Denmark,1982,March,Heifer,1.9,8.1,234.57
DK,Denmark,1982,February,Heifer,1.5,7.0,214.29
DK,Denmark,1982,January,Heifer,1.7,7.8,217.95
DK,Denmark,1981,December,Heifer,1.6,7.3,219.18
DK,Denmark,1981,November,Heifer,2.1,9.7,216.49
DK,Denmark,1981,October,Heifer,2.1,9.9,212.12
DK,Denmark,1981,September,Heifer,2.1,9.4,223.4
DK,Denmark,1981,August,Heifer,1.7,7.7,220.78
DK,Denmark,1981,July,Heifer,1.2,5.6,214.29
DK,Denmark,1981,June,Heifer,1.9,8.6,220.93
DK,Denmark,1981,May,Heifer,2.1,9.6,218.75
DK,Denmark,1981,April,Heifer,1.1,4.9,224.49
DK,Denmark,1981,March,Heifer,2.3,10.4,221.15
DK,Denmark,1981,February,Heifer,2.2,9.6,229.17
DK,Denmark,1981,January,Heifer,2.4,10.5,228.57
DK,Denmark,1980,December,Heifer,2.0,9.3,215.05
DK,Denmark,1980,November,Heifer,2.2,10.2,215.69
DK,Denmark,1980,October,Heifer,2.5,11.0,227.27
DK,Denmark,1980,September,Heifer,1.8,8.1,222.22
DK,Denmark,1980,August,Heifer,1.5,7.0,214.29
DK,Denmark,1980,July,Heifer,1.2,5.1,235.29
DK,Denmark,1980,June,Heifer,1.5,7.0,214.29
DK,Denmark,1980,May,Heifer,1.8,8.2,219.51
DK,Denmark,1980,April,Heifer,1.7,7.5,226.67
DK,Denmark,1980,March,Heifer,2.0,8.8,227.27
DK,Denmark,1980,February,Heifer,1.8,7.8,230.77
DK,Denmark,1980,January,Heifer,2.3,10.1,227.72
DK,Denmark,1979,December,Heifer,1.6,7.0,228.57
DK,Denmark,1979,November,Heifer,2.5,11.1,225.23
DK,Denmark,1979,October,Heifer,2.6,11.3,230.09
DK,Denmark,1979,September,Heifer,1.7,7.8,217.95
DK,Denmark,1979,August,Heifer,1.8,8.2,219.51
DK,Denmark,1979,July,Heifer,1.3,6.0,216.67
DK,Denmark,1979,June,Heifer,1.7,7.6,223.68
DK,Denmark,1979,May,Heifer,2.6,11.8,220.34
DK,Denmark,1979,April,Heifer,2.0,8.7,229.89
DK,Denmark,1979,March,Heifer,2.4,10.5,228.57
DK,Denmark,1979,February,Heifer,2.1,8.9,235.96
DK,Denmark,1979,January,Heifer,2.5,10.7,233.64
DK,Denmark,1978,December,Heifer,1.4,6.2,225.81
DK,Denmark,1978,November,Heifer,2.3,10.4,221.15
DK,Denmark,1978,October,Heifer,2.1,9.2,228.26
DK,Denmark,1978,September,Heifer,1.7,7.6,223.68
DK,Denmark,1978,August,Heifer,1.6,7.5,213.33
DK,Denmark,1978,July,Heifer,1.1,5.0,220.0
DK,Denmark,1978,June,Heifer,1.7,8.0,212.5
DK,Denmark,1978,May,Heifer,2.6,11.5,226.09
DK,Denmark,1978,April,Heifer,2.1,9.2,228.26
DK,Denmark,1978,March,Heifer,1.9,8.4,226.19
DK,Denmark,1978,February,Heifer,1.7,7.3,232.88
DK,Denmark,1978,January,Heifer,2.1,9.3,225.81
DK,Denmark,1977,December,Heifer,1.9,8.3,228.92
DK,Denmark,1977,November,Heifer,2.7,12.17,221.86
DK,Denmark,1977,October,Heifer,2.21,10.12,218.38
DK,Denmark,1977,September,Heifer,2.01,9.18,218.95
DK,Denmark,1977,August,Heifer,1.99,9.22,215.84
DK,Denmark,1977,July,Heifer,1.34,6.3,212.7
DK,Denmark,1977,June,Heifer,2.13,10.17,209.44
DK,Denmark,1977,May,Heifer,2.51,11.82,212.35
DK,Denmark,1977,April,Heifer,1.88,8.7,216.09
DK,Denmark,1977,March,Heifer,2.27,10.51,215.98
DK,Denmark,1977,February,Heifer,1.63,7.59,214.76
DK,Denmark,1977,January,Heifer,1.96,8.96,218.75
DK,Denmark,1976,December,Heifer,1.56,7.28,214.29
DK,Denmark,1976,November,Heifer,2.18,10.56,206.44
DK,Denmark,1976,October,Heifer,1.8,8.72,206.42
DK,Denmark,1976,September,Heifer,1.97,9.36,210.47
DK,Denmark,1976,August,Heifer,2.2,10.39,211.74
DK,Denmark,1976,July,Heifer,1.23,5.84,210.62
DK,Denmark,1976,June,Heifer,1.92,9.11,210.76
DK,Denmark,1976,May,Heifer,2.4,11.34,211.64
DK,Denmark,1976,April,Heifer,2.15,10.1,212.87
DK,Denmark,1976,March,Heifer,2.47,11.76,210.03
DK,Denmark,1976,February,Heifer,2.73,12.4,220.16
DK,Denmark,1976,January,Heifer,2.71,12.23,221.59
DK,Denmark,1975,December,Heifer,2.27,10.5,216.19
DK,Denmark,1975,November,Heifer,2.27,10.54,215.37
DK,Denmark,1975,October,Heifer,2.4,11.33,211.83
DK,Denmark,1975,September,Heifer,2.32,10.94,212.07
DK,Denmark,1975,August,Heifer,1.78,8.4,211.9
DK,Denmark,1975,July,Heifer,1.56,7.26,214.88
DK,Denmark,1975,June,Heifer,1.74,8.32,209.13
DK,Denmark,1975,May,Heifer,2.31,10.94,211.15
DK,Denmark,1975,April,Heifer,2.93,13.79,212.47
DK,Denmark,1975,March,Heifer,2.04,9.6,212.5
DK,Denmark,1975,February,Heifer,2.98,13.79,216.1
DK,Denmark,1975,January,Heifer,3.11,14.2,219.01
DK,Denmark,1974,December,Heifer,2.23,10.26,217.35
DK,Denmark,1974,November,Heifer,2.7,12.4,217.74
DK,Denmark,1974,October,Heifer,2.22,10.53,210.83
DK,Denmark,1974,September,Heifer,1.85,8.67,213.38
DK,Denmark,1974,August,Heifer,1.71,7.9,216.46
DK,Denmark,1974,July,Heifer,1.32,5.97,221.11
DK,Denmark,1974,June,Heifer,1.45,6.78,213.86
DK,Denmark,1974,May,Heifer,2.23,9.93,224.57
DK,Denmark,1974,April,Heifer,2.06,9.24,222.94
DK,Denmark,1974,March,Heifer,1.78,7.96,223.62
DK,Denmark,1974,February,Heifer,1.57,7.0,224.29
DK,Denmark,1974,January,Heifer,1.71,7.65,223.53
DK,Denmark,2025,January,Young cattle,2.95,13.88,212.54
DK,Denmark,2024,December,Young cattle,2.43,11.51,211.12
DK,Denmark,2024,November,Young cattle,2.76,13.04,211.66
DK,Denmark,2024,October,Young cattle,2.94,13.87,211.97
DK,Denmark,2024,September,Young cattle,2.85,13.42,212.37
DK,Denmark,2024,August,Young cattle,3.06,14.29,214.14
DK,Denmark,2024,July,Young cattle,3.07,14.35,213.94
DK,Denmark,2024,June,Young cattle,2.94,13.69,214.76
DK,Denmark,2024,May,Young cattle,3.06,14.3,213.99
DK,Denmark,2024,April,Young cattle,3.04,14.25,213.33
DK,Denmark,2024,March,Young cattle,2.44,11.54,211.44
DK,Denmark,2024,February,Young cattle,2.55,12.1,210.74
DK,Denmark,2024,January,Young cattle,2.57,12.21,210.48
DK,Denmark,2023,December,Young cattle,2.42,11.45,211.35
DK,Denmark,2023,November,Young cattle,2.71,12.78,212.05
DK,Denmark,2023,October,Young cattle,2.81,13.23,212.4
DK,Denmark,2023,September,Young cattle,2.63,12.41,211.93
DK,Denmark,2023,August,Young cattle,3.16,14.74,214.38
DK,Denmark,2023,July,Young cattle,2.6,12.07,215.41
DK,Denmark,2023,June,Young cattle,3.07,14.24,215.59
DK,Denmark,2023,May,Young cattle,2.98,13.85,215.16
DK,Denmark,2023,April,Young cattle,2.45,11.39,215.1
DK,Denmark,2023,March,Young cattle,2.84,13.4,211.94
DK,Denmark,2023,February,Young cattle,2.39,11.32,211.13
DK,Denmark,2023,January,Young cattle,2.51,11.89,211.1
DK,Denmark,2022,December,Young cattle,2.47,11.7,211.11
DK,Denmark,2022,November,Young cattle,2.85,13.42,212.37
DK,Denmark,2022,October,Young cattle,2.68,12.61,212.53
DK,Denmark,2022,September,Young cattle,2.69,12.49,215.37
DK,Denmark,2022,August,Young cattle,3.23,15.11,213.77
DK,Denmark,2022,July,Young cattle,2.51,11.68,214.9
DK,Denmark,2022,June,Young cattle,3.06,14.28,214.29
DK,Denmark,2022,May,Young cattle,2.87,13.55,211.81
DK,Denmark,2022,April,Young cattle,2.54,12.03,211.14
DK,Denmark,2022,March,Young cattle,2.91,13.76,211.48
DK,Denmark,2022,February,Young cattle,2.35,11.15,210.76
DK,Denmark,2022,January,Young cattle,2.36,11.24,209.96
DK,Denmark,2021,December,Young cattle,2.9,13.7,211.68
DK,Denmark,2021,November,Young cattle,2.6,12.4,209.68
DK,Denmark,2021,October,Young cattle,2.5,11.7,213.68
DK,Denmark,2021,September,Young cattle,3.0,13.8,217.39
DK,Denmark,2021,August,Young cattle,3.1,14.5,213.79
DK,Denmark,2021,July,Young cattle,2.5,11.4,219.3
DK,Denmark,2021,June,Young cattle,3.2,14.9,214.77
DK,Denmark,2021,May,Young cattle,2.8,13.1,213.74
DK,Denmark,2021,April,Young cattle,2.6,12.0,216.67
DK,Denmark,2021,March,Young cattle,3.0,14.1,212.77
DK,Denmark,2021,February,Young cattle,2.2,10.6,207.55
DK,Denmark,2021,January,Young cattle,2.4,11.2,214.29
DK,Denmark,2020,December,Young cattle,2.5,11.7,213.68
DK,Denmark,2020,November,Young cattle,2.5,11.9,210.08
DK,Denmark,2020,October,Young cattle,2.8,12.8,218.75
DK,Denmark,2020,September,Young cattle,2.9,13.3,218.05
DK,Denmark,2020,August,Young cattle,2.9,13.4,216.42
DK,Denmark,2020,July,Young cattle,2.7,12.3,219.51
DK,Denmark,2020,June,Young cattle,3.3,14.8,222.97
DK,Denmark,2020,May,Young cattle,2.4,11.0,218.18
DK,Denmark,2020,April,Young cattle,2.4,11.0,218.18
DK,Denmark,2020,March,Young cattle,2.8,12.9,217.05
DK,Denmark,2020,February,Young cattle,2.2,10.3,213.59
DK,Denmark,2020,January,Young cattle,2.6,12.0,216.67
DK,Denmark,2019,December,Young cattle,2.0,9.3,215.05
DK,Denmark,2019,November,Young cattle,2.5,11.8,211.86
DK,Denmark,2019,October,Young cattle,2.8,12.9,217.05
DK,Denmark,2019,September,Young cattle,2.8,13.3,210.53
DK,Denmark,2019,August,Young cattle,2.8,12.9,217.05
DK,Denmark,2019,July,Young cattle,2.2,10.3,213.59
DK,Denmark,2019,June,Young cattle,2.9,13.4,216.42
DK,Denmark,2019,May,Young cattle,2.8,13.3,210.53
DK,Denmark,2019,April,Young cattle,2.7,12.9,209.3
DK,Denmark,2019,March,Young cattle,2.5,12.0,208.33
DK,Denmark,2019,February,Young cattle,2.5,12.1,206.61
DK,Denmark,2019,January,Young cattle,2.7,13.0,207.69
DK,Denmark,2018,December,Young cattle,2.2,10.4,211.54
DK,Denmark,2018,November,Young cattle,2.7,12.9,209.3
DK,Denmark,2018,October,Young cattle,3.0,14.6,205.48
DK,Denmark,2018,September,Young cattle,2.7,12.8,210.94
DK,Denmark,2018,August,Young cattle,3.2,15.0,213.33
DK,Denmark,2018,July,Young cattle,2.6,12.2,213.11
DK,Denmark,2018,June,Young cattle,3.1,14.7,210.88
DK,Denmark,2018,May,Young cattle,3.0,14.4,208.33
DK,Denmark,2018,April,Young cattle,2.8,13.3,210.53
DK,Denmark,2018,March,Young cattle,2.5,11.8,211.86
DK,Denmark,2018,February,Young cattle,2.4,11.4,210.53
DK,Denmark,2018,January,Young cattle,2.7,12.8,210.94
DK,Denmark,2017,December,Young cattle,2.0,10.0,200.0
DK,Denmark,2017,November,Young cattle,3.0,13.0,230.77
DK,Denmark,2017,October,Young cattle,3.0,13.0,230.77
DK,Denmark,2017,September,Young cattle,3.0,13.0,230.77
DK,Denmark,2017,August,Young cattle,3.0,14.0,214.29
DK,Denmark,2017,July,Young cattle,2.0,9.0,222.22
DK,Denmark,2017,June,Young cattle,3.0,14.0,214.29
DK,Denmark,2017,May,Young cattle,3.0,13.0,230.77
DK,Denmark,2017,April,Young cattle,2.0,10.0,200.0
DK,Denmark,2017,March,Young cattle,3.0,13.0,230.77
DK,Denmark,2017,February,Young cattle,2.0,11.0,181.82
DK,Denmark,2017,January,Young cattle,2.0,11.0,181.82
DK,Denmark,2016,December,Young cattle,2.2,10.9,201.83
DK,Denmark,2016,November,Young cattle,2.5,12.3,203.25
DK,Denmark,2016,October,Young cattle,2.4,11.6,206.9
DK,Denmark,2016,September,Young cattle,2.6,12.4,209.68
DK,Denmark,2016,August,Young cattle,2.9,14.0,207.14
DK,Denmark,2016,July,Young cattle,1.9,9.1,208.79
DK,Denmark,2016,June,Young cattle,2.8,13.5,207.41
DK,Denmark,2016,May,Young cattle,2.6,12.5,208.0
DK,Denmark,2016,April,Young cattle,2.4,11.2,214.29
DK,Denmark,2016,March,Young cattle,2.4,11.4,210.53
DK,Denmark,2016,February,Young cattle,2.1,10.0,210.0
DK,Denmark,2016,January,Young cattle,2.0,9.5,210.53
DK,Denmark,2015,December,Young cattle,2.1,10.2,205.88
DK,Denmark,2015,November,Young cattle,2.2,10.4,211.54
DK,Denmark,2015,October,Young cattle,2.3,10.8,212.96
DK,Denmark,2015,September,Young cattle,2.6,12.2,213.11
DK,Denmark,2015,August,Young cattle,2.4,11.5,208.7
DK,Denmark,2015,July,Young cattle,2.0,9.3,215.05
DK,Denmark,2015,June,Young cattle,2.8,13.2,212.12
DK,Denmark,2015,May,Young cattle,2.2,10.3,213.59
DK,Denmark,2015,April,Young cattle,2.3,10.6,216.98
DK,Denmark,2015,March,Young cattle,2.5,11.7,213.68
DK,Denmark,2015,February,Young cattle,1.9,9.2,206.52
DK,Denmark,2015,January,Young cattle,2.2,10.8,203.7
DK,Denmark,2014,December,Young cattle,1.7,8.1,209.88
DK,Denmark,2014,November,Young cattle,2.0,9.7,206.19
DK,Denmark,2014,October,Young cattle,2.4,11.5,208.7
DK,Denmark,2014,September,Young cattle,2.4,11.5,208.7
DK,Denmark,2014,August,Young cattle,2.2,10.5,209.52
DK,Denmark,2014,July,Young cattle,1.9,9.2,206.52
DK,Denmark,2014,June,Young cattle,2.7,13.0,207.69
DK,Denmark,2014,May,Young cattle,2.2,10.5,209.52
DK,Denmark,2014,April,Young cattle,2.3,11.0,209.09
DK,Denmark,2014,March,Young cattle,2.2,10.7,205.61
DK,Denmark,2014,February,Young cattle,2.0,9.4,212.77
DK,Denmark,2014,January,Young cattle,2.2,10.6,207.55
DK,Denmark,2013,December,Young cattle,2.0,9.5,210.53
DK,Denmark,2013,November,Young cattle,2.1,10.1,207.92
DK,Denmark,2013,October,Young cattle,2.3,11.2,205.36
DK,Denmark,2013,September,Young cattle,2.3,10.9,211.01
DK,Denmark,2013,August,Young cattle,2.4,11.6,206.9
DK,Denmark,2013,July,Young cattle,2.1,10.3,203.88
DK,Denmark,2013,June,Young cattle,2.5,11.9,210.08
DK,Denmark,2013,May,Young cattle,2.5,12.1,206.61
DK,Denmark,2013,April,Young cattle,2.7,13.2,204.55
DK,Denmark,2013,March,Young cattle,2.2,10.4,211.54
DK,Denmark,2013,February,Young cattle,2.2,10.5,209.52
DK,Denmark,2013,January,Young cattle,2.5,12.0,208.33
DK,Denmark,2012,December,Young cattle,1.9,9.1,208.79
DK,Denmark,2012,November,Young cattle,2.3,11.0,209.09
DK,Denmark,2012,October,Young cattle,2.7,12.9,209.3
DK,Denmark,2012,September,Young cattle,2.3,11.0,209.09
DK,Denmark,2012,August,Young cattle,2.6,12.6,206.35
DK,Denmark,2012,July,Young cattle,2.1,10.1,207.92
DK,Denmark,2012,June,Young cattle,2.6,12.5,208.0
DK,Denmark,2012,May,Young cattle,2.6,12.3,211.38
DK,Denmark,2012,April,Young cattle,2.3,11.0,209.09
DK,Denmark,2012,March,Young cattle,2.7,13.0,207.69
DK,Denmark,2012,February,Young cattle,2.3,11.1,207.21
DK,Denmark,2012,January,Young cattle,2.1,10.5,200.0
DK,Denmark,2011,December,Young cattle,2.7,13.1,206.11
DK,Denmark,2011,November,Young cattle,2.7,12.9,209.3
DK,Denmark,2011,October,Young cattle,2.7,12.7,212.6
DK,Denmark,2011,September,Young cattle,2.5,11.7,213.68
DK,Denmark,2011,August,Young cattle,2.9,13.8,210.14
DK,Denmark,2011,July,Young cattle,2.0,9.6,208.33
DK,Denmark,2011,June,Young cattle,2.6,12.0,216.67
DK,Denmark,2011,May,Young cattle,3.1,14.3,216.78
DK,Denmark,2011,April,Young cattle,2.3,10.5,219.05
DK,Denmark,2011,March,Young cattle,2.8,13.0,215.38
DK,Denmark,2011,February,Young cattle,2.2,10.2,215.69
DK,Denmark,2011,January,Young cattle,2.3,10.8,212.96
DK,Denmark,2010,December,Young cattle,2.1,9.9,212.12
DK,Denmark,2010,November,Young cattle,2.4,11.3,212.39
DK,Denmark,2010,October,Young cattle,2.1,9.7,216.49
DK,Denmark,2010,September,Young cattle,2.3,11.0,209.09
DK,Denmark,2010,August,Young cattle,2.7,12.7,212.6
DK,Denmark,2010,July,Young cattle,2.0,9.9,202.02
DK,Denmark,2010,June,Young cattle,2.7,12.8,210.94
DK,Denmark,2010,May,Young cattle,2.4,11.2,214.29
DK,Denmark,2010,April,Young cattle,2.4,11.4,210.53
DK,Denmark,2010,March,Young cattle,2.5,11.5,217.39
DK,Denmark,2010,February,Young cattle,2.0,9.5,210.53
DK,Denmark,2010,January,Young cattle,2.0,9.4,212.77
DK,Denmark,2009,December,Young cattle,2.2,10.4,211.54
DK,Denmark,2009,November,Young cattle,2.1,9.7,216.49
DK,Denmark,2009,October,Young cattle,2.2,10.7,205.61
DK,Denmark,2009,September,Young cattle,2.4,11.7,205.13
DK,Denmark,2009,August,Young cattle,2.6,12.6,206.35
DK,Denmark,2009,July,Young cattle,2.1,10.1,207.92
DK,Denmark,2009,June,Young cattle,2.6,12.6,206.35
DK,Denmark,2009,May,Young cattle,2.4,11.2,214.29
DK,Denmark,2009,April,Young cattle,2.6,12.1,214.88
DK,Denmark,2009,March,Young cattle,2.8,12.9,217.05
DK,Denmark,2009,February,Young cattle,2.2,10.5,209.52
DK,Denmark,2009,January,Young cattle,2.2,10.6,207.55
DK,Denmark,2008,December,Young cattle,0.0,0.0,0.0
DK,Denmark,2008,November,Young cattle,0.0,0.0,0.0
DK,Denmark,2008,October,Young cattle,0.0,0.0,0.0
DK,Denmark,2008,September,Young cattle,0.0,0.0,0.0
DK,Denmark,2008,August,Young cattle,0.0,0.0,0.0
DK,Denmark,2008,July,Young cattle,0.0,0.0,0.0
DK,Denmark,2008,June,Young cattle,0.0,0.0,0.0
DK,Denmark,2008,May,Young cattle,0.0,0.0,0.0
DK,Denmark,2008,April,Young cattle,0.0,0.0,0.0
DK,Denmark,2008,March,Young cattle,0.0,0.0,0.0
DK,Denmark,2008,February,Young cattle,0.0,0.0,0.0
DK,Denmark,2008,January,Young cattle,0.0,0.0,0.0
