memberStateCode,memberStateName,year,month,category,tonnes,heads,kgPerHead
AT,Austria,2016,November,Bull,9.59,24.36,393.68
AT,Austria,2016,October,Bull,8.82,22.97,383.98
AT,Austria,2016,September,Bull,9.52,24.04,396.01
AT,Austria,2016,August,Bull,8.65,21.89,395.16
AT,Austria,2016,July,Bull,8.19,20.7,395.65
AT,Austria,2016,June,Bull,8.88,22.42,396.07
AT,Austria,2016,May,Bull,8.99,22.69,396.21
AT,Austria,2016,April,Bull,8.72,21.98,396.72
AT,Austria,2016,March,Bull,9.39,23.84,393.88
AT,Austria,2016,February,Bull,8.52,21.72,392.27
AT,Austria,2016,January,Bull,8.39,21.29,394.08
AT,Austria,2015,December,Bull,9.88,25.17,392.53
AT,Austria,2015,November,Bull,9.35,23.87,391.71
AT,Austria,2015,October,Bull,9.88,25.3,390.51
AT,Austria,2015,September,Bull,10.25,26.22,390.92
AT,Austria,2015,August,Bull,8.82,22.72,388.2
AT,Austria,2015,July,Bull,8.98,23.03,389.93
AT,Austria,2015,June,Bull,9.68,24.73,391.43
AT,Austria,2015,May,Bull,8.42,21.56,390.54
AT,Austria,2015,April,Bull,9.03,23.1,390.91
AT,Austria,2015,March,Bull,9.78,25.0,391.2
AT,Austria,2015,February,Bull,8.06,20.68,389.75
AT,Austria,2015,January,Bull,8.92,22.81,391.06
AT,Austria,2014,December,Bull,9.65,24.76,389.74
AT,Austria,2014,November,Bull,8.24,21.31,386.67
AT,Austria,2014,October,Bull,10.06,26.06,386.03
AT,Austria,2014,September,Bull,9.78,25.17,388.56
AT,Austria,2014,August,Bull,8.63,22.1,390.5
AT,Austria,2014,July,Bull,9.19,23.64,388.75
AT,Austria,2014,June,Bull,9.05,23.06,392.45
AT,Austria,2014,May,Bull,8.97,22.78,393.77
AT,Austria,2014,April,Bull,8.69,22.24,390.74
AT,Austria,2014,March,Bull,9.56,24.43,391.32
AT,Austria,2014,February,Bull,8.22,21.01,391.24
AT,Austria,2014,January,Bull,9.33,23.78,392.35
AT,Austria,2013,December,Bull,9.78,25.05,390.42
AT,Austria,2013,November,Bull,9.17,23.6,388.56
AT,Austria,2013,October,Bull,10.86,27.89,389.39
AT,Austria,2013,September,Bull,9.82,25.28,388.45
AT,Austria,2013,August,Bull,8.93,23.07,387.08
AT,Austria,2013,July,Bull,10.06,25.86,389.02
AT,Austria,2013,June,Bull,8.95,23.01,388.96
