DATE,GLOBAL_CURNCY_MXN
2003-01-22,10.8045
2003-01-23,10.7325
2003-01-24,10.8568
2003-01-27,10.9025
2003-01-28,10.9413
2003-01-29,10.94
2003-01-30,10.9428
2003-01-31,10.9063
2003-02-03,10.904
2003-02-04,10.955
2003-02-05,10.852
2003-02-06,10.9045
2003-02-07,11.016
2003-02-10,10.9605
2003-02-11,10.9715
2003-02-12,10.952
2003-02-13,10.936
2003-02-14,10.8185
2003-02-17,10.7795
2003-02-18,10.811
2003-02-19,10.8238
2003-02-20,10.9585
2003-02-21,10.9373
2003-02-24,10.99
2003-02-25,11.05
2003-02-26,11.035
2003-02-27,11.031
2003-02-28,11.016
2003-03-03,11.1057
2003-03-04,11.1225
2003-03-05,11.23
2003-03-06,11.1755
2003-03-07,11.102
2003-03-10,11.052
2003-03-11,10.9175
2003-03-12,10.8235
2003-03-13,10.858
2003-03-14,10.9105
2003-03-17,10.78
2003-03-18,10.8995
2003-03-19,10.8435
2003-03-20,10.8195
2003-03-21,10.7119
2003-03-24,10.769
2003-03-25,10.707
2003-03-26,10.725
2003-03-27,10.7305
2003-03-28,10.727
2003-03-31,10.77
2003-04-01,10.7324
2003-04-02,10.6455
2003-04-03,10.689
2003-04-04,10.727
2003-04-07,10.7115
2003-04-08,10.797
2003-04-09,10.7695
2003-04-10,10.72
2003-04-11,10.623
2003-04-14,10.6575
2003-04-15,10.6155
2003-04-16,10.62
2003-04-17,10.5325
2003-04-18,10.5287
2003-04-21,10.531
2003-04-22,10.564
2003-04-23,10.4608
2003-04-24,10.422
2003-04-25,10.4118
2003-04-28,10.369
2003-04-29,10.2925
2003-04-30,10.29
2003-05-01,10.245
2003-05-02,10.2175
2003-05-05,10.191
2003-05-06,10.27
2003-05-07,10.2073
2003-05-08,10.137
2003-05-09,10.1475
2003-05-12,10.1945
2003-05-13,10.116
2003-05-14,10.2705
2003-05-15,10.437
2003-05-16,10.3
2003-05-19,10.352
2003-05-20,10.2494
2003-05-21,10.2202
2003-05-22,10.2528
2003-05-23,10.2423
2003-05-26,10.2423
2003-05-27,10.4225
2003-05-28,10.372
2003-05-29,10.3095
2003-05-30,10.3145
2003-06-02,10.247
2003-06-03,10.289
2003-06-04,10.5725
2003-06-05,10.5433
2003-06-06,10.7275
2003-06-09,10.656
2003-06-10,10.659
2003-06-11,10.573
2003-06-12,10.6595
2003-06-13,10.535
2003-06-16,10.4825
2003-06-17,10.496
2003-06-18,10.6005
2003-06-19,10.49
2003-06-20,10.4975
2003-06-23,10.47
2003-06-24,10.4985
2003-06-25,10.4788
2003-06-26,10.4608
2003-06-27,10.3785
2003-06-30,10.457
2003-07-01,10.4395
2003-07-02,10.516
2003-07-03,10.4015
2003-07-04,10.4088
2003-07-07,10.5595
2003-07-08,10.5025
2003-07-09,10.503
2003-07-10,10.4365
2003-07-11,10.3953
2003-07-14,10.4
2003-07-15,10.4573
2003-07-16,10.369
2003-07-17,10.381
2003-07-18,10.3722
2003-07-21,10.4348
2003-07-22,10.4413
2003-07-23,10.5603
2003-07-24,10.5387
2003-07-25,10.4835
2003-07-28,10.4435
2003-07-29,10.5195
2003-07-30,10.4772
2003-07-31,10.6028
2003-08-01,10.5823
2003-08-04,10.7185
2003-08-05,10.7548
2003-08-06,10.7095
2003-08-07,10.6773
2003-08-08,10.6585
2003-08-11,10.7525
2003-08-12,10.7448
2003-08-13,10.7038
2003-08-14,10.7185
2003-08-15,10.7205
2003-08-18,10.7965
2003-08-19,10.8422
2003-08-20,10.8263
2003-08-21,10.876
2003-08-22,10.8405
2003-08-25,10.8838
2003-08-26,10.956
2003-08-27,10.9265
2003-08-28,11.0498
2003-08-29,11.0471
2003-09-01,11.0435
2003-09-02,10.9955
2003-09-03,10.919
2003-09-04,10.8555
2003-09-05,10.8865
2003-09-08,11.053
