DATE,US_SOY_NET_LONG
2006-05-02,-14028.0
2006-05-09,-2649.0
2006-05-16,6101.0
2006-05-23,-12375.0
2006-05-30,-25689.0
2006-06-06,-12484.0
2006-06-13,-3229.0
2006-06-20,-12072.0
2006-06-27,-34315.0
2006-07-04,-11912.0
2006-07-11,-3930.0
2006-07-18,-7316.0
2006-07-25,-18009.0
2006-08-01,-35533.0
2006-08-08,-41240.0
2006-08-15,-44326.0
2006-08-22,-41425.0
2006-08-29,-39776.0
2006-09-05,-40184.0
2006-09-12,-43491.0
2006-09-19,-42299.0
2006-09-26,-43054.0
2006-10-03,-38396.0
2006-10-10,-17767.0
2006-10-17,11027.0
2006-10-24,30782.0
2006-10-31,22757.0
2006-11-07,33899.0
2006-11-14,39993.0
2006-11-21,35895.0
2006-11-28,48259.0
2006-12-05,48387.0
2006-12-12,54908.0
2006-12-19,54308.0
2006-12-26,54742.0
2007-01-02,71282.0
2007-01-09,66136.0
2007-01-16,72733.0
2007-01-23,87968.0
2007-01-30,92041.0
2007-02-06,107690.0
2007-02-13,103164.0
2007-02-20,104557.0
2007-02-27,111383.0
2007-03-06,87121.0
2007-03-13,96066.0
2007-03-20,100931.0
2007-03-27,104111.0
2007-04-03,106379.0
2007-04-10,95142.0
2007-04-17,84681.0
2007-04-24,62103.0
2007-05-01,75435.0
2007-05-08,75921.0
2007-05-15,98653.0
2007-05-22,118552.0
2007-05-29,124098.0
2007-06-05,143065.0
2007-06-12,139214.0
2007-06-19,142534.0
2007-06-26,124707.0
2007-07-03,127593.0
2007-07-10,138993.0
2007-07-17,134809.0
2007-07-24,118642.0
2007-07-31,104179.0
2007-08-07,103789.0
2007-08-14,109577.0
2007-08-21,96119.0
2007-08-28,101151.0
2007-09-04,102598.0
2007-09-11,103173.0
2007-09-18,107742.0
2007-09-25,123556.0
2007-10-02,127999.0
2007-10-09,131109.0
2007-10-16,127594.0
2007-10-23,125859.0
2007-10-30,136106.0
2007-11-06,145685.0
2007-11-13,149087.0
2007-11-20,152906.0
2007-11-27,140093.0
2007-12-04,143591.0
2007-12-11,155278.0
2007-12-18,145122.0
2007-12-25,149756.0
2008-01-01,148615.0
2008-01-08,145143.0
2008-01-15,148033.0
2008-01-22,145130.0
2008-01-29,147989.0
2008-02-05,154193.0
2008-02-12,152362.0
2008-02-19,152746.0
2008-02-26,145257.0
2008-03-04,126981.0
2008-03-11,115796.0
2008-03-18,115793.0
2008-03-25,114759.0
2008-04-01,104763.0
2008-04-08,116122.0
2008-04-15,119796.0
2008-04-22,126338.0
2008-04-29,108515.0
2008-05-06,107853.0
2008-05-13,112187.0
2008-05-20,116761.0
2008-05-27,114726.0
2008-06-03,121402.0
2008-06-10,126603.0
2008-06-17,127706.0
2008-06-24,120038.0
2008-07-01,124442.0
2008-07-08,116298.0
2008-07-15,115835.0
2008-07-22,104162.0
2008-07-29,86699.0
2008-08-05,85471.0
2008-08-12,76933.0
2008-08-19,73851.0
2008-08-26,65923.0
2008-09-02,68065.0
2008-09-09,53935.0
2008-09-16,50726.0
2008-09-23,53576.0
2008-09-30,48948.0
2008-10-07,50747.0
2008-10-14,40337.0
2008-10-21,23943.0
2008-10-28,20797.0
2008-11-04,28838.0
2008-11-11,23244.0
2008-11-18,24587.0
2008-11-25,26372.0
2008-12-02,21334.0
2008-12-09,20888.0
2008-12-16,20958.0
2008-12-23,21826.0
2008-12-30,26177.0
2009-01-06,29017.0
2009-01-13,36646.0
2009-01-20,33314.0
2009-01-27,40403.0
2009-02-03,36990.0
2009-02-10,41788.0
2009-02-17,33280.0
2009-02-24,14928.0
2009-03-03,7611.0
2009-03-10,8803.0
2009-03-17,16705.0
2009-03-24,33997.0
2009-03-31,40336.0
2009-04-07,65651.0
2009-04-14,77003.0
2009-04-21,90325.0
2009-04-28,93729.0
2009-05-05,110473.0
2009-05-12,116815.0
2009-05-19,119430.0
2009-05-26,125467.0
2009-06-02,125410.0
2009-06-09,128420.0
2009-06-16,124160.0
2009-06-23,121317.0
2009-06-30,116459.0
2009-07-07,104553.0
2009-07-14,86085.0
2009-07-21,83161.0
2009-07-28,67684.0
2009-08-04,81548.0
2009-08-11,90747.0
2009-08-18,73460.0
2009-08-25,67491.0
2009-09-01,57516.0
