DATE,US_CHICKEN_SLAUGHTER_HEADS
2018-02-15,162822.0
2018-02-22,163506.0
2018-03-01,162267.0
2018-03-08,159499.0
2018-03-15,160433.0
2018-03-22,159248.0
2018-03-29,157474.0
2018-04-05,158696.0
2018-04-12,158739.0
2018-04-19,159399.0
2018-04-26,161711.0
2018-05-03,160152.0
2018-05-10,160693.0
2018-05-17,162327.0
2018-05-24,164148.0
2018-05-31,166447.0
2018-06-07,149456.0
2018-06-14,163861.0
2018-06-21,161146.0
2018-06-28,165315.0
2018-07-05,171891.0
2018-07-12,144435.0
2018-07-19,165628.0
2018-07-26,164359.0
2018-08-02,166171.0
2018-08-09,168821.0
2018-08-16,168075.0
2018-08-23,168772.0
2018-08-30,166539.0
2018-09-06,170977.0
2018-09-13,149116.0
2018-09-20,161759.0
2018-09-27,162376.0
2018-10-04,169602.0
2018-10-11,167488.0
2018-10-18,163896.0
2018-10-25,167901.0
2018-11-01,164213.0
2018-11-15,163787.0
2018-11-22,159848.0
2018-11-29,124072.0
2018-12-06,165509.0
2018-12-13,164048.0
2018-12-20,156773.0
2018-12-27,162440.0
2019-01-03,117657.0
2019-01-10,137882.0
2019-01-17,165877.0
2019-01-24,167857.0
2019-01-31,158086.0
2019-02-07,163174.0
2019-02-14,162013.0
2019-02-21,161570.0
2019-02-28,160194.0
2019-03-07,162582.0
2019-03-14,160268.0
2019-03-21,160746.0
2019-03-28,163402.0
2019-04-04,161340.0
2019-04-11,164278.0
2019-04-18,164410.0
2019-04-25,158639.0
2019-05-02,158131.0
2019-05-09,164087.0
2019-05-16,164441.0
2019-05-23,166906.0
2019-05-30,171691.0
2019-06-06,148805.0
2019-06-13,168955.0
2019-06-20,168844.0
2019-06-27,169609.0
2019-07-11,152427.0
2019-07-18,171800.0
2019-07-25,167859.0
2019-08-01,169641.0
2019-08-08,172347.0
2019-08-15,172355.0
2019-08-22,173998.0
2019-08-29,174094.0
2019-09-05,177907.0
2019-09-12,148929.0
2019-09-19,173696.0
2019-09-26,174993.0
2019-10-03,175151.0
2019-10-10,175426.0
2019-10-17,174574.0
2019-10-24,174327.0
2019-10-31,172753.0
2019-11-07,172986.0
2019-11-14,172352.0
2019-11-21,168705.0
2019-11-28,164828.0
2019-12-05,129887.0
2019-12-12,171941.0
2019-12-19,167279.0
2019-12-26,171899.0
2020-01-02,127491.0
2020-01-09,146507.0
2020-01-16,173135.0
2020-01-23,174538.0
2020-01-30,166070.0
2020-02-06,171982.0
2020-02-13,171276.0
2020-02-20,170974.0
2020-02-27,169956.0
2020-03-05,170749.0
2020-03-12,170274.0
2020-03-19,170505.0
2020-03-26,171690.0
2020-04-02,169683.0
2020-04-09,164732.0
2020-04-16,155111.0
2020-04-23,149720.0
2020-04-30,156020.0
2020-05-07,162022.0
2020-05-14,162954.0
2020-05-21,160598.0
2020-05-28,162218.0
2020-06-04,145550.0
2020-06-11,161798.0
2020-06-18,162762.0
2020-06-25,161890.0
2020-07-02,164757.0
2020-07-09,147821.0
2020-07-16,165184.0
2020-07-23,162082.0
2020-07-30,163998.0
2020-08-06,165886.0
2020-08-13,165413.0
2020-08-20,168110.0
2020-08-27,171052.0
2020-09-03,169129.0
2020-09-10,173857.0
2020-09-17,149110.0
2020-09-24,170275.0
2020-10-01,170561.0
2020-10-08,169714.0
2020-10-15,168293.0
2020-10-22,168430.0
2020-10-29,167358.0
2020-11-05,166425.0
2020-11-12,170005.0
2020-11-19,166758.0
2020-11-26,163084.0
2020-12-03,133741.0
2020-12-10,167035.0
2020-12-17,165795.0
2020-12-24,167226.0
2020-12-31,122989.0
2021-01-07,137841.0
2021-01-14,169756.0
2021-01-21,168939.0
2021-01-28,164264.0
2021-02-04,166634.0
2021-02-11,167930.0
2021-02-18,163944.0
2021-02-25,95927.0
2021-03-04,177430.0
2021-03-11,172542.0
2021-03-18,169325.0
2021-03-25,166471.0
2021-04-01,166037.0
2021-04-08,161931.0
2021-04-15,161361.0
2021-04-22,162533.0
2021-04-29,164317.0
2021-05-06,163639.0
2021-05-13,163616.0
2021-05-20,163760.0
2021-05-27,168636.0
2021-06-03,165599.0
2021-06-10,116849.0
2021-06-17,169146.0
2021-06-24,167805.0
2021-07-01,170262.0
2021-07-08,172326.0
2021-07-15,146850.0
2021-07-22,163075.0
2021-07-29,170063.0
2021-08-05,165247.0
2021-08-12,164748.0
2021-08-19,168161.0
2021-08-26,167495.0
2021-09-02,167769.0
2021-09-09,161343.0
2021-09-16,148942.0
2021-09-23,168142.0
2021-09-30,167987.0
2021-10-07,168498.0
2021-10-14,169414.0
2021-10-21,168101.0
2021-10-28,167229.0
2021-11-04,164216.0
2021-11-11,164584.0
2021-11-18,165399.0
2021-11-25,163472.0
2021-12-02,124235.0
2021-12-09,164957.0
2021-12-16,166001.0
2021-12-23,163115.0
2021-12-30,132663.0
2022-01-06,145076.0
2022-01-13,163246.0
2022-01-20,171403.0
