DATE,BR_TTEN3_PRICE
2022-09-02,11.3
2022-09-05,11.3
2022-09-06,11.01
2022-09-08,11.15
2022-09-09,11.1
2022-09-12,11.14
2022-09-13,10.71
2022-09-14,10.38
2022-09-15,10.34
2022-09-16,10.25
2022-09-19,10.79
2022-09-20,11.01
2022-09-21,11.23
2022-09-22,11.39
2022-09-23,11.68
2022-09-26,10.85
2022-09-27,10.62
2022-09-28,10.74
2022-09-29,10.57
2022-09-30,11.0
2022-10-03,11.51
2022-10-04,12.22
2022-10-05,12.14
2022-10-06,12.57
2022-10-07,12.77
2022-10-10,13.31
2022-10-11,13.25
2022-10-13,13.35
2022-10-14,13.15
2022-10-17,12.67
2022-10-18,12.85
2022-10-19,12.91
2022-10-20,12.61
2022-10-21,12.59
2022-10-24,12.13
2022-10-25,12.13
2022-10-26,11.96
2022-10-27,12.28
2022-10-28,12.26
2022-10-31,12.68
2022-11-01,12.96
2022-11-03,12.96
2022-11-04,13.52
2022-11-07,12.74
2022-11-08,12.13
2022-11-09,12.0
2022-11-10,11.54
2022-11-11,12.01
2022-11-14,11.99
2022-11-16,11.61
2022-11-17,11.13
2022-11-18,11.14
2022-11-21,11.3
2022-11-22,10.77
2022-11-23,10.76
2022-11-24,11.08
2022-11-25,10.84
2022-11-28,10.83
2022-11-29,11.2
2022-11-30,11.09
2022-12-01,11.06
2022-12-02,11.26
2022-12-05,10.79
2022-12-06,10.67
2022-12-07,10.73
2022-12-08,9.62
2022-12-09,8.96
2022-12-12,8.7
2022-12-13,8.53
2022-12-14,8.73
2022-12-15,8.63
2022-12-16,8.36
2022-12-19,8.59
2022-12-20,8.96
2022-12-21,8.96
2022-12-22,9.27
2022-12-23,9.38
2022-12-26,9.35
2022-12-27,9.15
2022-12-28,9.5
2022-12-29,9.32
2023-01-02,9.36
2023-01-03,8.55
2023-01-04,8.62
2023-01-05,8.62
2023-01-06,8.7
2023-01-09,8.62
2023-01-10,8.86
2023-01-11,9.17
2023-01-12,9.0
2023-01-13,9.1
2023-01-16,9.1
2023-01-17,9.25
2023-01-18,9.6
2023-01-19,9.82
2023-01-20,9.58
2023-01-23,9.45
2023-01-24,9.63
2023-01-25,9.83
2023-01-26,9.86
2023-01-27,9.76
2023-01-30,9.65
2023-01-31,10.12
2023-02-01,9.98
2023-02-02,10.38
2023-02-03,10.2
2023-02-06,9.91
2023-02-07,9.98
2023-02-08,10.65
2023-02-09,10.55
2023-02-10,12.35
2023-02-13,12.25
2023-02-14,12.08
2023-02-15,12.75
2023-02-16,12.77
2023-02-17,12.62
2023-02-22,12.66
2023-02-23,12.41
2023-02-24,12.77
2023-02-27,12.57
2023-02-28,12.74
2023-03-01,12.49
2023-03-02,12.34
2023-03-03,12.48
2023-03-06,12.58
2023-03-07,12.76
2023-03-08,13.07
2023-03-09,13.28
2023-03-10,13.06
2023-03-13,13.03
2023-03-14,12.86
2023-03-15,12.69
2023-03-16,12.79
2023-03-17,12.49
2023-03-20,12.19
2023-03-21,12.32
2023-03-22,12.29
2023-03-23,12.12
2023-03-24,12.62
2023-03-27,12.86
2023-03-28,12.63
2023-03-29,12.67
2023-03-30,12.61
2023-03-31,12.21
2023-04-03,12.19
2023-04-04,12.38
2023-04-05,11.89
2023-04-06,11.35
2023-04-10,11.28
2023-04-11,11.9
2023-04-12,11.83
2023-04-13,11.55
2023-04-14,11.8
2023-04-17,11.53
2023-04-18,11.38
2023-04-19,10.96
2023-04-20,11.01
2023-04-24,10.84
2023-04-25,10.81
2023-04-26,10.77
2023-04-27,10.77
2023-04-28,10.85
2023-05-02,10.67
2023-05-03,10.7
2023-05-04,11.18
2023-05-05,11.34
2023-05-08,11.24
2023-05-09,11.2
2023-05-10,11.37
2023-05-11,11.45
2023-05-12,11.34
2023-05-15,11.6
2023-05-16,11.48
2023-05-17,11.7
2023-05-18,11.9
2023-05-19,11.83
2023-05-22,11.97
2023-05-23,12.15
2023-05-24,12.09
2023-05-25,12.25
2023-05-26,12.28
2023-05-29,12.21
2023-05-30,12.11
2023-05-31,11.9
2023-06-01,12.5
2023-06-02,12.47
2023-06-05,12.72
2023-06-06,12.73
2023-06-07,12.71
2023-06-09,12.61
2023-06-12,12.6
2023-06-13,12.55
2023-06-14,12.47
2023-06-15,12.42
2023-06-16,12.43
2023-06-19,12.43
2023-06-20,12.64
2023-06-21,12.68
2023-06-22,12.64
2023-06-23,12.86
2023-06-26,12.91
2023-06-27,12.8
2023-06-28,12.54
2023-06-29,12.53
2023-06-30,12.85
2023-07-03,13.1
2023-07-04,12.84
2023-07-05,13.08
2023-07-06,13.14
2023-07-07,13.53
2023-07-10,13.17
2023-07-11,12.98
2023-07-12,13.28
2023-07-13,13.1
2023-07-14,12.87
2023-07-17,13.16
2023-07-18,13.37
2023-07-19,13.49
2023-07-20,13.54
2023-07-21,12.99
2023-07-24,12.7
2023-07-25,12.62
2023-07-26,12.41
2023-07-27,12.48
2023-07-28,12.28
2023-07-31,12.65
2023-08-01,12.22
2023-08-02,12.51
2023-08-03,12.46
2023-08-04,12.52
2023-08-07,12.53
2023-08-08,12.42
2023-08-09,12.46
2023-08-10,12.48
2023-08-11,12.4
2023-08-14,12.3
2023-08-15,12.94
2023-08-16,13.0
2023-08-17,12.71
2023-08-18,12.43
2023-08-21,12.12
2023-08-22,12.78
2023-08-23,13.22
2023-08-24,13.65
2023-08-25,13.73
2023-08-28,13.61
2023-08-29,14.21
2023-08-30,13.93
2023-08-31,13.3
2023-09-01,13.56
2023-09-04,13.37
2023-09-05,13.37
2023-09-06,13.41
2023-09-08,13.55
2023-09-11,13.71
2023-09-12,14.27
2023-09-13,14.15
2023-09-14,14.2
2023-09-15,14.12
2023-09-18,14.08
2023-09-19,13.91
2023-09-20,13.87
2023-09-21,13.48
2023-09-22,13.47
2023-09-25,12.99
2023-09-26,12.7
2023-09-27,12.55
2023-09-28,12.69
2023-09-29,12.8
2023-10-02,12.74
2023-10-03,12.37
2023-10-04,12.25
2023-10-05,12.39
2023-10-06,12.27
2023-10-09,12.32
2023-10-10,12.72
2023-10-11,12.47
2023-10-13,12.3
2023-10-16,12.03
2023-10-17,11.4
2023-10-18,10.95
2023-10-19,11.1
2023-10-20,11.5
2023-10-23,11.55
2023-10-24,11.79
2023-10-25,11.6
2023-10-26,11.67
2023-10-27,11.15
2023-10-30,10.92
2023-10-31,11.03
2023-11-01,10.94
2023-11-03,11.49
2023-11-06,11.3
