WeekEnd Date  ,National Prime,National Choice,National Select,National Other,Reg 1-5 Prime,Reg 1-5 Choice,Reg 1-5 Select,Reg 1-5 Other,Reg 6 Prime,Reg 6 Choice,Reg 6 Select,Reg 6 Other,Reg 7-8 Prime,Reg 7-8 Choice,Reg 7-8 Select,Reg 7-8 Other,Region 9-10 Prime,Region 9-10 Choice,Region 9-10 Select,Region 9-10 Other,Nebraska Prime,Nebraska Choice,Nebraska Select,Nebraska Other,Kansas Prime,Kansas Choice,Kansas Select,Kansas Other,Texas Prime,Texas Choice,Texas Select,Texas Other,YG 1,YG 2,YG 3,YG 4,YG 5,YG 1-5,No YG,% Fed Cattle YG,Upper 2/3 Choice,Schedule GLA,Class Total Reg 1-5,Steer Reg 1-5,Heifer Reg 1-5,Dairy Cow Reg 1-5,Other Cow Reg 1-5,Bulls Reg 1-5,Class Total Reg 6,Steer Reg 6,Heifer Reg 6,Dairy Cow Reg 6,Other Cow Reg 6,Bulls Reg 6,Class Total Reg 7-8,Steer Reg 7-8,Heifer Reg 7-8,Dairy Cow Reg 7-8,Other Cow Reg 7-8,Bulls Reg 7-8,Class Total Reg 9-10,Steer Reg 9-10,Heifer Reg 9-10,Dairy Cow Reg 9-10,Other Cow Reg 9-10,Bulls Reg 9-10,Total %,Total Steer %,Total Heifer %,Total Dairy Cow %,Total Other Cow %,Total Bulls %,Total Head,Total Steer Head,Total Heifer Head,Total Dairy Cow Head,Total Other Cow Head,Total Bull Head
2/14/2009,2.86%,61.40%,28.44%,7.30%,7.97%,66.34%,18.75%,6.94%,0.73%,47.32%,42.83%,9.12%,2.76%,66.04%,25.38%,5.81%,2.25%,56.16%,26.72%,14.87%,4.57%,70.79%,18.45%,6.19%,1.45%,60.48%,33.16%,4.90%,0.74%,47.72%,43.07%,8.47%,8.26%,33.31%,40.09%,9.27%,1.46%,92.39%,7.61%,55.41%,23.08%,60.98%,18.41%,6.10%,2.17%,4.98%,4.45%,0.71%,20.67%,10.17%,6.36%,0.95%,2.78%,0.40%,49.93%,26.86%,19.97%,0.32%,2.46%,0.31%,11.00%,4.50%,1.50%,4.19%,0.61%,0.19%,100.00%,47.63%,30.00%,10.45%,10.30%,1.62%,618300.0,294500.0,185500.0,64600.0,63700.0,10000.0
2/21/2009,2.84%,62.42%,27.42%,7.32%,8.44%,65.04%,17.73%,8.80%,0.65%,47.64%,42.96%,8.75%,2.59%,67.56%,23.81%,6.04%,2.35%,59.08%,27.21%,11.37%,4.02%,72.08%,17.55%,6.35%,1.50%,62.28%,31.08%,5.14%,0.66%,48.12%,43.16%,8.06%,7.98%,33.72%,40.90%,9.02%,1.44%,93.06%,6.94%,56.51%,23.81%,61.96%,18.27%,6.27%,1.90%,4.97%,4.43%,0.70%,20.32%,10.59%,5.81%,0.76%,2.76%,0.39%,50.51%,27.48%,20.22%,0.31%,2.18%,0.32%,10.90%,4.69%,1.79%,3.62%,0.60%,0.19%,100.00%,49.03%,29.72%,9.66%,9.97%,1.61%,615700.0,301900.0,183000.0,59500.0,61400.0,9900.0
2/28/2009,2.86%,63.24%,27.85%,6.05%,7.92%,67.50%,17.76%,6.82%,0.80%,50.67%,41.12%,7.42%,2.71%,67.30%,24.90%,5.10%,2.30%,60.33%,28.92%,8.44%,3.70%,71.70%,18.52%,6.08%,1.46%,61.41%,34.34%,2.78%,0.78%,50.98%,41.32%,6.91%,8.02%,33.35%,41.43%,9.84%,1.54%,94.17%,5.83%,57.17%,24.15%,60.27%,18.26%,6.71%,2.10%,4.72%,4.09%,0.65%,20.33%,10.60%,6.33%,0.73%,2.29%,0.37%,50.34%,26.45%,20.88%,0.32%,2.31%,0.37%,11.07%,4.82%,2.02%,3.59%,0.47%,0.18%,100.00%,48.58%,31.33%,9.36%,9.16%,1.57%,618800.0,300600.0,193900.0,57900.0,56700.0,9700.0
3/7/2009,3.17%,62.63%,27.02%,7.18%,8.05%,68.47%,16.78%,6.69%,0.74%,49.77%,40.51%,8.97%,3.11%,66.31%,24.17%,6.41%,2.87%,61.46%,26.84%,8.84%,4.67%,70.98%,17.99%,6.35%,1.86%,60.73%,32.40%,5.02%,0.73%,50.04%,40.72%,8.52%,7.74%,32.30%,39.11%,9.19%,1.31%,89.64%,10.36%,55.40%,24.37%,58.69%,17.92%,6.60%,1.86%,4.77%,4.05%,0.65%,21.60%,10.89%,6.81%,0.83%,2.67%,0.40%,48.91%,25.76%,20.13%,0.35%,2.32%,0.35%,11.57%,5.16%,1.54%,4.09%,0.56%,0.22%,100.00%,48.41%,30.34%,10.05%,9.60%,1.61%,603200.0,292000.0,183000.0,60600.0,57900.0,9700.0
3/14/2009,2.98%,61.50%,27.11%,8.41%,7.88%,69.75%,16.30%,6.08%,0.71%,46.01%,39.71%,13.57%,3.02%,65.62%,24.48%,6.88%,2.23%,63.19%,26.04%,8.54%,4.33%,69.88%,17.86%,7.92%,1.63%,59.77%,33.57%,5.03%,0.69%,46.23%,39.85%,13.23%,8.33%,32.55%,40.07%,9.92%,1.49%,92.36%,7.64%,55.03%,23.17%,61.56%,17.57%,6.42%,2.02%,4.43%,4.05%,0.66%,20.72%,10.88%,6.53%,0.59%,2.37%,0.35%,50.90%,26.64%,21.33%,0.30%,2.29%,0.34%,10.80%,4.80%,1.81%,3.33%,0.62%,0.24%,100.00%,48.74%,31.69%,8.66%,9.33%,1.58%,624900.0,304600.0,198000.0,54100.0,58300.0,9900.0
3/21/2009,3.27%,61.46%,28.10%,7.17%,8.32%,69.02%,17.04%,5.62%,0.69%,47.82%,43.94%,7.55%,3.44%,64.96%,24.49%,7.11%,2.21%,62.11%,26.94%,8.73%,5.62%,69.47%,16.86%,8.04%,1.61%,59.58%,33.50%,5.31%,0.69%,48.08%,44.15%,7.09%,8.45%,32.82%,41.05%,9.57%,1.49%,93.39%,6.61%,56.89%,23.78%,58.92%,17.65%,6.36%,2.15%,4.45%,3.98%,0.71%,19.89%,10.68%,6.21%,0.61%,2.07%,0.31%,51.44%,27.41%,21.04%,0.31%,2.31%,0.37%,11.02%,4.79%,1.80%,3.35%,0.86%,0.23%,100.00%,49.24%,31.20%,8.72%,9.22%,1.62%,618000.0,304300.0,192800.0,53900.0,57000.0,10000.0
3/28/2009,3.15%,61.68%,27.82%,7.35%,7.68%,65.91%,16.56%,9.85%,0.72%,47.55%,44.06%,7.67%,3.22%,65.21%,24.82%,6.74%,1.86%,62.89%,27.64%,7.60%,5.19%,69.24%,17.92%,7.66%,1.72%,59.80%,33.88%,4.61%,0.72%,47.97%,44.26%,7.04%,7.52%,33.31%,40.81%,9.61%,1.51%,92.76%,7.24%,55.88%,23.80%,61.78%,18.49%,6.79%,2.10%,4.58%,4.23%,0.79%,20.39%,10.74%,6.38%,0.60%,2.21%,0.46%,49.69%,26.89%,19.60%,0.33%,2.51%,0.36%,11.43%,4.69%,2.33%,3.23%,0.87%,0.31%,100.00%,49.11%,30.41%,8.74%,9.82%,1.92%,584600.0,287100.0,177800.0,51100.0,57400.0,11200.0
4/4/2009,3.07%,61.83%,28.66%,6.44%,7.17%,68.67%,17.77%,6.39%,0.69%,49.75%,42.31%,7.25%,3.21%,64.83%,26.03%,5.93%,2.39%,61.69%,27.72%,8.20%,5.40%,70.29%,18.61%,5.70%,1.48%,58.34%,35.06%,5.13%,0.69%,50.18%,42.56%,6.58%,8.82%,35.03%,39.91%,9.27%,1.50%,94.53%,5.47%,56.71%,22.48%,58.90%,17.27%,6.45%,2.07%,4.23%,3.82%,0.71%,20.24%,11.14%,6.23%,0.59%,1.89%,0.39%,51.67%,27.66%,20.92%,0.33%,2.48%,0.30%,10.81%,5.07%,1.67%,3.05%,0.74%,0.28%,100.00%,50.31%,30.89%,8.20%,8.92%,1.67%,609600.0,306700.0,188300.0,50000.0,54400.0,10200.0
4/11/2009,3.03%,60.38%,29.09%,7.49%,7.58%,68.85%,17.65%,5.92%,0.66%,48.19%,43.04%,8.11%,3.14%,63.31%,26.39%,7.17%,2.18%,59.91%,27.09%,10.82%,5.78%,69.05%,17.30%,7.88%,1.32%,57.73%,35.42%,5.53%,0.66%,48.53%,43.28%,7.53%,9.28%,35.27%,39.21%,8.51%,1.29%,93.55%,6.45%,55.34%,22.37%,59.98%,18.05%,7.04%,2.00%,4.44%,3.82%,0.75%,21.01%,10.91%,6.89%,0.60%,2.20%,0.40%,50.53%,27.00%,20.54%,0.30%,2.37%,0.32%,10.41%,4.66%,1.65%,2.90%,0.90%,0.30%,100.00%,49.61%,31.09%,8.24%,9.29%,1.77%,599300.0,297300.0,186300.0,49400.0,55700.0,10600.0
4/18/2009,3.06%,60.96%,28.82%,7.15%,7.39%,68.63%,17.38%,6.61%,0.70%,48.71%,43.02%,7.58%,3.12%,63.78%,26.18%,6.92%,2.25%,60.57%,28.37%,8.80%,5.13%,69.07%,19.11%,6.69%,1.35%,56.89%,35.38%,6.37%,0.69%,49.08%,43.24%,6.99%,9.82%,35.62%,38.70%,8.81%,1.34%,94.29%,5.71%,57.76%,22.88%,57.64%,17.40%,6.84%,1.92%,3.95%,3.98%,0.71%,20.88%,11.30%,6.20%,0.69%,2.29%,0.41%,50.95%,28.66%,19.24%,0.28%,2.42%,0.35%,10.77%,4.80%,1.78%,2.98%,0.94%,0.28%,100.00%,51.60%,29.14%,7.89%,9.62%,1.74%,608100.0,313800.0,177200.0,48000.0,58500.0,10600.0
4/25/2009,2.90%,59.32%,30.99%,6.79%,7.35%,66.13%,20.07%,6.44%,0.74%,47.78%,44.28%,7.20%,2.93%,62.46%,28.28%,6.34%,2.28%,59.12%,28.81%,9.79%,4.83%,66.97%,21.63%,6.56%,1.41%,56.84%,36.32%,5.42%,0.72%,48.08%,44.43%,6.78%,9.46%,37.79%,37.92%,7.93%,1.09%,94.20%,5.80%,57.91%,21.94%,59.55%,17.74%,7.38%,1.83%,4.09%,3.71%,0.72%,20.60%,10.98%,6.43%,0.62%,2.15%,0.42%,51.43%,28.00%,20.45%,0.25%,2.42%,0.32%,10.23%,4.28%,2.03%,2.77%,0.86%,0.29%,100.00%,50.65%,30.74%,7.72%,9.14%,1.75%,650000.0,329200.0,199800.0,50200.0,59400.0,11400.0
5/2/2009,2.82%,59.65%,30.94%,6.60%,6.29%,65.41%,21.96%,6.34%,0.82%,47.44%,44.50%,7.24%,2.88%,63.25%,27.79%,6.08%,2.69%,58.22%,29.82%,9.28%,4.38%,65.83%,22.86%,6.93%,1.62%,59.81%,33.50%,5.08%,0.83%,47.81%,44.60%,6.76%,10.12%,37.82%,37.83%,7.23%,1.07%,94.07%,5.93%,56.13%,21.97%,56.90%,17.45%,7.11%,1.83%,3.80%,3.91%,0.80%,22.25%,12.13%,7.09%,0.50%,2.16%,0.38%,50.31%,28.75%,18.60%,0.24%,2.43%,0.29%,9.99%,4.61%,1.53%,2.57%,1.01%,0.27%,100.00%,52.59%,29.06%,7.11%,9.51%,1.73%,665500.0,350000.0,193400.0,47300.0,63300.0,11500.0
5/9/2009,2.72%,59.55%,31.10%,6.63%,6.90%,66.52%,19.65%,6.93%,0.68%,47.61%,43.96%,7.75%,2.75%,62.72%,28.64%,5.90%,1.85%,58.16%,31.12%,8.87%,4.10%,67.19%,22.88%,5.83%,1.54%,58.32%,35.34%,4.80%,0.68%,47.92%,44.14%,7.25%,10.55%,37.65%,37.43%,6.97%,0.97%,93.58%,6.42%,56.02%,22.44%,59.16%,17.57%,6.96%,1.89%,3.95%,3.98%,0.79%,20.99%,12.08%,5.77%,0.58%,2.15%,0.41%,50.91%,28.05%,19.85%,0.24%,2.44%,0.32%,10.53%,4.67%,1.68%,2.90%,0.96%,0.32%,100.00%,51.76%,29.18%,7.67%,9.53%,1.85%,655500.0,339300.0,191300.0,50300.0,62500.0,12100.0
5/16/2009,2.78%,58.90%,32.20%,6.12%,8.78%,65.75%,18.00%,7.46%,0.75%,47.39%,44.62%,7.24%,2.54%,61.92%,30.19%,5.35%,1.61%,58.21%,33.23%,6.94%,3.81%,65.12%,25.62%,5.45%,1.46%,57.85%,35.77%,4.92%,0.75%,47.68%,44.85%,6.71%,10.66%,37.36%,37.70%,7.22%,1.05%,93.99%,6.01%,55.68%,22.37%,59.14%,16.90%,6.97%,1.83%,3.55%,3.77%,0.78%,20.72%,11.32%,6.32%,0.52%,2.14%,0.41%,52.07%,29.46%,19.58%,0.25%,2.47%,0.31%,10.31%,4.83%,1.63%,2.69%,0.90%,0.27%,100.00%,52.59%,29.36%,7.00%,9.28%,1.77%,676800.0,355900.0,198700.0,47400.0,62800.0,12000.0
5/23/2009,2.68%,58.18%,33.12%,6.02%,8.01%,67.07%,19.27%,5.66%,0.77%,45.83%,45.77%,7.63%,2.47%,61.32%,30.99%,5.22%,1.63%,54.94%,34.92%,8.51%,3.85%,65.71%,25.44%,5.00%,1.44%,57.28%,36.27%,5.01%,0.78%,46.08%,45.92%,7.23%,10.42%,36.39%,38.79%,7.28%,1.16%,94.03%,5.97%,56.24%,22.17%,59.79%,17.45%,6.83%,2.04%,3.71%,4.12%,0.74%,21.07%,11.47%,6.28%,0.57%,2.35%,0.39%,51.18%,28.61%,19.87%,0.23%,2.12%,0.35%,10.31%,4.55%,1.40%,3.18%,0.91%,0.26%,100.00%,51.47%,29.59%,7.69%,9.49%,1.75%,685000.0,352600.0,202700.0,52700.0,65000.0,12000.0
5/30/2009,2.57%,59.71%,32.40%,5.32%,7.29%,67.20%,20.34%,5.17%,0.84%,49.22%,43.82%,6.12%,2.45%,62.43%,30.35%,4.78%,1.77%,56.34%,34.09%,7.80%,3.95%,65.48%,25.02%,5.55%,1.45%,58.24%,36.20%,4.11%,0.84%,49.52%,43.94%,5.69%,9.85%,36.72%,39.67%,7.33%,1.04%,94.62%,5.38%,56.74%,22.35%,59.68%,16.38%,6.66%,1.63%,3.62%,3.84%,0.63%,20.67%,10.39%,7.03%,0.78%,2.08%,0.40%,52.28%,31.07%,18.51%,0.25%,2.08%,0.36%,10.67%,5.06%,1.40%,3.12%,0.82%,0.27%,100.00%,53.18%,28.56%,7.77%,8.82%,0.00%,630500.0,335300.0,180100.0,49000.0,55600.0,10500.0
6/6/2009,2.53%,58.68%,32.87%,5.92%,8.02%,66.94%,19.00%,6.04%,0.78%,46.27%,45.49%,7.45%,2.19%,61.81%,30.80%,5.20%,1.73%,56.10%,35.03%,7.14%,3.57%,65.08%,25.56%,5.80%,1.30%,57.27%,35.95%,5.48%,0.79%,46.51%,45.69%,7.01%,10.58%,36.15%,39.18%,6.97%,0.85%,93.74%,6.26%,55.69%,22.34%,60.77%,17.73%,6.81%,1.80%,4.28%,4.04%,0.79%,20.77%,10.71%,6.61%,0.75%,2.34%,0.37%,50.62%,28.55%,19.14%,0.25%,2.28%,0.39%,10.88%,4.37%,1.79%,3.79%,0.70%,0.24%,100.00%,50.44%,29.34%,9.07%,9.36%,1.79%,670700.0,338300.0,196800.0,60800.0,62800.0,12000.0
6/13/2009,2.41%,59.08%,32.88%,5.63%,7.63%,67.18%,19.75%,5.44%,0.67%,45.49%,46.07%,7.77%,2.17%,62.99%,30.26%,4.58%,1.68%,55.59%,34.61%,8.12%,3.17%,67.02%,25.31%,4.50%,1.37%,58.28%,36.05%,4.29%,0.68%,45.75%,46.35%,7.22%,10.49%,36.38%,38.49%,7.26%,0.89%,93.51%,6.49%,55.72%,23.34%,61.33%,17.10%,6.70%,1.92%,4.33%,3.55%,0.60%,21.10%,11.29%,6.24%,1.05%,2.16%,0.36%,50.74%,28.66%,19.25%,0.30%,2.13%,0.39%,11.06%,4.70%,1.74%,3.40%,0.98%,0.24%,100.00%,51.35%,29.16%,9.08%,8.82%,1.59%,665400.0,341700.0,194000.0,60400.0,58700.0,10600.0
6/20/2009,2.34%,58.38%,33.26%,6.02%,7.50%,67.75%,19.46%,5.29%,0.57%,45.21%,45.84%,8.38%,2.10%,61.71%,31.08%,5.11%,1.70%,55.14%,35.42%,7.74%,3.32%,66.28%,26.24%,4.16%,1.23%,57.50%,36.52%,4.75%,0.58%,45.46%,46.11%,7.85%,10.40%,35.78%,37.55%,7.51%,1.02%,92.25%,7.75%,54.74%,22.88%,61.09%,17.05%,6.95%,1.93%,4.07%,3.37%,0.73%,20.86%,11.36%,6.00%,1.00%,2.14%,0.36%,51.56%,29.59%,19.13%,0.34%,2.12%,0.37%,10.53%,4.25%,1.84%,3.43%,0.73%,0.28%,100.00%,52.15%,28.91%,8.84%,8.36%,1.74%,673200.0,351100.0,194600.0,59500.0,56300.0,11700.0
6/27/2009,2.49%,58.69%,32.33%,6.49%,7.60%,65.95%,19.97%,6.48%,0.66%,43.53%,44.09%,11.71%,2.21%,63.04%,30.34%,4.41%,1.51%,53.16%,36.12%,9.22%,3.31%,68.22%,24.90%,3.57%,1.33%,56.76%,37.07%,4.83%,0.66%,43.75%,44.26%,11.33%,9.69%,35.16%,39.08%,7.84%,1.03%,92.80%,7.20%,55.56%,22.60%,61.97%,17.25%,7.60%,1.82%,3.63%,3.49%,0.72%,19.88%,10.70%,6.06%,0.78%,2.00%,0.34%,51.92%,30.56%,18.64%,0.31%,2.00%,0.40%,10.95%,4.45%,1.85%,3.57%,0.85%,0.24%,100.00%,53.31%,28.37%,8.28%,8.34%,1.70%,670100.0,357200.0,190100.0,55500.0,55900.0,11400.0
7/4/2009,2.39%,58.95%,32.80%,5.85%,7.62%,65.16%,20.86%,6.37%,0.68%,46.58%,45.73%,7.01%,2.04%,62.44%,30.63%,4.90%,1.76%,53.74%,34.52%,9.99%,2.84%,65.80%,26.50%,4.86%,1.42%,57.87%,36.19%,4.52%,0.65%,46.63%,45.67%,7.04%,9.82%,35.02%,38.53%,7.94%,0.96%,92.26%,7.74%,54.79%,22.93%,61.48%,16.73%,7.01%,1.85%,4.01%,3.26%,0.61%,20.01%,11.00%,5.65%,0.93%,2.06%,0.38%,52.67%,29.84%,19.96%,0.26%,2.27%,0.34%,10.60%,4.95%,1.40%,3.21%,0.80%,0.24%,100.00%,52.79%,28.87%,8.39%,8.38%,1.56%,626600.0,330800.0,180900.0,52600.0,52500.0,9800.0
7/11/2009,2.54%,59.51%,32.50%,5.45%,7.90%,67.35%,18.47%,6.28%,0.75%,46.36%,45.25%,7.64%,2.22%,62.79%,30.70%,4.29%,1.68%,55.91%,34.53%,7.87%,3.14%,67.21%,25.44%,4.21%,1.22%,56.21%,37.88%,4.69%,0.72%,46.65%,45.45%,7.18%,9.81%,34.95%,39.58%,8.19%,1.04%,93.57%,6.43%,56.43%,22.14%,61.49%,17.21%,6.83%,1.88%,3.74%,3.94%,0.82%,19.79%,10.79%,5.68%,0.68%,2.30%,0.35%,52.34%,30.36%,18.86%,0.32%,2.49%,0.32%,10.66%,4.68%,1.85%,2.90%,0.99%,0.24%,100.00%,52.66%,28.26%,7.63%,9.73%,1.72%,634100.0,333900.0,179200.0,48400.0,61700.0,10900.0
7/18/2009,2.59%,59.02%,32.54%,5.85%,7.70%,66.36%,19.91%,6.03%,0.66%,46.03%,45.62%,7.69%,2.34%,62.28%,30.45%,4.94%,1.69%,54.81%,35.12%,8.38%,3.71%,67.56%,24.33%,4.39%,1.31%,56.53%,37.47%,4.68%,0.67%,46.40%,45.83%,7.10%,9.62%,35.49%,39.44%,7.99%,1.00%,93.55%,6.45%,56.45%,22.95%,64.32%,18.19%,6.90%,2.12%,4.07%,4.23%,0.87%,19.99%,10.33%,5.64%,0.77%,2.83%,0.43%,51.41%,30.47%,18.00%,0.30%,2.31%,0.33%,10.42%,5.00%,1.31%,2.73%,1.07%,0.30%,100.00%,52.70%,27.06%,7.88%,10.44%,0.00%,633400.0,333800.0,171400.0,49900.0,66100.0,12200.0
7/25/2009,2.51%,58.07%,33.30%,6.12%,7.86%,65.99%,18.97%,7.17%,0.62%,44.54%,46.75%,8.09%,2.18%,61.34%,31.47%,5.01%,1.59%,54.11%,35.93%,8.37%,3.17%,64.21%,27.99%,4.63%,1.21%,56.82%,36.63%,5.34%,0.61%,44.73%,46.92%,7.74%,10.36%,35.98%,38.92%,7.59%,0.99%,93.84%,6.16%,58.33%,22.53%,60.11%,17.44%,6.71%,1.61%,4.17%,4.15%,0.80%,20.92%,11.15%,5.78%,0.68%,2.93%,0.39%,50.25%,27.84%,19.49%,0.29%,2.28%,0.35%,11.39%,5.26%,1.77%,2.86%,1.16%,0.34%,100.00%,50.96%,28.64%,8.00%,10.52%,1.88%,621500.0,316700.0,178000.0,49700.0,65400.0,11700.0
8/1/2009,2.53%,58.48%,33.41%,5.58%,7.51%,66.35%,19.12%,7.02%,0.57%,44.64%,47.52%,7.27%,2.30%,62.23%,30.89%,4.58%,2.32%,55.90%,35.09%,6.68%,3.57%,67.50%,25.30%,3.63%,1.34%,55.84%,37.82%,5.00%,0.58%,44.90%,47.68%,6.84%,10.61%,35.00%,38.81%,8.14%,1.04%,93.60%,6.40%,56.13%,22.85%,63.25%,18.22%,7.33%,1.85%,4.13%,4.12%,0.80%,18.76%,9.83%,5.53%,0.56%,2.47%,0.36%,52.78%,30.30%,19.66%,0.31%,2.13%,0.38%,10.24%,4.54%,1.74%,2.61%,1.03%,0.31%,100.00%,52.00%,28.78%,7.62%,9.75%,1.85%,638700.0,332100.0,183800.0,48700.0,62300.0,11800.0
8/8/2009,2.59%,59.75%,31.96%,5.70%,7.20%,66.49%,19.75%,6.56%,0.74%,47.83%,44.57%,6.86%,2.42%,62.54%,30.01%,5.03%,1.42%,56.01%,35.63%,6.93%,3.84%,68.40%,23.43%,4.33%,1.33%,57.21%,36.18%,5.29%,0.72%,48.08%,44.67%,6.54%,9.42%,33.73%,40.00%,8.70%,1.48%,93.32%,6.68%,55.10%,23.35%,63.49%,18.06%,7.05%,2.00%,4.13%,4.05%,0.83%,20.09%,11.45%,5.15%,0.66%,2.45%,0.38%,51.51%,28.39%,20.21%,0.29%,2.24%,0.38%,10.35%,4.85%,1.31%,2.83%,1.07%,0.29%,100.00%,51.74%,28.67%,7.90%,9.80%,1.89%,625300.0,323500.0,179300.0,49400.0,61300.0,11800.0
8/15/2009,2.63%,59.28%,31.97%,6.12%,7.26%,65.66%,20.01%,7.07%,0.63%,46.45%,45.20%,7.72%,2.59%,62.72%,29.58%,5.11%,1.53%,57.41%,32.59%,8.47%,3.88%,67.24%,24.11%,4.78%,1.50%,57.18%,35.71%,5.61%,0.63%,46.61%,45.22%,7.55%,9.49%,33.13%,39.62%,9.10%,1.39%,92.74%,7.26%,56.24%,23.21%,63.04%,15.75%,6.55%,0.22%,4.01%,4.19%,0.79%,16.24%,10.85%,1.85%,0.58%,2.56%,0.39%,55.57%,29.83%,22.76%,0.27%,2.34%,0.38%,12.44%,4.30%,3.38%,3.44%,1.04%,0.28%,100.00%,51.53%,28.21%,8.29%,10.13%,1.84%,636700.0,328100.0,179600.0,52800.0,64500.0,11700.0
8/22/2009,2.62%,58.61%,32.20%,6.57%,6.62%,65.21%,20.92%,7.25%,0.69%,45.31%,45.54%,8.46%,2.67%,62.45%,29.37%,5.50%,1.58%,55.19%,34.26%,8.97%,3.99%,67.99%,23.19%,4.83%,1.94%,56.00%,35.57%,6.50%,0.70%,45.48%,45.66%,8.16%,8.83%,33.68%,39.59%,9.23%,1.60%,92.92%,7.08%,56.27%,23.72%,63.10%,16.66%,7.02%,0.28%,4.48%,4.10%,0.78%,15.48%,10.52%,1.49%,0.72%,2.36%,0.38%,54.48%,29.33%,22.16%,0.34%,2.27%,0.38%,13.38%,4.93%,3.87%,3.38%,0.94%,0.26%,100.00%,51.80%,27.79%,8.92%,9.67%,1.81%,651200.0,337300.0,181000.0,58100.0,63000.0,11800.0
8/29/2009,2.59%,58.20%,32.30%,6.90%,6.43%,66.83%,20.13%,6.61%,0.79%,44.44%,45.05%,9.71%,2.63%,61.65%,29.88%,5.84%,1.90%,56.46%,33.57%,8.08%,4.08%,67.11%,24.03%,4.79%,1.55%,55.04%,36.96%,6.45%,0.78%,44.83%,45.24%,9.16%,9.45%,32.93%,38.84%,9.75%,1.55%,92.53%,7.47%,55.81%,23.62%,62.90%,16.42%,6.92%,0.25%,4.49%,3.95%,0.81%,15.60%,10.13%,1.71%,0.98%,2.37%,0.42%,55.08%,28.16%,23.86%,0.46%,2.20%,0.40%,12.90%,4.46%,3.61%,3.94%,0.66%,0.23%,100.00%,49.67%,29.42%,9.87%,9.18%,1.86%,650500.0,323100.0,191400.0,64200.0,59700.0,12100.0
9/5/2009,2.95%,58.27%,31.82%,6.96%,6.67%,64.55%,21.16%,7.61%,0.64%,42.23%,47.04%,10.09%,3.17%,62.80%,28.29%,5.74%,1.96%,57.48%,33.65%,6.91%,5.05%,68.62%,21.66%,4.67%,1.75%,55.64%,35.95%,6.66%,0.62%,42.48%,47.28%,9.62%,9.26%,32.80%,38.99%,10.09%,1.73%,92.87%,7.13%,56.60%,23.85%,63.50%,17.02%,7.13%,0.28%,4.68%,3.98%,0.95%,16.11%,10.23%,1.76%,1.06%,2.65%,0.41%,53.87%,27.19%,23.58%,0.34%,2.34%,0.43%,13.00%,4.26%,3.86%,3.75%,0.90%,0.23%,100.00%,48.81%,29.47%,9.83%,9.87%,2.02%,653200.0,318800.0,192500.0,64200.0,64500.0,13200.0
9/12/2009,3.04%,59.58%,30.84%,6.54%,6.79%,66.00%,20.05%,7.16%,0.72%,45.01%,44.97%,9.30%,3.19%,63.52%,27.80%,5.49%,1.94%,55.74%,35.43%,6.90%,4.51%,68.27%,22.26%,4.96%,2.19%,57.68%,34.33%,5.79%,0.69%,45.28%,45.06%,8.96%,8.63%,33.23%,39.73%,9.84%,1.79%,93.22%,6.78%,55.89%,23.87%,64.70%,16.83%,7.39%,0.25%,4.49%,3.82%,0.87%,16.09%,10.64%,1.75%,0.96%,2.40%,0.34%,53.53%,29.68%,20.69%,0.34%,2.34%,0.47%,13.56%,5.43%,3.53%,3.48%,0.85%,0.27%,100.00%,53.15%,26.22%,9.27%,9.41%,1.95%,554500.0,294700.0,145400.0,51400.0,52200.0,10800.0
9/19/2009,3.20%,58.92%,30.76%,7.12%,7.06%,64.45%,20.54%,7.95%,0.64%,44.45%,46.13%,8.78%,3.44%,63.11%,27.40%,6.05%,1.52%,55.38%,33.61%,9.49%,4.61%,66.66%,22.35%,6.38%,2.66%,60.03%,32.06%,5.24%,0.62%,44.79%,46.39%,8.20%,8.99%,32.52%,38.77%,9.80%,1.70%,91.78%,8.22%,55.73%,23.45%,63.90%,17.71%,7.95%,0.27%,4.46%,4.15%,0.90%,15.20%,10.11%,1.84%,0.60%,2.32%,0.33%,53.30%,27.89%,22.44%,0.33%,2.25%,0.39%,13.79%,5.07%,4.24%,3.20%,0.99%,0.28%,100.00%,51.02%,28.78%,8.59%,9.70%,1.90%,636800.0,324900.0,183300.0,54700.0,61800.0,12100.0
9/26/2009,3.28%,59.16%,30.61%,6.95%,6.86%,65.55%,20.85%,6.73%,0.58%,43.10%,46.15%,10.17%,3.62%,63.56%,27.09%,5.72%,1.57%,55.88%,33.85%,8.69%,5.01%,67.76%,22.26%,4.97%,2.61%,59.19%,31.66%,6.53%,0.56%,43.32%,46.50%,9.62%,9.73%,33.19%,39.09%,10.17%,1.73%,93.91%,6.09%,57.66%,24.03%,62.50%,16.88%,7.59%,0.37%,4.13%,3.93%,0.86%,15.25%,9.81%,1.71%,0.58%,2.71%,0.44%,54.93%,28.30%,23.51%,0.30%,2.40%,0.42%,12.94%,4.65%,4.07%,2.78%,1.17%,0.28%,100.00%,50.34%,29.67%,7.78%,10.21%,2.00%,641400.0,322900.0,190300.0,49900.0,65500.0,12800.0
