Date,IOD
1997-03-31,-0.32119
1997-04-07,0.199991
1997-04-14,0.282411
1997-04-21,0.131415
1997-04-28,-0.070451
1997-05-05,0.344528
1997-05-12,-0.213679
1997-05-19,-0.785768
1997-05-26,-1.118468
1997-06-02,-0.933013
1997-06-09,-0.489211
1997-06-16,-0.070086
1997-06-23,0.422178
1997-06-30,0.976188
1997-07-07,1.009653
1997-07-14,1.043972
1997-07-21,1.064769
1997-07-28,0.794596
1997-08-04,0.254648
1997-08-11,0.406503
1997-08-18,0.744
1997-08-25,0.748735
1997-09-01,0.70739
1997-09-08,0.783695
1997-09-15,0.930693
1997-09-22,1.057116
1997-09-29,1.369767
1997-10-06,1.945272
1997-10-13,2.153207
1997-10-20,2.469895
1997-10-27,2.529025
1997-11-03,3.069673
1997-11-10,3.208716
1997-11-17,3.367483
1997-11-24,3.604127
1997-12-01,3.796761
1997-12-08,3.948687
1997-12-15,4.039791
1997-12-22,4.021252
1997-12-29,3.865265
1998-01-05,3.324924
1998-01-12,3.175237
1998-01-19,3.055263
1998-01-26,2.928525
1998-02-02,2.570955
1998-02-09,2.542038
1998-02-16,2.626077
1998-02-23,2.556669
1998-03-02,2.468337
1998-03-09,2.486144
1998-03-16,2.367294
1998-03-23,2.218156
1998-03-30,2.078248
1998-04-06,2.351608
1998-04-13,1.928899
1998-04-20,1.546755
1998-04-27,1.175948
1998-05-04,1.71952
1998-05-11,1.385306
1998-05-18,0.618419
1998-05-25,-0.270804
1998-06-01,-0.705175
1998-06-08,-0.628643
1998-06-15,-0.467449
1998-06-22,-0.349818
1998-06-29,-0.060557
1998-07-06,-0.142387
1998-07-13,-0.16591
1998-07-20,-0.357621
1998-07-27,-0.457968
1998-08-03,-1.056923
1998-08-10,-1.03725
1998-08-17,-0.812959
1998-08-24,-0.778898
1998-08-31,-0.664452
1998-09-07,-0.850014
1998-09-14,-0.670871
1998-09-21,-0.774401
1998-09-28,-1.297488
1998-10-05,-1.598274
1998-10-12,-1.670715
1998-10-19,-1.505119
1998-10-26,-1.521469
1998-11-02,-1.496681
1998-11-09,-1.93792
1998-11-16,-2.209228
1998-11-23,-2.251411
1998-11-30,-2.129899
1998-12-07,-1.977351
1998-12-14,-1.862328
1998-12-21,-1.809441
1998-12-28,-1.915602
1999-01-04,-2.132464
1999-01-11,-1.863697
1999-01-18,-1.734012
1999-01-25,-1.861916
1999-02-01,-2.274438
1999-02-08,-2.360124
1999-02-15,-2.135319
1999-02-22,-1.930646
1999-03-01,-1.86713
1999-03-08,-1.715757
1999-03-15,-1.692654
1999-03-22,-1.881135
1999-03-29,-2.290902
1999-04-05,-1.971421
1999-04-12,-2.215592
1999-04-19,-2.523397
1999-04-26,-2.534435
1999-05-03,-1.826068
1999-05-10,-1.598654
1999-05-17,-1.391813
1999-05-24,-1.356937
1999-05-31,-1.233111
1999-06-07,-0.861235
1999-06-14,-0.75251
1999-06-21,-0.403592
1999-06-28,0.065693
1999-07-05,-0.183147
1999-07-12,-0.165115
1999-07-19,-0.295884
1999-07-26,-0.489026
1999-08-02,-1.018069
1999-08-09,-0.82704
1999-08-16,-0.670685
1999-08-23,-0.508441
1999-08-30,-0.464501
1999-09-06,-0.648017
1999-09-13,-0.478061
1999-09-20,-0.524531
1999-09-27,-0.588997
1999-10-04,-0.494236
1999-10-11,-0.543023
1999-10-18,-0.809375
1999-10-25,-1.119921
1999-11-01,-0.935717
1999-11-08,-1.109659
1999-11-15,-1.134057
1999-11-22,-0.982772
1999-11-29,-0.684809
1999-12-06,-0.612274
1999-12-13,-0.890228
1999-12-20,-1.012341
1999-12-27,-1.042789
2000-01-03,-1.259419
2000-01-10,-1.195973
2000-01-17,-0.937081
2000-01-24,-0.740165
2000-01-31,-0.778371
2000-02-07,-1.21406
2000-02-14,-1.385067
2000-02-21,-1.651054
2000-02-28,-1.674809
2000-03-06,-1.942497
2000-03-13,-2.10247
2000-03-20,-2.176995
2000-03-27,-2.190716
2000-04-03,-1.567623
2000-04-10,-1.542794
2000-04-17,-1.865094
2000-04-24,-2.261764
2000-05-01,-1.88763
2000-05-08,-1.940884
2000-05-15,-1.807317
2000-05-22,-1.433607
2000-05-29,-1.257269
2000-06-05,-1.109829
2000-06-12,-1.007181
2000-06-19,-0.997564
2000-06-26,-1.102998
2000-07-03,-1.517347
2000-07-10,-1.688881
2000-07-17,-1.526699
2000-07-24,-1.169424
2000-07-31,-0.961731
2000-08-07,-1.551187
2000-08-14,-1.561738
2000-08-21,-1.741615
2000-08-28,-1.801489
2000-09-04,-1.838164
2000-09-11,-1.532302
2000-09-18,-1.089476
2000-09-25,-0.877535
2000-10-02,-0.707508
2000-10-09,-0.693145
2000-10-16,-0.839774
2000-10-23,-1.217141
2000-10-30,-1.267728
2000-11-06,-0.992558
2000-11-13,-0.956023
2000-11-20,-1.032654
2000-11-27,-1.22456
2000-12-04,-1.30102
2000-12-11,-1.249762
2000-12-18,-1.193961
2000-12-25,-1.131495
2001-01-01,-1.55877
2001-01-08,-1.495708
2001-01-15,-1.281995
2001-01-22,-1.065222
2001-01-29,-1.147641
2001-02-05,-1.558569
2001-02-12,-1.629081
2001-02-19,-1.734874
2001-02-26,-1.659867
2001-03-05,-1.515254
2001-03-12,-1.521562
2001-03-19,-1.328872
2001-03-26,-1.054653
2001-04-02,-0.615145
2001-04-09,-0.84201
2001-04-16,-0.942218
2001-04-23,-1.054205
2001-04-30,-1.242261
2001-05-07,-0.950283
2001-05-14,-0.992025
2001-05-21,-0.973384
2001-05-28,-0.891143
2001-06-04,-0.683156
2001-06-11,-0.75471
2001-06-18,-0.702687
2001-06-25,-0.581062
2001-07-02,-0.979049
2001-07-09,-0.856081
2001-07-16,-0.619122
2001-07-23,-0.471313
2001-07-30,-0.590711
2001-08-06,-1.287705
2001-08-13,-1.330815
2001-08-20,-1.223008
2001-08-27,-0.967562
2001-09-03,-1.064131
2001-09-10,-0.899548
2001-09-17,-0.871888
2001-09-24,-0.879427
2001-10-01,-0.69538
2001-10-08,-1.066631
2001-10-15,-1.322206
2001-10-22,-1.223489
2001-10-29,-1.162137
2001-11-05,-0.886021
2001-11-12,-0.981762
2001-11-19,-1.300459
2001-11-26,-1.65991
2001-12-03,-1.620199
2001-12-17,-0.994468
2001-12-24,-0.772802
2001-12-31,-0.360252
2002-01-07,-0.163602
2002-01-14,0.305382
2002-01-21,0.263837
2002-01-28,-0.024972
2002-02-04,-0.653343
2002-02-11,-0.829477
2002-02-18,-0.631757
2002-02-25,-0.539747
2002-03-04,-0.410563
2002-03-11,-0.163293
2002-03-18,0.055634
2002-03-25,0.038434
2002-04-01,0.30349
2002-04-08,0.016146
2002-04-15,-0.332508
2002-04-22,-0.391578
2002-04-29,-0.448535
2002-05-06,-0.31339
2002-05-13,-0.84999
2002-05-20,-1.04945
2002-05-27,-1.240063
2002-06-03,-0.850997
2002-06-10,-0.730038
2002-06-17,-0.660204
2002-06-24,-0.819575
2002-07-01,-1.059005
2002-07-08,-1.081773
2002-07-15,-1.020256
2002-07-22,-1.017902
2002-07-29,-0.818375
2002-08-05,-1.109448
2002-08-12,-1.025488
2002-08-19,-0.754594
2002-08-26,-0.554579
2002-09-02,-0.634006
2002-09-09,-0.675077
2002-09-16,-0.458719
2002-09-23,-0.129182
2002-09-30,-0.194274
2002-10-07,0.002851
2002-10-14,-0.120968
2002-10-21,-0.203298
2002-10-28,-0.195218
2002-11-04,0.186072
2002-11-11,0.360555
2002-11-18,0.289961
2002-11-25,0.045226
2002-12-02,-0.102992
2002-12-09,0.014167
2002-12-16,0.40037
2002-12-23,0.650804
2002-12-30,0.406993
2003-01-06,-0.147929
2003-01-13,0.06875
2003-01-20,0.416816
2003-01-27,0.631262
2003-02-03,0.356794
2003-02-10,0.311941
2003-02-17,0.364767
2003-02-24,0.35011
2003-03-03,0.220662
2003-03-10,0.109522
2003-03-17,0.215794
2003-03-24,0.396023
2003-03-31,0.383835
2003-04-07,0.886609
2003-04-14,0.59713
2003-04-21,0.341915
2003-04-28,0.150617
2003-05-05,0.273418
2003-05-12,-0.418937
2003-05-19,-0.806272
2003-05-26,-0.853333
2003-06-02,-0.321566
2003-06-09,0.274864
2003-06-16,0.638542
2003-06-23,0.940499
2003-06-30,0.901015
2003-07-07,0.527614
2003-07-14,0.535891
2003-07-21,0.68903
2003-07-28,0.604076
2003-08-04,0.133499
2003-08-11,0.079227
2003-08-18,-0.166756
2003-08-25,-0.263877
2003-09-01,-0.513191
2003-09-08,-0.301675
2003-09-15,-0.130489
2003-09-22,-0.131552
2003-09-29,-0.1556
2003-10-06,-0.346733
2003-10-13,-0.651447
2003-10-20,-0.832659
2003-10-27,-0.79804
2003-11-03,-0.508862
2003-11-10,-0.480616
2003-11-17,-0.604982
2003-12-01,-0.951372
2003-12-08,-0.89689
2003-12-15,-0.746417
2003-12-22,-0.539198
2003-12-29,-0.326143
2004-01-05,-0.408948
2004-01-12,0.070002
2004-01-19,0.480292
2004-01-26,0.720901
2004-02-02,0.560304
2004-02-09,0.534011
2004-02-16,0.430632
2004-02-23,0.47422
2004-03-01,0.329324
2004-03-08,-0.001935
2004-03-15,-0.311011
2004-03-22,-0.441501
2004-03-29,-0.598443
2004-04-05,-0.110052
2004-04-12,0.003181
2004-04-19,-0.088303
2004-04-26,-0.261949
2004-05-03,-0.064587
2004-05-10,-0.742712
2004-05-17,-1.136517
2004-05-24,-1.447563
2004-05-31,-1.508281
2004-06-07,-1.183557
2004-06-14,-1.133072
2004-06-21,-0.911133
2004-06-28,-0.785993
2004-07-05,-1.07607
2004-07-12,-0.956015
2004-07-19,-0.717971
2004-07-26,-0.478876
2004-08-02,-0.90318
2004-08-09,-0.655252
2004-08-16,-0.397685
2004-08-23,-0.154575
2004-08-30,-0.11836
2004-09-06,-0.610588
2004-09-13,-0.588492
2004-09-20,-0.364613
2004-09-27,-0.434393
2004-10-04,-0.354674
2004-10-11,-0.442723
2004-10-18,-0.369477
2004-10-25,-0.331443
2004-11-01,-0.080206
2004-11-08,-0.307688
2004-11-15,-0.473055
2004-11-22,-0.359905
2004-11-29,-0.341386
2004-12-06,-0.122698
2004-12-13,-0.062302
2004-12-20,0.146518
2004-12-27,0.331728
2005-01-03,-0.079161
2005-01-10,-0.215911
2005-01-17,-0.299718
2005-01-24,-0.209371
2005-01-31,-0.03054
2005-02-07,-0.057727
2005-02-14,0.089991
2005-02-21,0.295301
2005-02-28,0.471445
2005-03-07,0.791187
2005-03-14,0.973478
2005-03-21,0.859858
2005-03-28,0.695176
2005-04-04,0.706523
2005-04-11,0.297517
2005-04-18,0.219521
2005-04-25,0.116256
2005-05-02,0.595132
2005-05-09,0.372061
2005-05-16,0.030428
2005-05-23,-0.239324
2005-05-30,-0.250521
2005-06-06,-0.075088
2005-06-13,-0.266654
2005-06-20,-0.45444
2005-06-27,-0.533968
2005-07-04,-0.48272
2005-07-11,-0.259611
2005-07-18,-0.249201
2005-07-25,-0.219069
2005-08-01,-0.386319
2005-08-08,-0.16086
2005-08-15,-0.020205
2005-08-22,0.16645
2005-08-29,0.004125
2005-09-05,-0.464812
2005-09-12,-0.839137
2005-09-19,-0.758734
2005-10-03,-0.386859
2005-10-10,-0.448382
2005-10-17,-0.787089
2005-10-24,-1.241172
2005-10-31,-1.537529
2005-11-07,-1.55277
2005-11-14,-1.571543
2005-11-21,-1.40898
2005-11-28,-1.239623
2005-12-05,-1.197823
2005-12-12,-1.334326
2005-12-19,-1.538077
2005-12-26,-1.434092
2006-01-02,-1.563608
2006-01-09,-1.198538
2006-01-16,-0.934381
2006-01-23,-0.743456
2006-01-30,-0.70983
2006-02-06,-0.842595
2006-02-13,-0.598023
2006-02-20,-0.374554
2006-02-27,-0.535969
2006-03-06,-0.397155
