DATE,BR_SOJA3_PRICE
2022-06-24,11.3
2022-06-27,11.26
2022-06-28,11.03
2022-06-29,10.92
2022-06-30,10.51
2022-07-01,10.71
2022-07-04,11.1
2022-07-05,10.87
2022-07-06,10.93
2022-07-07,10.9
2022-07-08,10.73
2022-07-11,10.64
2022-07-12,10.46
2022-07-13,10.35
2022-07-14,10.23
2022-07-15,10.23
2022-07-18,10.32
2022-07-19,10.3
2022-07-20,10.67
2022-07-21,10.62
2022-07-22,10.65
2022-07-25,10.88
2022-07-26,10.54
2022-07-27,10.89
2022-07-28,10.89
2022-07-29,10.73
2022-08-01,10.74
2022-08-02,10.97
2022-08-03,10.76
2022-08-04,11.15
2022-08-05,11.29
2022-08-08,11.6
2022-08-09,11.15
2022-08-10,11.45
2022-08-11,11.75
2022-08-12,11.76
2022-08-15,11.98
2022-08-16,12.64
2022-08-17,12.8
2022-08-18,12.68
2022-08-19,12.63
2022-08-22,12.51
2022-08-23,12.62
2022-08-24,12.97
2022-08-25,12.99
2022-08-26,12.94
2022-08-29,12.84
2022-08-30,12.51
2022-08-31,12.5
2022-09-01,12.55
2022-09-02,12.31
2022-09-05,12.85
2022-09-06,12.73
2022-09-08,12.95
2022-09-09,13.3
2022-09-12,13.4
2022-09-13,13.41
2022-09-14,13.4
2022-09-15,13.58
2022-09-16,13.7
2022-09-19,13.58
2022-09-20,13.43
2022-09-21,12.95
2022-09-22,12.8
2022-09-23,12.8
2022-09-26,12.55
2022-09-27,12.38
2022-09-28,12.29
2022-09-29,12.19
2022-09-30,12.26
2022-10-03,12.38
2022-10-04,12.9
2022-10-05,12.82
2022-10-06,13.1
2022-10-07,12.8
2022-10-10,13.22
2022-10-11,13.32
2022-10-13,13.2
2022-10-14,13.09
2022-10-17,13.19
2022-10-18,12.95
2022-10-19,13.01
2022-10-20,12.9
2022-10-21,12.86
2022-10-24,13.05
2022-10-25,12.82
2022-10-26,12.9
2022-10-27,13.07
2022-10-28,13.19
2022-10-31,12.75
2022-11-01,12.91
2022-11-03,13.25
2022-11-04,13.48
2022-11-07,13.08
2022-11-08,12.97
2022-11-09,12.87
2022-11-10,12.84
2022-11-11,12.3
2022-11-14,12.14
2022-11-16,10.48
2022-11-17,10.55
2022-11-18,10.3
2022-11-21,10.74
2022-11-22,10.24
2022-11-23,10.5
2022-11-24,10.86
2022-11-25,10.55
2022-11-28,10.21
2022-11-29,10.41
2022-11-30,10.37
2022-12-01,10.71
2022-12-02,10.7
2022-12-05,10.46
2022-12-06,10.46
2022-12-07,10.4
2022-12-08,10.09
2022-12-09,9.49
2022-12-12,9.51
2022-12-13,9.6
2022-12-14,9.73
2022-12-15,9.87
2022-12-16,9.6
2022-12-19,9.76
2022-12-20,10.08
2022-12-21,10.11
2022-12-22,10.15
2022-12-23,10.39
2022-12-26,10.4
2022-12-27,10.45
2022-12-28,10.46
2022-12-29,10.4
2023-01-02,10.2
2023-01-03,9.69
2023-01-04,9.96
2023-01-05,10.04
2023-01-06,10.7
2023-01-09,10.54
2023-01-10,10.68
2023-01-11,10.72
2023-01-12,10.92
2023-01-13,10.73
2023-01-16,10.73
2023-01-17,10.73
2023-01-18,10.84
2023-01-19,10.92
2023-01-20,11.2
2023-01-23,11.44
2023-01-24,11.33
2023-01-25,11.7
2023-01-26,11.6
2023-01-27,11.6
2023-01-30,11.5
2023-01-31,11.3
2023-02-01,11.7
2023-02-02,11.56
2023-02-03,11.57
2023-02-06,11.49
2023-02-07,11.64
2023-02-08,12.07
2023-02-09,11.97
2023-02-10,11.21
2023-02-13,11.46
2023-02-14,11.85
2023-02-15,12.23
2023-02-16,12.25
2023-02-17,12.38
2023-02-22,12.25
2023-02-23,12.08
2023-02-24,11.96
2023-02-27,11.9
2023-02-28,12.0
2023-03-01,12.25
