DATE,US_SUGAR_NET_LONG
2006-12-26,29381.0
2007-01-02,19255.0
2007-01-09,1337.0
2007-01-16,-18328.0
2007-01-23,-13675.0
2007-01-30,-25958.0
2007-02-06,-37445.0
2007-02-13,-42969.0
2007-02-20,-19461.0
2007-02-27,-12736.0
2007-03-06,17490.0
2007-03-13,11785.0
2007-03-20,-8138.0
2007-03-27,-23678.0
2007-04-03,-28387.0
2007-04-10,-39900.0
2007-04-17,-28553.0
2007-04-24,-40739.0
2007-05-01,-35473.0
2007-05-08,-36433.0
2007-05-15,-49460.0
2007-05-22,-41023.0
2007-05-29,-32348.0
2007-06-05,-29195.0
2007-06-12,9069.0
2007-06-19,-8708.0
2007-06-26,1075.0
2007-07-03,-9707.0
2007-07-10,-54.0
2007-07-17,4069.0
2007-07-24,22831.0
2007-07-31,24298.0
2007-08-07,11898.0
2007-08-14,-16141.0
2007-08-21,-32120.0
2007-08-28,-9119.0
2007-09-04,-9046.0
2007-09-11,-19962.0
2007-09-18,-26599.0
2007-09-25,16681.0
2007-10-02,24411.0
2007-10-09,33504.0
2007-10-16,62946.0
2007-10-23,94624.0
2007-10-30,105443.0
2007-11-06,110363.0
2007-11-13,92607.0
2007-11-20,79720.0
2007-11-27,64595.0
2007-12-04,82024.0
2007-12-11,121005.0
2007-12-18,135380.0
2007-12-25,156904.0
2008-01-01,190158.0
2008-01-08,220743.0
2008-01-15,240792.0
2008-01-22,187732.0
2008-01-29,169291.0
2008-02-05,169448.0
2008-02-12,162412.0
2008-02-19,174689.0
2008-02-26,193563.0
2008-03-04,193708.0
2008-03-11,174270.0
2008-03-18,154431.0
2008-03-25,167810.0
2008-04-01,162743.0
2008-04-08,158191.0
2008-04-15,160888.0
2008-04-22,164600.0
2008-04-29,163225.0
2008-05-06,146567.0
2008-05-13,148790.0
2008-05-20,142113.0
2008-05-27,130772.0
2008-06-03,113218.0
2008-06-10,111769.0
2008-06-17,124483.0
2008-06-24,130192.0
2008-07-01,136333.0
2008-07-08,143016.0
2008-07-15,127061.0
2008-07-22,118309.0
