DATE,US_COTTON_NET_LONG
2006-11-21,-34062.0
2006-11-28,-27960.0
2006-12-05,-18453.0
2006-12-12,-14061.0
2006-12-19,-1324.0
2006-12-26,2992.0
2007-01-02,3689.0
2007-01-09,970.0
2007-01-16,-3148.0
2007-01-23,-2811.0
2007-01-30,-8736.0
2007-02-06,-7592.0
2007-02-13,-28754.0
2007-02-20,-33233.0
2007-02-27,-28809.0
2007-03-06,-21056.0
2007-03-13,-11179.0
2007-03-20,-9407.0
2007-03-27,-8381.0
2007-04-03,-9462.0
2007-04-10,-13482.0
2007-04-17,-19679.0
2007-04-24,-20040.0
2007-05-01,-21795.0
2007-05-08,-25561.0
2007-05-15,-25901.0
2007-05-22,-7995.0
2007-05-29,-3253.0
2007-06-05,827.0
2007-06-12,8428.0
2007-06-19,27326.0
2007-06-26,37411.0
2007-07-03,42763.0
2007-07-10,48318.0
2007-07-17,53999.0
2007-07-24,47484.0
2007-07-31,48265.0
2007-08-07,49824.0
2007-08-14,41811.0
2007-08-21,26776.0
2007-08-28,22787.0
2007-09-04,31718.0
2007-09-11,33890.0
2007-09-18,43414.0
2007-09-25,50174.0
2007-10-02,53140.0
2007-10-09,51602.0
2007-10-16,51143.0
2007-10-23,54863.0
2007-10-30,54681.0
2007-11-06,54395.0
2007-11-13,57204.0
2007-11-20,40711.0
2007-11-27,35306.0
2007-12-04,27206.0
2007-12-11,26423.0
2007-12-18,27718.0
2007-12-25,39459.0
2008-01-01,53104.0
2008-01-08,66903.0
2008-01-15,73067.0
2008-01-22,73521.0
2008-01-29,60712.0
2008-02-05,64132.0
2008-02-12,57965.0
2008-02-19,58943.0
2008-02-26,68448.0
2008-03-04,59018.0
2008-03-11,38436.0
2008-03-18,33271.0
2008-03-25,30973.0
2008-04-01,19974.0
2008-04-08,20546.0
2008-04-15,27071.0
2008-04-22,30321.0
2008-04-29,27614.0
2008-05-06,28631.0
2008-05-13,27398.0
2008-05-20,30152.0
2008-05-27,22041.0
2008-06-03,14508.0
2008-06-10,17178.0
2008-06-17,21651.0
2008-06-24,22316.0
2008-07-01,25155.0
2008-07-08,17133.0
2008-07-15,13593.0
2008-07-22,6979.0
2008-07-29,10909.0
2008-08-05,4186.0
2008-08-12,4989.0
2008-08-19,4162.0
2008-08-26,4753.0
2008-09-02,10696.0
2008-09-09,2293.0
2008-09-16,-325.0
2008-09-23,1811.0
2008-09-30,-186.0
2008-10-07,-1298.0
2008-10-14,526.0
2008-10-21,2297.0
2008-10-28,155.0
2008-11-04,1156.0
2008-11-11,-6583.0
2008-11-18,-3764.0
2008-11-25,-7002.0
2008-12-02,-3475.0
2008-12-09,-3264.0
2008-12-16,-1266.0
2008-12-23,798.0
2008-12-30,1526.0
2009-01-06,4321.0
2009-01-13,4373.0
2009-01-20,2401.0
2009-01-27,6458.0
2009-02-03,4875.0
2009-02-10,3753.0
2009-02-17,-7006.0
2009-02-24,-10489.0
2009-03-03,-12334.0
2009-03-10,-12550.0
2009-03-17,-11300.0
2009-03-24,-6115.0
2009-03-31,-1019.0
2009-04-07,3957.0
2009-04-14,6898.0
2009-04-21,8269.0
2009-04-28,9272.0
2009-05-05,19246.0
2009-05-12,21996.0
2009-05-19,23238.0
2009-05-26,20735.0
2009-06-02,18979.0
2009-06-09,15957.0
2009-06-16,15915.0
